GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "05000","Arkansas",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",95528730,98556605,102947977,108581758,112451090,114890410,114026706,113627974,109833120,113000861,115241765,116616177,119842786,121409411,121532512,123034853,123882586,126371242,127220002,128395585,137634807,138672036,141968004,147389907
 "05000","Arkansas",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.112,79.556,83.101,87.649,90.772,92.741,92.044,91.722,88.659,91.216,93.025,94.134,96.739,98.004,98.103,99.316,100.000,102.009,102.694,103.643,111.101,111.938,114.599,118.975
 "05000","Arkansas",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",71099645,74453133,79009701,85928629,91133445,96073676,98324985,100206657,97783931,101699332,105697647,108835982,114021074,117388715,118573554,120987446,123882586,129213792,132625794,136145870,154261821,167863482,178114768,188339557
 "05001","Arkansas, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",752496,793515,874505,926227,876522,914374,864322,903603,976691,950878,943281,958105,1057839,1000232,1020478,1058574,981778,1024089,1031531,1056634,1163263,1060273,1116966,1029130
 "05001","Arkansas, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.646,80.824,89.074,94.342,89.279,93.134,88.036,92.037,99.482,96.853,96.079,97.589,107.747,101.880,103.942,107.822,100.000,104.310,105.068,107.625,118.485,107.995,113.770,104.823
 "05001","Arkansas, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",568354,610185,682200,742354,709370,753093,741693,791234,858034,850014,865968,908884,1031816,985033,1012280,1046839,981778,1032654,1069494,1121152,1304001,1304918,1439994,1354408
 "05003","Ashley, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",847829,867951,840996,864836,908566,989145,986198,977789,918630,950477,989442,946703,943152,905099,864783,891185,792416,828770,872492,806278,810067,796291,856528,915701
 "05003","Ashley, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",106.993,109.532,106.131,109.139,114.658,124.826,124.455,123.393,115.928,119.947,124.864,119.470,119.022,114.220,109.132,112.464,100.000,104.588,110.105,101.749,102.227,100.489,108.091,115.558
 "05003","Ashley, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",616174,632845,615990,651918,690169,772925,792637,802791,792678,829934,868806,844659,873925,854508,834468,866748,792416,847134,901757,837901,923875,1016334,1116443,1195590
 "05005","Baxter, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1042925,1071180,1069387,1098814,1165992,1213714,1234159,1278417,1162176,1199458,1216608,1177973,1210891,1269557,1258842,1287692,1389921,1512252,1587027,1562929,1620697,1704065,1719224,1748671
 "05005","Baxter, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.035,77.068,76.939,79.056,83.889,87.322,88.793,91.978,83.614,86.297,87.531,84.751,87.119,91.340,90.569,92.645,100.000,108.801,114.181,112.447,116.604,122.602,123.692,125.811
 "05005","Baxter, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",782301,820510,831157,869193,942542,1009327,1053844,1104903,1033491,1065611,1087767,1078580,1127829,1203225,1222608,1273858,1389921,1539567,1662213,1681608,1782587,2049996,2214396,2326281
 "05007","Benton, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",7248437,7954490,8404437,9022198,9703363,9938069,9781456,9801287,9436283,10041798,10466786,11200816,12097050,12821210,13455145,13705509,14670030,15166232,15643857,16489585,18110882,19004426,19593822,21170960
 "05007","Benton, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",49.410,54.223,57.290,61.501,66.144,67.744,66.676,66.812,64.324,68.451,71.348,76.352,82.461,87.397,91.719,93.425,100.000,103.382,106.638,112.403,123.455,129.546,133.564,144.314
 "05007","Benton, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",5342278,5970473,6381746,7134283,7893197,8384082,8512418,8725398,8735156,9239394,9698216,10603434,11610725,12387735,13248995,13600416,14670030,15365798,16130842,17176017,19482170,21825574,23522414,26125929
 "05009","Boone, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1106490,1145662,1126936,1189495,1236477,1281871,1265781,1263996,1167645,1224576,1241671,1215780,1204655,1251231,1210443,1260637,1291432,1309651,1299134,1301833,1443789,1421937,1465844,1537501
 "05009","Boone, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.679,88.712,87.262,92.107,95.745,99.260,98.014,97.876,90.415,94.823,96.147,94.142,93.281,96.887,93.729,97.615,100.000,101.411,100.596,100.805,111.798,110.105,113.505,119.054
 "05009","Boone, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",812332,853217,853671,937672,996224,1071723,1087668,1107238,1025619,1083077,1116194,1112691,1120781,1190579,1173719,1235544,1291432,1353987,1362906,1382655,1664656,1777938,1845723,1933546
 "05011","Bradley, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",283503,298405,329671,348092,352031,332377,323235,301614,277775,309927,301838,329651,321255,324882,334691,330997,330093,347363,331650,329648,345047,326018,335131,349899
 "05011","Bradley, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.886,90.400,99.872,105.453,106.646,100.692,97.923,91.372,84.150,93.891,91.440,99.866,97.323,98.421,101.393,100.274,100.000,105.232,100.472,99.865,104.530,98.765,101.526,106.000
 "05011","Bradley, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",206297,220498,250261,279770,285538,271132,268089,251736,233903,266348,261589,294267,302330,315731,323526,323752,330093,358227,346420,359653,427492,438536,448274,471968
 "05013","Calhoun, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",315814,318994,346153,374273,378081,407845,391647,445737,401430,395737,366569,279443,298618,306821,349746,349066,337969,335913,322661,346351,381706,329126,327084,346369
 "05013","Calhoun, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",93.445,94.386,102.422,110.742,111.869,120.675,115.882,131.887,118.777,117.093,108.462,82.683,88.357,90.784,103.485,103.283,100.000,99.392,95.471,102.480,112.941,97.384,96.779,102.485
 "05013","Calhoun, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",228666,232250,250361,275190,287208,315037,308316,364455,365346,344713,323882,256001,279994,290604,344271,348874,337969,340369,336468,369320,405060,387957,416863,458120
 "05015","Carroll, AR",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",694317,728206,759536,889650,894760,859551,769486,754777,670127,721634,728073,709031,778427,868927,825981,793001,832740,847359,839525,816981,916673,977665,870673,1013672
 "05015","Carroll, AR",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.377,87.447,91.209,106.834,107.448,103.220,92.404,90.638,80.473,86.658,87.431,85.144,93.478,104.345,99.188,95.228,100.000,101.755,100.815,98.108,110.079,117.403,104.555,121.727
 "05015","Carroll, AR",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",526690,565652,598111,714194,717289,694303,653090,656840,602090,647186,653798,656934,732246,834066,805168,789309,832740,859304,875592,877701,1020369,1166598,1102741,1308918
