GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "04000","Arizona",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",230885564,238257096,253743083,264989995,283806171,296424393,306611569,302277938,277412371,282252452,290411264,297077253,298859949,301721179,308582795,319008379,333098997,346398299,359576749,366588009,396457492,413798764,427644002,446968228
 "04000","Arizona",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",69.314,71.527,76.176,79.553,85.202,88.990,92.048,90.747,83.282,84.735,87.185,89.186,89.721,90.580,92.640,95.770,100.000,103.993,107.949,110.054,119.021,124.227,128.383,134.185
 "04000","Arizona",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",172899646,180844454,194317966,207246252,227997816,246061113,261152784,261005791,244862188,250527038,261691422,272703341,278679501,286675965,298942157,313787090,333098997,353670978,375376652,390503168,438135997,488722176,530104960,570088550
 "04001","Apache, AZ",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2176830,2100464,2177288,2138478,2179462,2279321,2301997,2586830,2560498,2845368,2943866,2800371,2832674,2585349,2568912,2603504,2640484,2672460,2393488,2408191,2391376,2349310,2302151,2281917
 "04001","Apache, AZ",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.441,79.548,82.458,80.988,82.540,86.322,87.181,97.968,96.971,107.759,111.490,106.055,107.279,97.912,97.289,98.599,100.000,101.211,90.646,91.203,90.566,88.973,87.187,86.420
 "04001","Apache, AZ",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1507223,1479175,1583851,1603091,1695242,1860744,1932045,2218971,2301864,2557990,2686475,2565191,2662103,2523196,2524512,2545019,2640484,2752407,2526553,2588262,2740667,2874707,2913128,2947583
 "04003","Cochise, AZ",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",3647128,3676578,3949401,4038852,4244601,4352073,4609239,4689284,4712495,4920718,4980412,4781331,4610485,4450513,4548133,4651172,4585054,4589727,4677243,5010802,4926398,5046654,5084100,5204349
 "04003","Cochise, AZ",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.544,80.186,86.136,88.087,92.575,94.919,100.527,102.273,102.779,107.321,108.623,104.281,100.555,97.066,99.195,101.442,100.000,100.102,102.011,109.286,107.445,110.067,110.884,113.507
 "04003","Cochise, AZ",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2598072,2690589,2977800,3132791,3396164,3612145,3939230,4082656,4198252,4420121,4541138,4418428,4327762,4268104,4439351,4583630,4585054,4703080,4885687,5363186,5467118,5913403,6228079,6576220
 "04005","Coconino, AZ",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",5400923,5460131,5555878,5742324,6021846,6249977,6799218,6648085,6312290,6722700,7219011,6953191,7198666,7062458,7203886,7237251,7898455,7901190,7642638,7029842,7574254,7767613,7954200,8294983
 "04005","Coconino, AZ",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",68.379,69.129,70.341,72.702,76.241,79.129,86.083,84.169,79.918,85.114,91.398,88.032,91.140,89.416,91.206,91.629,100.000,100.035,96.761,89.003,95.895,98.343,100.706,105.020
 "04005","Coconino, AZ",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3800666,3909988,4076325,4322202,4691124,5072815,5685933,5652559,5589750,5947604,6452476,6301387,6660319,6711052,7008745,7124979,7898455,8077292,8014911,7558183,8438967,9171216,9926767,10662231
 "04007","Gila, AZ",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1450219,1445568,1484345,1525138,1595040,1753264,1937178,1897305,1896102,2043310,2236287,1853469,1989003,1840553,1710638,1594405,1690566,1655213,1637089,1732748,1862550,1759262,1803720,1821016
