GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "06000","California",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1784567677,1821509513,1895287618,1956745474,2042141033,2120435378,2168940424,2192331807,2110679365,2153852764,2192887191,2255437279,2340335324,2428675697,2545979525,2623711672,2740550256,2850970282,2969608988,2930654608,3151112483,3147211352,3204016448,3306928555
 "06000","California",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",65.117,66.465,69.157,71.400,74.516,77.373,79.143,79.996,77.017,78.592,80.016,82.299,85.397,88.620,92.900,95.737,100.000,104.029,108.358,106.937,114.981,114.839,116.911,120.667
 "06000","California",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1373270815,1419321823,1498577965,1585081440,1698858388,1812161630,1900220369,1946241466,1879809513,1938603260,2014050287,2108873110,2223300903,2342218803,2487156418,2586485176,2740550256,2899530864,3068629663,3072927609,3418256057,3618289670,3827007268,4048108136
 "06001","Alameda, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",86924126,87945920,91564585,92470454,94611477,97221046,98832535,99236414,94214542,97503433,99901787,103075886,106957044,111256132,119277959,123298691,130430017,135481671,139438051,136209080,145824780,148762514,147576503,149073515
 "06001","Alameda, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",66.644,67.428,70.202,70.897,72.538,74.539,75.774,76.084,72.234,74.755,76.594,79.028,82.003,85.299,91.450,94.532,100.000,103.873,106.906,104.431,111.803,114.055,113.146,114.294
 "06001","Alameda, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",67497426,69330707,72767148,75013139,78553382,82874350,86125602,87513605,84959602,88040021,91204292,95914097,100944214,106556287,116681306,122106447,130430017,137388106,144158659,143534210,156893980,168731055,175675407,182539223
 "06003","Alpine, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",84720,87647,89449,86175,87711,88802,97501,94188,89805,94445,106013,105258,101992,109676,112863,111940,114872,115488,133602,107836,106959,102892,109499,115535
 "06003","Alpine, CA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.752,76.300,77.869,75.019,76.356,77.306,84.878,81.994,78.178,82.218,92.288,91.631,88.788,95.477,98.251,97.448,100.000,100.537,116.305,93.875,93.112,89.571,95.323,100.578
 "06003","Alpine, CA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",58595,62265,64631,63873,67825,71300,81378,80604,78313,82178,93437,95001,93880,102992,109227,110320,114872,118346,140189,115174,116954,117911,133746,146275
 "06005","Amador, CA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1360828,1572280,1616440,1685018,1677506,1669942,1639393,1620129,1539261,1516280,1490526,1410001,1442873,1471869,1509231,1553868,1608472,1630629,1680454,1578079,1583924,1599691,1659732,1649007
