GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "08000","Colorado",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",242650096,243701932,246017435,250069293,261992919,268190805,278733823,281803303,275659145,279385573,283963779,289339541,301484129,315399050,330526147,337685173,350209112,365204531,383725638,380543997,406309165,422576125,440225205,448838490
 "08000","Colorado",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",69.287,69.588,70.249,71.406,74.810,76.580,79.591,80.467,78.713,79.777,81.084,82.619,86.087,90.060,94.380,96.424,100.000,104.282,109.570,108.662,116.019,120.664,125.704,128.163
 "08000","Colorado",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",185848949,189604648,195137640,203743341,220803754,232853629,248571565,257606096,249817109,256771808,266114105,274738794,291265349,309223898,320895865,330565921,350209112,373923074,397843587,396981147,445781335,499197379,533268581,557632963
 "08001","Adams, CO*",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",14971683,15354985,15870969,16631045,17178897,17650850,18236453,20359149,19636741,19683736,19765507,19952136,20925981,22710445,23652035,24758299,25629536,26745667,28261370,28354371,30240251,31001079,32311644,33004761
 "08001","Adams, CO*",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",58.416,59.911,61.925,64.890,67.028,68.869,71.154,79.436,76.618,76.801,77.120,77.848,81.648,88.610,92.284,96.601,100.000,104.355,110.269,110.632,117.990,120.958,126.072,128.776
 "08001","Adams, CO*",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",10802010,11247572,11810461,12740725,13764308,14695185,15533769,17532603,17091761,17377304,18021831,18651782,19797172,21829543,23110625,24214126,25629536,27591876,29759641,30236085,34170706,38306932,41346404,43102130
 "08003","Alamosa, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",569115,691749,562323,585393,612862,613425,604686,627872,643084,617780,636568,610489,618319,609007,661373,651875,656089,687174,715624,676519,699356,699423,716587,698903
 "08003","Alamosa, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.744,105.435,85.708,89.225,93.411,93.497,92.165,95.699,98.018,94.161,97.025,93.050,94.243,92.824,100.805,99.358,100.000,104.738,109.074,103.114,106.595,106.605,109.221,106.526
 "08003","Alamosa, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",400293,491255,412739,445305,476279,492125,512140,543112,555574,544041,577109,566004,587799,588730,644938,639255,656089,702985,748043,725190,797104,856871,913299,911621
 "08005","Arapahoe, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",36567316,36109396,35659269,34623211,35504473,36749466,37256028,34924775,33494559,34835430,36415807,37331202,40085819,42001104,43835384,44706303,45628689,47721938,48998064,49192246,50914754,52680392,53716475,54462475
 "08005","Arapahoe, CO",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.141,79.137,78.151,75.880,77.812,80.540,81.650,76.541,73.407,76.345,79.809,81.815,87.852,92.050,96.070,97.978,100.000,104.588,107.384,107.810,111.585,115.455,117.725,119.360
 "08005","Arapahoe, CO",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",28480075,28536590,28548371,28336332,29680033,31552851,32681190,30974503,30141878,31505060,33251171,34710650,37773470,40110623,42467421,44103118,45628689,48596586,50829752,51915492,55252702,60300171,63943319,66677000
 "08007","Archuleta, CO",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",363083,375219,369177,353005,386912,422566,430737,442756,451490,430481,436469,439046,456366,462622,485755,508259,499020,509816,525128,508663,542942,557426,564873,586428
