GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "11000","District of Columbia",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",96185345,99014659,100969449,106547191,108884101,108848328,112287649,116213705,115645991,120393223,122636380,123567873,124094795,126883923,129110196,132217775,134298772,138056788,138909669,137828870,143338748,143050800,143179241,145087985
 "11000","District of Columbia",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.620,73.727,75.183,79.336,81.076,81.049,83.610,86.534,86.111,89.646,91.316,92.010,92.402,94.479,96.137,98.450,100.000,102.798,103.433,102.629,106.731,106.517,106.612,108.034
 "11000","District of Columbia",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",65620003,70077978,74047011,80600720,85414532,88350899,94013833,99240369,100430146,106128618,109953858,112512651,114832729,119998013,124753577,129933482,134298772,141240175,145071418,146854611,156581307,165106249,174250699,184297673
 "11001","District of Columbia, DC",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",96185345,99014659,100969449,106547191,108884101,108848328,112287649,116213705,115645991,120393223,122636380,123567873,124094795,126883923,129110196,132217775,134298772,138056788,138909669,137828870,143338748,143050800,143179241,145087985
 "11001","District of Columbia, DC",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.620,73.727,75.183,79.336,81.076,81.049,83.610,86.534,86.111,89.646,91.316,92.010,92.402,94.479,96.137,98.450,100.000,102.798,103.433,102.629,106.731,106.517,106.612,108.034
 "11001","District of Columbia, DC",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",65620003,70077978,74047011,80600720,85414532,88350899,94013833,99240369,100430146,106128618,109953858,112512651,114832729,119998013,124753577,129933482,134298772,141240175,145071418,146854611,156581307,165106249,174250699,184297673
"Note: See the included footnote file."
"CAGDP1: County gross domestic product (GDP) summary "
"Last updated: February 5, 2026-- new statistics for 2024; revised statistics for 2020-2023."
"U.S. Bureau of Economic Analysis"
