GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "10000","Delaware",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",65724791,63702543,64316787,67735474,66381193,68411829,68132404,65771321,69186157,68291851,71103481,70562372,68656786,73961749,76211173,71941407,69555627,70856435,74627793,72728770,75205533,81111785,82090935,85350534
 "10000","Delaware",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",94.492,91.585,92.468,97.383,95.436,98.356,97.954,94.559,99.469,98.183,102.225,101.447,98.708,106.335,109.569,103.430,100.000,101.870,107.292,104.562,108.123,116.614,118.022,122.708
 "10000","Delaware",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",46373838,45865370,47839635,51674074,52048632,55567673,56705632,55250812,57729888,58132184,61379424,62342117,62058206,68606036,72352454,70021471,69555627,73376041,78710528,77757152,83554717,97030368,103332486,110971772
 "10001","Kent, DE",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",6093023,6233227,6417318,7140541,7155882,7328201,7523257,7256045,7692168,7496283,7568530,7075683,7079534,7256299,7430423,7582401,7633026,7813320,8393407,7950254,8287674,8652805,8588182,9069233
 "10001","Kent, DE",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.824,81.661,84.073,93.548,93.749,96.007,98.562,95.061,100.775,98.209,99.155,92.698,92.749,95.065,97.346,99.337,100.000,102.362,109.962,104.156,108.577,113.360,112.513,118.816
 "10001","Kent, DE",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",4237267,4450512,4684848,5360606,5530239,5858794,6197568,6110642,6661653,6557371,6738419,6440377,6580817,6878583,7205348,7457250,7633026,7983420,8763609,8516860,9274828,10336744,10766443,11652246
 "10003","New Castle, DE",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",50454362,48813986,49110506,51270459,49296006,50795811,49963643,47955747,50625744,50684370,53434570,53160919,50696371,55259641,56065575,52139304,49730862,50310701,52452281,51354826,52377386,56638956,56713814,58412908
 "10003","New Castle, DE",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",101.455,98.156,98.753,103.096,99.126,102.141,100.468,96.431,101.799,101.917,107.448,106.897,101.941,111.117,112.738,104.843,100.000,101.166,105.472,103.266,105.322,113.891,114.041,117.458
 "10003","New Castle, DE",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",35721133,35233173,36667406,39229939,38797789,41451486,41713243,40227041,41838016,42849922,45752006,46577766,45461381,50945754,52967313,50621639,49730862,52317184,55460640,54862141,58076046,67695986,71266625,75963832
 "10005","Sussex, DE",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",9138224,8620233,8756063,9298274,9912162,10269942,10636340,10550862,10862575,10123984,10131842,10366214,10892022,11475566,12732680,12223049,12191740,12734790,13790801,13430837,14545784,15826363,16790232,17867776
 "10005","Sussex, DE",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.954,70.706,71.820,76.267,81.302,84.237,87.242,86.541,89.098,83.040,83.104,85.027,89.339,94.126,104.437,100.257,100.000,104.454,113.116,110.163,119.309,129.812,137.718,146.556
 "10005","Sussex, DE",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",6415439,6181685,6487382,7083529,7720604,8257393,8794821,8913129,9230219,8724891,8888999,9323974,10016008,10781699,12179793,11942582,12191740,13075436,14486279,14378151,16203843,18997637,21299417,23355694
"Note: See the included footnote file."
"CAGDP1: County gross domestic product (GDP) summary "
"Last updated: February 5, 2026-- new statistics for 2024; revised statistics for 2020-2023."
"U.S. Bureau of Economic Analysis"
