GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "13000","Georgia",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",422731647,427329710,439074597,461245412,480838326,487524899,492238681,481860301,464016791,471588220,481215370,489027294,499900185,517511928,540108516,561718262,583543340,600934681,620744879,603202534,643748440,670107207,679447226,697450891
 "13000","Georgia",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.442,73.230,75.243,79.042,82.400,83.546,84.353,82.575,79.517,80.815,82.464,83.803,85.666,88.684,92.557,96.260,100.000,102.980,106.375,103.369,110.317,114.834,116.435,119.520
 "13000","Georgia",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",316872709,326017938,339540505,364530071,388707203,405664157,419384832,416303520,409876205,419013087,433137062,449375583,467559538,493370260,525516840,554903166,583543340,612803388,646695802,638488253,706004628,785922704,835755259,881508201
 "13001","Appling, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1070715,1019253,1092003,1173554,1097196,1120194,1109277,1205334,1151730,1334301,1493128,1536188,1489906,1481920,1507038,1611880,1535236,1472193,1529301,1640144,1627166,1704888,1705149,1671215
 "13001","Appling, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",69.743,66.391,71.129,76.441,71.468,72.966,72.254,78.511,75.020,86.912,97.257,100.062,97.047,96.527,98.163,104.992,100.000,95.894,99.613,106.833,105.988,111.051,111.068,108.857
 "13001","Appling, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",815291,759376,846548,935621,902492,975787,976103,1053130,1101171,1245285,1400435,1414205,1418167,1493333,1507251,1563838,1535236,1514089,1607649,1724548,1952079,2272428,2260230,2181454
 "13003","Atkinson, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",162277,162676,174519,175842,188608,192461,174681,191088,187033,189361,186110,183491,195938,195235,223935,214134,232974,237011,241011,236713,246395,246469,261810,272823
 "13003","Atkinson, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",69.655,69.826,74.909,75.477,80.957,82.611,74.979,82.021,80.281,81.280,79.885,78.760,84.103,83.802,96.120,91.913,100.000,101.733,103.450,101.605,105.761,105.793,112.378,117.104
 "13003","Atkinson, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",124925,124095,137468,148473,153934,155967,147636,161571,152798,159649,162916,165836,186583,190762,218389,209112,232974,243289,248986,252894,302872,338989,349764,362302
 "13005","Bacon, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",288079,258710,271827,280041,293387,286052,288599,294174,298507,296983,312083,306717,315984,326170,332515,347642,361403,356861,356012,350702,344922,384752,398072,399545
 "13005","Bacon, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.711,71.585,75.214,77.487,81.180,79.150,79.855,81.398,82.597,82.175,86.353,84.868,87.433,90.251,92.007,96.192,100.000,98.743,98.508,97.039,95.440,106.461,110.146,110.554
 "13005","Bacon, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",218395,199020,213456,227270,238107,235258,243158,250882,255077,259367,283406,285142,302043,316615,325148,342429,361403,363512,371067,371993,386729,468320,499709,508234
 "13007","Baker, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",85135,93830,98140,82970,95498,96419,92254,91361,92661,93395,96361,97697,91185,73095,70107,77926,66476,69454,72380,67627,71734,67317,62677,67662
 "13007","Baker, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",128.069,141.148,147.632,124.812,143.657,145.043,138.778,137.435,139.391,140.494,144.956,146.966,137.170,109.957,105.462,117.224,100.000,104.480,108.881,101.732,107.910,101.265,94.285,101.783
 "13007","Baker, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",59537,64747,72090,66524,72056,72235,81028,81354,73554,79726,95341,99208,98523,77100,70169,74734,66476,70014,73902,69559,81738,86458,80712,88229
 "13009","Baldwin, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1495566,1599364,1613526,1575253,1580174,1593168,1527255,1524035,1482163,1410160,1410325,1394333,1352451,1374287,1358332,1354714,1337656,1337951,1402638,1312167,1410110,1432028,1492324,1539495
 "13009","Baldwin, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",111.805,119.565,120.623,117.762,118.130,119.101,114.174,113.933,110.803,105.420,105.433,104.237,101.106,102.738,101.546,101.275,100.000,100.022,104.858,98.094,105.417,107.055,111.563,115.089
 "13009","Baldwin, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1036976,1135540,1169797,1168273,1205029,1255770,1239214,1256205,1261676,1209251,1223973,1240298,1234310,1285398,1307532,1332042,1337656,1371237,1471624,1423351,1589060,1712693,1877393,1989950
 "13011","Banks, GA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",292098,290094,295026,330481,348634,320097,344376,352953,341513,331579,292721,335568,366313,424266,423774,375160,413116,431296,411647,381186,416991,495522,486795,527369
 "13011","Banks, GA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.706,70.221,71.415,79.997,84.391,77.484,83.360,85.437,82.668,80.263,70.857,81.229,88.671,102.699,102.580,90.812,100.000,104.401,99.644,92.271,100.938,119.947,117.835,127.656
 "13011","Banks, GA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",226184,225513,234850,276309,288613,271846,306378,319281,306172,302831,275090,322950,364856,423038,415368,364390,413116,436657,427027,406330,469885,618597,626802,689960
