GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "17000","Illinois",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",688404254,692398081,703548764,726139030,741248580,759825672,769571627,759095327,740794302,755391375,772225623,790723271,795435232,811490102,825424943,826404691,832826821,851517192,858018321,810693082,857114585,872907485,884965268,899125864
 "17000","Illinois",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.659,83.138,84.477,87.190,89.004,91.235,92.405,91.147,88.949,90.702,92.723,94.945,95.510,97.438,99.111,99.229,100.000,102.244,103.025,97.342,102.916,104.813,106.260,107.961
 "17000","Illinois",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",499618408,511485870,528577023,560079755,589153665,624068061,649307385,649677276,645843239,663929015,691805460,725477984,742890876,772291744,802591985,813561586,832826821,871024222,895601838,860807807,947223924,1037735891,1100794064,1148106102
 "17001","Adams, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2729402,2793895,2959431,3072999,3140568,3205728,3219690,3258738,3184763,3283240,3396698,3466423,3455367,3590184,3589551,3700649,3422692,3502952,3500413,3263320,3586088,3568532,3574889,3602228
 "17001","Adams, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.744,81.629,86.465,89.783,91.757,93.661,94.069,95.210,93.048,95.926,99.241,101.278,100.955,104.894,104.875,108.121,100.000,102.345,102.271,95.344,104.774,104.261,104.447,105.245
 "17001","Adams, IL",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2036004,2122329,2276389,2410771,2513824,2618180,2691298,2762460,2784484,2876174,3021812,3167296,3218666,3403639,3497290,3657897,3422692,3565474,3645028,3475986,3986086,4296564,4522165,4661117
 "17003","Alexander, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",193045,192459,190301,194463,191193,200535,195008,234347,209395,215185,182648,159924,165669,159942,168179,159010,155341,154008,162131,150018,139524,132517,142138,201779
 "17003","Alexander, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",124.272,123.894,122.505,125.185,123.080,129.093,125.536,150.860,134.797,138.525,117.579,102.951,106.648,102.962,108.265,102.362,100.000,99.142,104.371,96.573,89.818,85.307,91.501,129.894
 "17003","Alexander, IL",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",134279,137926,139416,147814,149976,162773,163854,202847,184345,193743,170880,153265,162323,158602,165068,153873,155341,156944,169113,159842,163354,169786,186312,273469
 "17005","Bond, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",436340,435224,454310,486502,467356,487055,459641,488003,499302,528626,521102,525269,521161,503237,575134,536577,540705,574706,570121,559449,519935,589501,583226,587691
 "17005","Bond, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.698,80.492,84.022,89.975,86.435,90.078,85.008,90.253,92.343,97.766,96.375,97.145,96.385,93.070,106.367,99.236,100.000,106.288,105.440,103.467,96.159,109.024,107.864,108.690
 "17005","Bond, IL",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",310395,315823,337695,373001,363117,391475,382491,414390,429196,459266,468712,484211,491478,482743,561402,527415,540705,586517,595238,592888,587250,741449,760392,781233
 "17007","Boone, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1334801,1394694,1377711,1399653,1466549,1875891,1856364,1699644,1261464,1458083,1579644,1701982,1754759,1710667,1769585,1797846,1725520,1952995,1950978,1698476,1690266,1686320,1583203,1628500
 "17007","Boone, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.356,80.827,79.843,81.115,84.992,108.715,107.583,98.500,73.106,84.501,91.546,98.636,101.695,99.139,102.554,104.192,100.000,113.183,113.066,98.433,97.957,97.728,91.752,94.377
 "17007","Boone, IL",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1104198,1166013,1156212,1181206,1250457,1586205,1583596,1441779,1134590,1289083,1389040,1539213,1613006,1608758,1742995,1791237,1725520,1966194,1996698,1772875,1747166,1856227,1873418,1974934
 "17009","Brown, IL",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",255704,266847,306028,315569,304037,303842,311985,323638,339464,345659,344534,367637,395005,398937,448072,444724,472626,493841,513185,479571,461287,436230,430273,438664
 "17009","Brown, IL",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",54.103,56.460,64.751,66.769,64.329,64.288,66.011,68.477,71.825,73.136,72.898,77.786,83.577,84.408,94.805,94.096,100.000,104.489,108.582,101.469,97.601,92.299,91.039,92.814
