GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "18000","Indiana",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",273884440,280722997,293045179,303819771,306344585,312525549,322661718,322384267,299789016,320731753,321532778,323876247,333207355,343827774,341205184,348439193,357535761,368762945,370507207,359963578,386872751,393481497,400369543,412003374
 "18000","Indiana",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.603,78.516,81.962,84.976,85.682,87.411,90.246,90.168,83.849,89.706,89.930,90.586,93.196,96.166,95.432,97.456,100.000,103.140,103.628,100.679,108.205,110.054,111.980,115.234
 "18000","Indiana",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",205325079,213419588,225349293,239278532,247428291,259030296,273340792,277774533,264925012,284685817,292373833,301277378,313466853,329360894,333163758,342716636,357535761,377376881,384838700,378292964,425270934,467679632,496849534,519516461
 "18001","Adams, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1166523,1249081,1300689,1322211,1248112,1284272,1285124,1198593,1011315,1178019,1254501,1287024,1372973,1479329,1561885,1606707,1729030,1764093,1820062,1682010,1791465,1827702,1799878,1845806
 "18001","Adams, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",67.467,72.242,75.227,76.471,72.186,74.277,74.326,69.322,58.490,68.132,72.555,74.436,79.407,85.558,90.333,92.925,100.000,102.028,105.265,97.281,103.611,105.707,104.098,106.754
 "18001","Adams, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",951036,1037197,1082814,1110883,1058455,1097144,1118047,1053235,928234,1069559,1150052,1217342,1331246,1451534,1547824,1590887,1729030,1769020,1864460,1764285,1930475,2148941,2232351,2317674
 "18003","Allen, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",15537860,15971030,16685220,17046756,17533712,18159059,18557904,17647997,16318872,16741308,16883846,17590709,17504517,18901208,19718558,20276889,21046574,21752088,21889821,20302115,21627943,22280803,22393127,22994824
 "18003","Allen, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.826,75.884,79.278,80.995,83.309,86.280,88.175,83.852,77.537,79.544,80.221,83.580,83.170,89.807,93.690,96.343,100.000,103.352,104.007,96.463,102.762,105.864,106.398,109.257
 "18003","Allen, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",12449078,12971099,13631526,14180755,14863442,15682389,16255942,15562945,14770266,15128661,15409100,16380414,16512319,18110601,19285184,20079051,21046574,22189169,22733402,21482218,23680449,26261577,27685590,29086714
 "18005","Bartholomew, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",3899845,3791110,3974345,4278646,4554579,4967616,5565241,5885564,4810341,5859221,6024705,6611017,6960112,6640959,6413199,6294125,6366981,6845733,6781714,6314630,6703753,6692863,6864541,7129869
 "18005","Bartholomew, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",61.251,59.543,62.421,67.201,71.534,78.022,87.408,92.439,75.551,92.025,94.624,103.833,109.316,104.303,100.726,98.856,100.000,107.519,106.514,99.178,105.289,105.118,107.815,111.982
 "18005","Bartholomew, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3013908,2968909,3127926,3385784,3673678,4055020,4627692,4920574,4317095,5131701,5254980,5955758,6421025,6254477,6311945,6310018,6366981,6882839,7039925,6714681,7054056,7697842,8638621,9283850
 "18007","Benton, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",248969,274343,254862,258908,246155,261479,260755,295242,273126,353740,387841,344280,444913,408172,354380,457114,429763,416613,467481,491557,485282,487038,505994,461580
 "18007","Benton, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",57.932,63.836,59.303,60.244,57.277,60.843,60.674,68.699,63.553,82.311,90.245,80.109,103.525,94.976,82.459,106.364,100.000,96.940,108.777,114.379,112.918,113.327,117.738,107.403
 "18007","Benton, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",186320,205640,196750,209511,199034,215934,231544,266386,234345,311339,363117,326457,440589,405727,350592,444737,429763,427520,490078,519711,575756,654573,681603,623324
 "18009","Blackford, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",344904,354600,360555,376636,370437,360538,363703,337942,285392,315224,300924,300300,308140,318437,300873,306575,318971,344857,339269,323631,342300,332414,336938,315895
 "18009","Blackford, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",108.130,111.170,113.037,118.079,116.135,113.032,114.024,105.948,89.473,98.826,94.342,94.147,96.604,99.833,94.326,96.114,100.000,108.115,106.364,101.461,107.314,104.215,105.633,99.036
 "18009","Blackford, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",262644,273601,278388,294332,293643,294830,304942,288496,250792,279087,275425,281346,298384,308759,293637,300681,318971,351465,352935,340613,382193,422095,448983,428065
 "18011","Boone, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1453959,1549264,1660354,1826028,1906845,1949271,2014205,2121700,1978626,2102170,2272811,2295222,2780476,2930558,2999334,2972092,3141817,3310920,3497801,3807218,4201603,4209508,4589488,4789931
 "18011","Boone, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",46.278,49.311,52.847,58.120,60.692,62.043,64.110,67.531,62.977,66.909,72.341,73.054,88.499,93.276,95.465,94.598,100.000,105.382,111.330,121.179,133.732,133.983,146.077,152.457
 "18011","Boone, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1080365,1173122,1280025,1450486,1554648,1641157,1753195,1880223,1784572,1903501,2100323,2172222,2656227,2820279,2931141,2925109,3141817,3398047,3662729,4061352,4692210,5164477,5988436,6412372
 "18013","Brown, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",284127,292918,294104,290796,294617,297941,301159,284834,261788,272298,273127,276166,279568,288967,286454,291610,289824,301476,298575,269008,292864,301725,326328,341539
 "18013","Brown, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",98.034,101.068,101.477,100.335,101.654,102.801,103.911,98.278,90.326,93.953,94.239,95.287,96.461,99.704,98.837,100.616,100.000,104.021,103.019,92.818,101.049,104.106,112.595,117.844
 "18013","Brown, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",196773,208321,213038,216841,227426,238009,247662,238685,224618,233865,237798,246245,254806,269591,275308,287069,289824,308715,313479,291074,326958,356347,410169,442551
 "18015","Carroll, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",553426,580507,581564,589674,561876,597598,632716,644799,598324,655421,670045,595423,631063,609690,553987,584665,633194,669781,657670,681251,728263,718255,733337,727723
 "18015","Carroll, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.402,91.679,91.846,93.127,88.737,94.378,99.924,101.833,94.493,103.510,105.820,94.035,99.663,96.288,87.491,92.336,100.000,105.778,103.865,107.590,115.014,113.434,115.815,114.929
 "18015","Carroll, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",390998,420351,427528,443736,424929,456730,506941,536958,513897,572539,616353,569432,621001,600318,546041,580133,633194,671728,677233,724395,822360,866544,942057,951516
 "18017","Cass, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1308092,1363953,1408696,1453054,1393606,1463101,1449128,1468768,1271527,1322975,1360000,1308956,1393497,1411710,1362085,1368029,1380038,1388611,1378108,1392522,1493339,1498783,1499382,1509419
 "18017","Cass, IN",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",94.787,98.835,102.077,105.291,100.983,106.019,105.006,106.430,92.137,95.865,98.548,94.849,100.975,102.295,98.699,99.130,100.000,100.621,99.860,100.905,108.210,108.604,108.648,109.375
 "18017","Cass, IN",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",978480,1040775,1078350,1127110,1097378,1167894,1189307,1232027,1115430,1159907,1208040,1201485,1305337,1343310,1333168,1360652,1380038,1407481,1432602,1491697,1659178,1776660,1900506,1959512
 "18019","Clark, IN",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",3802782,3691592,3803264,3872604,4043977,4280353,4442812,4496093,4410077,4680718,4802057,4898016,4992212,5021881,5087518,5203953,5360653,5441133,5457627,5501640,5770860,5833043,5998711,6468235
