GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "20000","Kansas",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",119474054,121050453,123486685,124793232,129588206,136135805,143586593,147265037,141902512,143870087,147836794,150077075,150702889,154110108,158602592,164643717,166273557,169796876,169562265,166621390,170401178,177776099,180267528,181599646
 "20000","Kansas",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.854,72.802,74.267,75.053,77.937,81.875,86.356,88.568,85.343,86.526,88.912,90.259,90.636,92.685,95.387,99.020,100.000,102.119,101.978,100.209,102.482,106.918,108.416,109.217
 "20000","Kansas",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",88869746,91359013,95236255,98913682,105343948,113831815,123608880,129223192,126049666,129235713,136747073,141812106,144999332,150276120,155698974,162144500,166273557,173373004,176068770,175385594,188993349,213368786,224851278,230522072
 "20001","Allen, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",434234,451057,470331,495490,471275,468106,478111,514081,522590,516309,542654,563580,553725,512469,519397,501323,495778,519797,551914,549389,576581,555178,561186,547637
 "20001","Allen, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.587,90.980,94.867,99.942,95.058,94.419,96.437,103.692,105.408,104.141,109.455,113.676,111.688,103.367,104.764,101.119,100.000,104.845,111.323,110.814,116.298,111.981,113.193,110.460
 "20001","Allen, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",328642,347657,366234,392824,381248,390232,406894,447729,459823,459091,491433,523967,525063,492373,507862,498435,495778,528530,571735,579837,639844,664849,706318,702982
 "20003","Anderson, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",166460,175425,171717,176851,176488,173440,188252,212917,223481,205760,220703,233567,241889,247695,230338,279899,234828,244185,265157,306308,397936,350766,375929,385679
 "20003","Anderson, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.886,74.704,73.125,75.311,75.156,73.858,80.166,90.669,95.168,87.622,93.985,99.463,103.007,105.479,98.088,119.193,100.000,103.985,112.915,130.439,169.458,149.372,160.087,164.239
 "20003","Anderson, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",122121,129939,132153,143256,145445,148354,166943,194471,199425,188534,213034,230816,246676,252274,228178,270387,234828,247888,273445,319699,465127,461049,492657,500503
 "20005","Atchison, KS",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",632684,566915,530005,542664,523033,535892,585190,565637,550016,544534,574684,537258,562827,585274,617060,632406,721355,717844,707318,677647,685717,609009,625065,648222
 "20005","Atchison, KS",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.708,78.590,73.474,75.228,72.507,74.290,81.124,78.413,76.248,75.488,79.667,74.479,78.024,81.135,85.542,87.669,100.000,99.513,98.054,93.941,95.060,84.426,86.652,89.862
 "20005","Atchison, KS",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",459190,418964,396965,427182,425074,459786,517990,514344,489180,496610,543666,513355,541310,573189,605572,624176,721355,733008,736162,718497,765369,730705,794336,845250
