GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "21000","Kentucky",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",161316381,165435295,170481890,175344567,182017881,186332640,185790047,186515929,178112837,186720558,188389784,192060141,196698049,196795825,199487129,201007150,203563965,205940089,211783083,206601879,215534978,220641816,226942416,230966362
 "21000","Kentucky",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.246,81.269,83.749,86.137,89.416,91.535,91.269,91.625,87.497,91.726,92.546,94.349,96.627,96.675,97.997,98.744,100.000,101.167,104.038,101.492,105.881,108.389,111.485,113.461
 "21000","Kentucky",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",117767901,122731220,128289581,135694526,144914898,153009818,156899974,160700202,157440097,166656346,171238125,178370587,184920631,188326378,194621164,197944841,203563965,210509119,220678757,218948607,238693721,262586611,283267673,295375304
 "21001","Adair, KY",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",305856,319689,327133,319456,338125,344591,339717,352894,342344,364931,363723,370717,380156,376386,383473,347930,357657,369778,376062,376357,384421,395045,420635,434091
 "21001","Adair, KY",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.517,89.384,91.465,89.319,94.539,96.347,94.984,98.668,95.719,102.034,101.696,103.652,106.291,105.237,107.218,97.280,100.000,103.389,105.146,105.228,107.483,110.454,117.608,121.371
 "21001","Adair, KY",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",213429,228803,241247,243968,267098,281311,285545,303378,297147,320409,324311,338939,357002,359183,370145,341225,357657,377678,393341,406125,438913,489653,541651,570191
 "21003","Allen, KY",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",369895,358604,362319,376813,377586,416545,412195,383408,354785,404850,396840,413996,414288,410311,430962,469267,482434,490463,475603,439059,471909,510534,475124,481886
 "21003","Allen, KY",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.673,74.332,75.102,78.107,78.267,86.342,85.441,79.474,73.541,83.918,82.258,85.814,85.875,85.050,89.331,97.271,100.000,101.664,98.584,91.009,97.818,105.825,98.485,99.886
 "21003","Allen, KY",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",288123,280475,285531,302439,303968,339725,352984,336393,324449,370324,367330,393159,399026,400704,425231,464139,482434,494421,490473,466079,511510,587666,590439,616432
 "21005","Anderson, KY",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",415369,452960,476917,453896,474295,477823,452378,456550,455612,461518,466351,487864,523786,477939,490761,514552,569020,557095,560616,552029,566759,577769,613627,637832
 "21005","Anderson, KY",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.997,79.603,83.814,79.768,83.353,83.973,79.501,80.234,80.070,81.108,81.957,85.737,92.051,83.993,86.247,90.428,100.000,97.904,98.523,97.014,99.603,101.537,107.839,112.093
