GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "22000","Louisiana",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",210534660,214856125,223576040,234620824,249560897,247139726,234216420,237061610,241868813,253466936,241235869,242416842,236482281,243042891,239584133,235554191,239830737,245220304,246674444,225636003,242582074,240043033,248949396,257055867
 "22000","Louisiana",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.785,89.587,93.222,97.828,104.057,103.048,97.659,98.845,100.850,105.686,100.586,101.078,98.604,101.339,99.897,98.217,100.000,102.247,102.854,94.081,101.147,100.089,103.802,107.182
 "22000","Louisiana",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",138204294,140082830,155198693,170999627,199314180,207249786,203771306,213803512,206111505,226555639,230518675,235960885,231652750,240965026,234324242,227440267,239830737,256444430,257498990,233651988,273063294,304299276,318044299,329172846
 "22001","Acadia, LA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1373489,1404499,1450596,1563684,1618025,1690649,1519057,1647568,1728783,1792405,1747792,1768154,1666077,1687846,1596157,1614558,1579324,1603955,1548806,1532045,1483765,1467213,1555587,1594380
 "22001","Acadia, LA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.967,88.930,91.849,99.010,102.451,107.049,96.184,104.321,109.463,113.492,110.667,111.956,105.493,106.871,101.066,102.231,100.000,101.560,98.068,97.006,93.949,92.901,98.497,100.953
 "22001","Acadia, LA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",930231,938024,1046380,1191918,1324314,1430695,1336905,1548787,1502427,1614307,1631057,1662938,1611512,1665842,1551066,1575980,1579324,1642301,1621748,1630357,1692683,1818116,1992321,2067266
 "22003","Allen, LA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",675667,668215,680874,749300,828819,819169,664620,671236,744513,694904,716401,729654,691520,672677,650407,686858,703014,717493,705226,695120,700567,703120,760401,817883
 "22003","Allen, LA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",96.110,95.050,96.851,106.584,117.895,116.522,94.539,95.480,105.903,98.846,101.904,103.789,98.365,95.685,92.517,97.702,100.000,102.060,100.315,98.877,99.652,100.015,108.163,116.340
 "22003","Allen, LA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",450194,448912,484296,563427,663970,672919,562152,593475,633050,611328,640242,662563,651575,651177,627217,670364,703014,741510,739749,757855,846617,910491,984948,1080471
 "22005","Ascension, LA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",4250057,5662459,5949304,8378668,9799163,7662593,5733146,5390223,5904067,7504149,10003692,10793235,8804832,8358111,8061303,7924092,8222868,8587975,8953419,8038100,8999330,9222491,9332755,9996326
