GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "25000","Massachusetts",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",388180849,388451607,397069872,407886035,417075605,426926105,440373821,447526788,441307571,462330768,472664251,483286306,486991788,496250920,514398745,521662771,530129429,549262072,566326787,560395793,597420007,607470623,614786116,628786940
 "25000","Massachusetts",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.224,73.275,74.901,76.941,78.674,80.532,83.069,84.418,83.245,87.211,89.160,91.164,91.863,93.609,97.033,98.403,100.000,103.609,106.828,105.709,112.693,114.589,115.969,118.610
 "25000","Massachusetts",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",294876428,299915846,309736124,324919033,340637763,358418289,377985559,387923422,388963876,409270002,423684871,441373906,452580371,469824913,497766954,514108023,530129429,559605029,588069506,592855544,650308780,696323061,737867382,778523444
 "25001","Barnstable, MA",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",12068270,12212676,12319567,12657355,12504581,11982139,12131221,12443307,11930910,12267317,12516366,12440227,12583445,12898189,13032722,13066543,12764776,13042121,13473915,12723978,13755816,14155069,14184251,14830770
 "25001","Barnstable, MA",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",94.544,95.675,96.512,99.158,97.962,93.869,95.037,97.482,93.467,96.103,98.054,97.457,98.579,101.045,102.099,102.364,100.000,102.173,105.555,99.680,107.764,110.892,111.120,116.185
 "25001","Barnstable, MA",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",8401512,8719937,8977684,9476355,9670372,9603953,10013283,10442259,10218941,10551912,10899246,11058887,11400834,11947200,12416079,12819955,12764776,13348266,14157930,13703256,15381778,16863027,17874992,19298345
 "25003","Berkshire, MA",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",6219382,6400496,6252642,6436462,6634775,6592845,6628650,6797915,6632260,6790258,6861077,7179458,7228482,7309871,7351578,7295110,7025430,7117760,6979170,6813838,6948067,7117963,7093069,7205142
 "25003","Berkshire, MA",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",88.527,91.105,89.000,91.617,94.439,93.843,94.352,96.762,94.404,96.653,97.661,102.192,102.890,104.049,104.642,103.839,100.000,101.314,99.342,96.988,98.899,101.317,100.963,102.558
 "25003","Berkshire, MA",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",4305392,4523040,4492176,4741792,5042896,5191344,5368253,5629099,5658460,5815573,5981707,6419524,6586707,6808848,7040192,7164283,7025430,7273777,7286891,7277698,7692492,8394264,8791818,9165163
 "25005","Bristol, MA",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",21286145,21585802,21966763,21934501,22045864,22734095,22624179,23490822,22342327,23051740,23351879,23289428,23725608,24418990,25642489,25571865,25856398,25976616,26630255,25976425,27663174,26945603,27106435,27757139
 "25005","Bristol, MA",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.324,83.483,84.957,84.832,85.263,87.924,87.499,90.851,86.409,89.153,90.314,90.072,91.759,94.441,99.173,98.900,100.000,100.465,102.993,100.464,106.988,104.213,104.835,107.351
 "25005","Bristol, MA",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",15825369,16322616,16779022,17140212,17681792,18826646,19236822,20263081,19837094,20541662,21056804,21418461,22178772,23210231,24927342,25204059,25856398,26536680,27885377,27793850,30987221,32439884,34314155,36041041
 "25007","Dukes, MA",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1300880,1305688,1280805,1242936,1188846,1207865,1181506,1250345,1269882,1314459,1365174,1352529,1324457,1381954,1405900,1458422,1414950,1469001,1466589,1414002,1453184,1554830,1570922,1612733
 "25007","Dukes, MA",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.938,92.278,90.519,87.843,84.020,85.365,83.502,88.367,89.747,92.898,96.482,95.589,93.605,97.668,99.360,103.072,100.000,103.820,103.650,99.933,102.702,109.886,111.023,113.978
