GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "24000","Maryland",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",281053611,290400312,297690592,311504756,325644492,329874003,331763540,338165407,336285758,352622878,360155864,361561816,364633242,370343936,378745902,391950935,399714534,402480892,402506244,389178622,407160094,412670663,420557959,433105905
 "24000","Maryland",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.314,72.652,74.476,77.932,81.469,82.527,83.000,84.602,84.131,88.219,90.103,90.455,91.223,92.652,94.754,98.058,100.000,100.692,100.698,97.364,101.863,103.241,105.215,108.354
 "24000","Maryland",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",205275973,217001397,226803391,243449830,261795315,273790981,282618227,292908325,298282784,313930535,324920878,331869045,339895769,351743139,367314088,386496355,399714534,410771781,419391646,413804531,447714280,481861398,515035874,546028367
 "24001","Allegany, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2933314,2909828,2854683,2820988,2802104,2760935,2752479,2764016,2723958,2929334,2910539,2896489,2790765,2823563,2851350,3018531,3068263,3092803,3067784,2859639,2847209,2754965,2697964,2748469
 "24001","Allegany, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",95.602,94.836,93.039,91.941,91.325,89.984,89.708,90.084,88.779,95.472,94.860,94.402,90.956,92.025,92.930,98.379,100.000,100.800,99.984,93.201,92.795,89.789,87.931,89.577
 "24001","Allegany, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2077698,2101386,2092180,2115983,2170574,2224463,2283432,2344951,2402658,2594330,2612866,2646299,2598339,2687776,2772445,2972882,3068263,3161519,3212151,3071367,3194991,3302969,3394483,3542201
 "24003","Anne Arundel, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",28113392,29689245,31332343,33543034,35393218,36210713,37369084,38642423,38637793,40279192,41732920,42515897,44773057,46112183,47215637,49025912,50214633,50232911,50225703,48766277,51745948,51975996,53365763,55635123
 "24003","Anne Arundel, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",55.986,59.125,62.397,66.799,70.484,72.112,74.419,76.955,76.945,80.214,83.109,84.668,89.163,91.830,94.028,97.633,100.000,100.036,100.022,97.116,103.050,103.508,106.275,110.795
 "24003","Anne Arundel, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",21134415,22860004,24632697,26944961,29218185,30816225,32514248,34000957,34781753,36387087,38128279,39394873,42010012,44079268,46077476,48409375,50214633,51192327,52334896,51595490,56401619,60330832,65088646,69946072
 "24005","Baltimore, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",42116695,43216209,43168239,44632581,47210285,47892654,48212036,47628320,47306031,49247591,48645644,48357398,49010354,49683946,50529775,52151190,52810820,54065637,54657991,52028152,54112076,56176347,56060575,57707206
 "24005","Baltimore, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.750,81.832,81.741,84.514,89.395,90.687,91.292,90.187,89.576,93.253,92.113,91.567,92.804,94.079,95.681,98.751,100.000,102.376,103.498,98.518,102.464,106.373,106.154,109.272
 "24005","Baltimore, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",30360063,31839567,32363764,34370524,37459131,39248704,40582177,40823226,41490734,43458674,43639194,44242551,45605539,47167605,49007080,51473140,52810820,55207755,56930655,55558698,59646612,65701249,68903675,73113508
 "24009","Calvert, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2745144,2814400,3028664,3317798,3331774,3513602,3795525,3959517,3994864,4389911,4541414,4461088,4550884,4429365,4834802,5218595,5282884,4491774,4448137,4525704,4203453,4418202,4718524,4828234
 "24009","Calvert, MD",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",51.963,53.274,57.330,62.803,63.067,66.509,71.846,74.950,75.619,83.097,85.965,84.444,86.144,83.844,91.518,98.783,100.000,85.025,84.199,85.667,79.567,83.632,89.317,91.394
 "24009","Calvert, MD",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1999772,2055188,2278498,2562723,2667099,2957736,3252261,3407706,3697386,3984647,4137944,4036234,4221360,4303736,4747588,5088877,5282884,4617443,4692557,4829430,4870796,5540112,6071622,6248492
 "24011","Caroline, MD",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",766703,774406,854833,905195,955258,961629,944260,973707,972280,953846,975983,994058,1150937,1191589,1308652,1345853,1339398,1277612,1193687,1067975,1217318,1250242,1164899,1233365
