GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "26000","Michigan",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",453301454,465788388,477085414,485082677,493796257,483763581,482935051,455256658,416297069,441271527,453989070,463302557,472779860,479534941,490618679,500159534,505101516,516842963,521085050,502622285,528701754,539807471,554556227,562177628
 "26000","Michigan",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.745,92.217,94.453,96.037,97.762,95.776,95.611,90.132,82.418,87.363,89.881,91.725,93.601,94.938,97.133,99.022,100.000,102.325,103.164,99.509,104.672,106.871,109.791,111.300
 "26000","Michigan",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",349127505,363372072,376123836,388764563,402828836,402537346,410613018,391633633,371706984,393179641,408354114,426141099,441470817,456123480,479222676,494752548,505101516,525240776,540237263,530161331,573329390,624173163,676030833,702466918
 "26001","Alcona, MI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",215593,224256,230559,232346,242313,226003,235246,207475,200766,206180,216227,215995,226453,214512,214183,215736,220748,227217,228003,218092,229792,232853,209232,204575
 "26001","Alcona, MI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",97.665,101.589,104.444,105.254,109.769,102.381,106.568,93.987,90.948,93.401,97.952,97.847,102.585,97.175,97.026,97.730,100.000,102.931,103.287,98.797,104.097,105.484,94.783,92.673
 "26001","Alcona, MI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",155786,165973,174926,181413,193980,186476,199267,179567,177272,182163,193238,195955,209968,203513,206234,211676,220748,232114,238724,234186,259458,280626,262674,263184
 "26003","Alger, MI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",300415,304621,299096,310415,302693,288991,273825,238643,232139,230069,224513,239383,239732,245468,238392,237007,243000,249338,252194,235040,246486,251422,251219,253880
 "26003","Alger, MI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",123.627,125.358,123.085,127.743,124.565,118.926,112.685,98.207,95.531,94.678,92.392,98.511,98.655,101.015,98.104,97.534,100.000,102.608,103.784,96.724,101.435,103.466,103.382,104.477
 "26003","Alger, MI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",216862,224407,223724,238139,237318,233427,225128,199680,200489,200706,197392,214604,221419,231334,229869,231912,243000,255743,262520,248946,277307,306266,319901,331727
 "26005","Allegan, MI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",3761169,3821024,3979730,4288651,4349211,4277447,4231897,4081113,3762733,3993452,4153329,4084599,4199506,4021813,4093618,4325370,4308812,4704250,4569627,4669256,4871904,4724378,4945532,5137459
 "26005","Allegan, MI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.290,88.679,92.363,99.532,100.938,99.272,98.215,94.715,87.326,92.681,96.392,94.796,97.463,93.339,95.006,100.384,100.000,109.177,106.053,108.365,113.068,109.645,114.777,119.231
 "26005","Allegan, MI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2654773,2753352,2893553,3167630,3276354,3296740,3375817,3344792,3207541,3404524,3674448,3727775,3899563,3800810,3981149,4268920,4308812,4785690,4765484,4976397,5458052,5810350,6364986,6699359
 "26007","Alpena, MI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1074080,1079809,1077841,1123963,1162305,1127775,1099655,1052538,1044836,1111654,1162632,1071013,1084152,1074146,1095966,1063113,1056755,1054451,1068176,1043088,1097950,1085799,1105067,1126633
 "26007","Alpena, MI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",101.639,102.182,101.995,106.360,109.988,106.721,104.060,99.601,98.872,105.195,110.019,101.349,102.593,101.646,103.711,100.602,100.000,99.782,101.081,98.707,103.898,102.748,104.572,106.613
 "26007","Alpena, MI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",773190,795240,812007,867497,919425,918524,917204,893976,910560,973704,1026901,969248,1007310,1020372,1063517,1047008,1056755,1076870,1118564,1128133,1251908,1344297,1444946,1517342
