GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "27000","Minnesota",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",263518737,268982848,280796863,293753938,301761219,302272714,304208003,309290354,296875220,308091853,315213316,321053857,329774497,338623914,345456250,350603608,354721890,364799702,369617386,357831524,377975798,385921761,389864488,399253322
 "27000","Minnesota",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.289,75.829,79.160,82.812,85.070,85.214,85.760,87.192,83.692,86.854,88.862,90.509,92.967,95.462,97.388,98.839,100.000,102.841,104.199,100.877,106.556,108.796,109.907,112.554
 "27000","Minnesota",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",196869350,204061107,215975080,231949410,244635374,252357640,261250730,268771492,262628808,274649190,287070816,298641415,311752075,324701508,336761970,345248751,354721890,372439227,384850155,378969401,416141874,457393774,483222033,507687780
 "27001","Aitkin, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",409589,438018,432583,457311,495141,437971,464186,449561,450981,481944,457081,422468,416890,392998,439042,444131,450099,467027,489996,464813,503357,473290,483077,508557
 "27001","Aitkin, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.000,97.316,96.108,101.602,110.007,97.305,103.130,99.880,100.196,107.075,101.551,93.861,92.622,87.314,97.543,98.674,100.000,103.761,108.864,103.269,111.832,105.152,107.327,112.988
 "27001","Aitkin, MN",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",285886,313543,316198,343888,383410,350634,380699,375252,385949,413889,400184,378096,381804,368247,421728,435159,450099,479256,517189,505676,572450,577431,620658,673651
 "27003","Anoka, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",10030526,10578612,11430806,11861790,12420857,12711359,12564647,12625918,11872275,12644559,12958695,13266432,13706870,14235505,14571628,14878328,14727190,15328069,15785235,15300714,15793419,15629320,15512869,15749652
 "27003","Anoka, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",68.109,71.830,77.617,80.543,84.340,86.312,85.316,85.732,80.615,85.859,87.992,90.081,93.072,96.661,98.944,101.026,100.000,104.080,107.184,103.894,107.240,106.126,105.335,106.943
 "27003","Anoka, MN",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",8070309,8618786,9305554,9786397,10488525,10947983,10962367,11089993,10783254,11375840,11760572,12302366,12919613,13605016,14247821,14719334,14727190,15591171,16479874,16380935,17423436,18699640,19708571,20602517
 "27005","Becker, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",993985,1023766,1093651,1110556,1136963,1128221,1125601,1124515,1064671,1173906,1216175,1292154,1299962,1314075,1319300,1401137,1359790,1425051,1390867,1368586,1454043,1440265,1474589,1535830
 "27005","Becker, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.098,75.289,80.428,81.671,83.613,82.970,82.777,82.698,78.297,86.330,89.438,95.026,95.600,96.638,97.022,103.041,100.000,104.799,102.285,100.647,106.931,105.918,108.442,112.946
 "27005","Becker, MN",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",709809,745281,813259,855705,907750,929630,965368,980138,941110,1042090,1104357,1201189,1237905,1268657,1289187,1373796,1359790,1453732,1456572,1471690,1650216,1806306,1932549,2058087
 "27007","Beltrami, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1314227,1376132,1426294,1430845,1440251,1422212,1409295,1454466,1490664,1501690,1485173,1535313,1555112,1610196,1644862,1749862,1683816,1764875,1795594,1802268,1872618,1880788,1907231,1954736
 "27007","Beltrami, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.050,81.727,84.706,84.976,85.535,84.464,83.696,86.379,88.529,89.184,88.203,91.181,92.356,95.628,97.687,103.922,100.000,104.814,106.638,107.035,111.213,111.698,113.268,116.090
 "27007","Beltrami, MN",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",949590,1015919,1074536,1110086,1145921,1166409,1188768,1244408,1301446,1320521,1321877,1397105,1448645,1531584,1597272,1722650,1683816,1804546,1881445,1951057,2125043,2270541,2399821,2519091
 "27009","Benton, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1308013,1304124,1480417,1621776,1593999,1611631,1570867,1552971,1462405,1497524,1513792,1549328,1556286,1611906,1683936,1795537,1902500,1827803,1778211,1749370,1801291,1796204,1790237,1782058
 "27009","Benton, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",68.752,68.548,77.814,85.244,83.784,84.711,82.569,81.628,76.868,78.713,79.569,81.436,81.802,84.726,88.512,94.378,100.000,96.074,93.467,91.951,94.680,94.413,94.099,93.669
 "27009","Benton, MN",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",936908,936716,1088520,1230133,1268844,1332084,1341969,1341710,1295630,1331601,1369642,1435175,1472022,1546255,1642224,1771363,1902500,1852141,1860239,1880674,2017759,2217939,2347370,2397767
 "27011","Big Stone, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",155685,175751,161141,183363,183088,185112,171891,208023,219135,199369,186024,238453,225427,205740,227497,214803,207174,197783,190667,220178,230938,241329,232892,246015
 "27011","Big Stone, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.147,84.833,77.781,88.507,88.374,89.351,82.970,100.410,105.774,96.233,89.791,115.098,108.811,99.308,109.810,103.683,100.000,95.467,92.032,106.277,111.471,116.486,112.414,118.748
 "27011","Big Stone, MN",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",107379,124004,118112,141900,140886,145938,146269,180070,179810,169921,168134,220952,218599,200046,220540,209703,207174,203074,201995,238645,274657,327078,315786,336438
 "27013","Blue Earth, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2775813,2937767,2929726,3112181,3240203,3481642,3441698,3405149,3341481,3486952,3603094,3840426,3946259,4053415,4162265,4117646,4045039,4030700,4071899,3938744,4074112,4103876,4120356,4355637
 "27013","Blue Earth, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",68.623,72.626,72.428,76.938,80.103,86.072,85.084,84.181,82.607,86.203,89.074,94.942,97.558,100.207,102.898,101.795,100.000,99.646,100.664,97.372,100.719,101.455,101.862,107.679
 "27013","Blue Earth, MN",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2091271,2249951,2280791,2486360,2625432,2889666,2953510,2968628,2957824,3115232,3300389,3601815,3773735,3916970,4065269,4059278,4045039,4098053,4237108,4192787,4570511,4981515,5227161,5640718
 "27015","Brown, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1188284,1160981,1196441,1272524,1298095,1348405,1313614,1426541,1339927,1295731,1259246,1279032,1299093,1307079,1358644,1478887,1505083,1534101,1446993,1351373,1421601,1442851,1457954,1539839
 "27015","Brown, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.951,77.137,79.493,84.548,86.247,89.590,87.279,94.782,89.027,86.090,83.666,84.981,86.314,86.844,90.270,98.259,100.000,101.928,96.140,89.787,94.453,95.865,96.869,102.309
 "27015","Brown, MN",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",876104,871184,912323,998448,1027080,1089763,1112185,1236339,1176013,1154451,1170290,1223530,1274360,1290184,1341043,1454120,1505083,1552206,1498843,1427959,1590626,1781585,1874601,2006082
 "27017","Carlton, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1192851,1210485,1221515,1258819,1229995,1195074,1243434,1274117,1248606,1299803,1284126,1225385,1241626,1205115,1226793,1278416,1324265,1339278,1363424,1326485,1448583,1430547,1384536,1437280
 "27017","Carlton, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.076,91.408,92.241,95.058,92.881,90.244,93.896,96.213,94.287,98.153,96.969,92.533,93.760,91.003,92.640,96.538,100.000,101.134,102.957,100.168,109.388,108.026,104.551,108.534
 "27017","Carlton, MN",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",816592,844964,864710,913687,922232,938001,1003779,1045888,1065969,1116628,1112579,1081572,1126469,1120717,1178227,1251575,1324265,1373338,1427649,1421596,1615600,1743775,1792864,1906926
 "27019","Carver, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2938099,3112526,3315641,3535056,3733078,3966651,4078867,4262911,3916363,4213866,4410335,4583092,4703368,4962221,5148140,5059174,5349277,5498495,5526704,5207051,5645567,5878041,5810593,5971759
 "27019","Carver, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",54.925,58.186,61.983,66.085,69.787,74.153,76.251,79.691,73.213,78.774,82.447,85.677,87.925,92.764,96.240,94.577,100.000,102.790,103.317,97.341,105.539,109.885,108.624,111.637
 "27019","Carver, MN",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2322253,2497465,2662141,2863777,3083514,3362906,3523658,3732456,3536912,3786375,4020358,4266130,4439531,4736506,5017679,5000047,5349277,5586315,5742117,5524377,6187296,6901200,7202484,7613634
 "27021","Cass, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",863948,893234,920770,901994,892847,862696,852826,821869,826807,912444,880450,872045,873317,855406,949765,968619,992683,1015959,996691,942945,1296108,1051565,1006463,1033761
 "27021","Cass, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.032,89.982,92.756,90.864,89.943,86.905,85.911,82.793,83.290,91.917,88.694,87.847,87.975,86.171,95.677,97.576,100.000,102.345,100.404,94.990,130.566,105.932,101.388,104.138
 "27021","Cass, MN",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",593161,631789,667750,677031,689590,689349,704440,691938,708395,785388,766596,777568,798624,801537,913091,948786,992683,1041815,1050945,1022783,1459252,1273223,1287189,1362903
 "27023","Chippewa, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",503568,568044,526321,516643,599538,605250,565789,586548,596743,584651,591381,636923,607828,553638,586511,555437,570349,557223,532755,541949,587587,588449,608302,587868
 "27023","Chippewa, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",88.291,99.596,92.280,90.584,105.118,106.119,99.200,102.840,104.628,102.507,103.687,111.672,106.571,97.070,102.834,97.385,100.000,97.698,93.409,95.021,103.022,103.173,106.654,103.072
 "27023","Chippewa, MN",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",375165,423692,404284,412340,478902,491535,485227,508914,503552,507025,539802,596835,592522,542915,575200,548047,570349,567747,556555,581237,674467,745073,787802,773803
 "27025","Chisago, MN",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1286340,1350930,1423860,1494213,1533114,1491092,1478656,1470469,1374315,1430427,1458131,1307134,1462751,1450506,1471309,1519500,1544816,1592989,1617907,1548817,1669399,1691609,1677231,1721308
 "27025","Chisago, MN",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.268,87.449,92.170,96.724,99.243,96.522,95.717,95.187,88.963,92.595,94.389,84.614,94.688,93.895,95.242,98.361,100.000,103.118,104.731,100.259,108.065,109.502,108.572,111.425
