GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "29000","Missouri",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",260381100,264997650,271970479,279128189,285341740,286558332,288320839,297881763,289566782,295986430,292984242,296514292,302025663,303617847,308009904,308423302,311273761,314182398,321329082,316158585,331577962,337225445,346895311,353307390
 "29000","Missouri",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.650,85.133,87.373,89.673,91.669,92.060,92.626,95.698,93.026,95.089,94.124,95.258,97.029,97.540,98.951,99.084,100.000,100.934,103.230,101.569,106.523,108.337,111.444,113.504
 "29000","Missouri",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",190388671,197398970,206005201,216977487,227594634,235816857,244085295,256431080,254306243,262013380,263330041,272482412,282659676,289340724,299597652,304143301,311273761,320451636,334750152,335970752,366193057,397536876,428887292,448713710
 "29001","Adair, MO",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",791052,789728,781615,805310,847097,854022,842497,851125,857412,892870,933866,794451,827252,804521,800241,788873,810911,820988,807582,788918,799658,809348,859723,865136
 "29001","Adair, MO",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",97.551,97.388,96.387,99.309,104.462,105.316,103.895,104.959,105.734,110.107,115.163,97.970,102.015,99.212,98.684,97.282,100.000,101.243,99.590,97.288,98.612,99.807,106.019,106.687
 "29001","Adair, MO",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",571941,584464,590425,622337,669968,695069,707109,728187,748695,787449,824884,721534,767087,760568,775424,780087,810911,836294,843082,852879,900410,955147,1072052,1104767
 "29003","Andrew, MO",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",252393,266324,256701,300970,284395,275754,278633,284227,305622,293735,286062,276149,318690,312028,274278,295258,293687,278943,312660,320441,319379,302040,305896,301482
 "29003","Andrew, MO",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.939,90.683,87.406,102.480,96.836,93.894,94.874,96.779,104.064,100.016,97.404,94.028,108.514,106.245,93.391,100.535,100.000,94.980,106.460,109.110,108.748,102.844,104.157,102.654
 "29003","Andrew, MO",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",171781,185332,183769,224749,216690,217729,231602,240422,254166,250862,254024,250652,296914,290219,259042,285824,293687,284314,324283,337507,367562,385168,399434,398909
 "29005","Atchison, MO",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",185484,167147,174542,193897,195153,197743,206036,230332,314238,294388,279375,288327,311143,300624,192510,278957,261345,251713,286286,317063,370354,388106,391931,320841
 "29005","Atchison, MO",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.973,63.956,66.786,74.192,74.672,75.664,78.837,88.133,120.239,112.643,106.899,110.324,119.054,115.029,73.661,106.739,100.000,96.314,109.543,121.320,141.711,148.503,149.967,122.765
 "29005","Atchison, MO",4,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",131644,119291,130023,153326,150304,154300,178040,201614,249133,249669,265896,280844,320345,303488,188912,268013,261345,256496,298040,329937,439348,522276,521669,424630
 "29007","Audrain, MO",4,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",911898,902479,893534,981032,924006,977228,981762,1009510,1006246,1029411,985581,942370,974790,1018537,1036996,1082785,1014955,913318,903636,862279,883188,855015,915178,903844
 "29007","Audrain, MO",4,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.846,88.918,88.037,96.658,91.039,96.283,96.730,99.464,99.142,101.424,97.106,92.848,96.043,100.353,102.172,106.683,100.000,89.986,89.032,84.957,87.018,84.242,90.169,89.053
