GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "28000","Mississippi",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",93515481,94561460,98762106,101369486,103691757,105879896,107713862,109434038,105360020,106711769,106491064,108646459,109032695,109299569,109401724,109911027,110281427,110174777,111207799,111195012,116078364,115700338,119454193,123419283
 "28000","Mississippi",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.797,85.746,89.555,91.919,94.025,96.009,97.672,99.232,95.537,96.763,96.563,98.517,98.868,99.110,99.202,99.664,100.000,99.903,100.840,100.828,105.256,104.914,108.318,111.913
 "28000","Mississippi",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",67750190,69704919,74418391,78680084,82991635,87596680,91876471,95179266,92377998,94788294,96799077,100905376,103042553,105219478,106623886,107795402,110281427,113166404,116135664,117441605,130404566,141724208,151511907,158192369
 "28001","Adams, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1026712,1056596,983644,954033,961264,1006973,961518,1146426,995098,939288,942080,976709,1032060,1001267,971164,948535,940452,951594,967697,885530,942773,924402,952595,978586
 "28001","Adams, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",109.172,112.350,104.593,101.444,102.213,107.073,102.240,121.902,105.811,99.876,100.173,103.855,109.741,106.467,103.266,100.859,100.000,101.185,102.897,94.160,100.247,98.293,101.291,104.055
 "28001","Adams, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",759141,788926,757080,758339,799967,872114,860495,1051644,879105,853061,877164,925188,1001909,988864,938092,923782,940452,980849,1006862,927436,1059204,1132597,1197369,1248525
 "28003","Alcorn, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",991063,1017947,1051251,1079635,1085917,1124241,1090223,1128214,1090042,1103390,1104155,1232928,1277607,1221756,1230726,1187774,1185077,1229697,1233148,1249216,1282187,1239959,1275858,1258193
 "28003","Alcorn, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.629,85.897,88.707,91.103,91.633,94.866,91.996,95.202,91.981,93.107,93.172,104.038,107.808,103.095,103.852,100.228,100.000,103.765,104.056,105.412,108.194,104.631,107.660,106.170
 "28003","Alcorn, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",763666,790913,819682,850471,875435,932735,920961,959112,960061,972555,987977,1126274,1189332,1158755,1199946,1178767,1185077,1252271,1290756,1348508,1430926,1498428,1637205,1661186
 "28005","Amite, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",198679,199441,197149,222341,222022,210442,184329,202298,187521,183660,165400,182716,200044,231583,221223,222302,249376,252408,290559,248324,262174,271439,277920,310589
 "28005","Amite, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.670,79.976,79.057,89.159,89.031,84.387,73.916,81.121,75.196,73.648,66.325,73.269,80.218,92.865,88.710,89.143,100.000,101.216,116.514,99.578,105.132,108.847,111.446,124.546
 "28005","Amite, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",158321,160020,164546,199491,198640,189010,165807,184162,166881,168411,155956,175626,200002,233258,215115,213144,249376,258946,290415,239917,298169,359332,349245,389285
 "28007","Attala, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",468490,593408,494986,474747,545554,532537,535084,550048,516615,527984,554014,529657,534121,572095,539041,525281,498906,475415,462922,513115,524522,533165,517285,504151
 "28007","Attala, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",93.903,118.942,99.214,95.158,109.350,106.741,107.252,110.251,103.550,105.829,111.046,106.164,107.058,114.670,108.045,105.287,100.000,95.292,92.787,102.848,105.135,106.867,103.684,101.051
 "28007","Attala, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",332621,428113,364886,360419,427263,434971,449196,467582,458334,467069,496252,481438,497038,551154,527194,514789,498906,487750,484289,542211,601736,662586,655591,640738
 "28009","Benton, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",107922,108132,118025,131405,167487,155733,176139,146271,140037,177491,241530,332964,332460,295573,309847,348850,334781,331677,252884,306167,254882,300751,308447,314528
 "28009","Benton, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",32.237,32.299,35.254,39.251,50.029,46.518,52.613,43.692,41.829,53.017,72.146,99.457,99.307,88.288,92.552,104.203,100.000,99.073,75.537,91.453,76.134,89.835,92.134,93.950
 "28009","Benton, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",81651,83637,92871,105977,138631,134411,154362,128425,130896,163250,222415,302816,311152,292198,308020,339896,334781,341885,267049,324541,298079,383062,396193,399603
 "28011","Bolivar, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1190727,1106422,1240073,1176372,1087728,1164614,1181775,1007252,1017211,1059412,1128606,1188635,1273542,1142829,1056428,1090476,1101909,1100995,990592,1018172,1046878,1020257,1095776,1062695
 "28011","Bolivar, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",108.060,100.410,112.539,106.758,98.713,105.691,107.248,91.410,92.314,96.143,102.423,107.870,115.576,103.714,95.872,98.962,100.000,99.917,89.898,92.401,95.006,92.590,99.443,96.441
 "28011","Bolivar, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",835353,785238,901543,884288,828505,908742,959285,834556,849759,902312,986541,1066319,1167758,1069047,1020534,1068352,1101909,1123834,1030671,1069181,1203818,1307046,1427308,1385537
 "28013","Calhoun, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",318166,304468,315874,327051,330618,305373,292748,278788,265798,305291,352094,294445,316858,297509,293071,289964,268235,271707,276515,307213,303721,277340,281763,276831
 "28013","Calhoun, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",118.615,113.508,117.760,121.927,123.257,113.845,109.139,103.934,99.092,113.815,131.263,109.771,118.127,110.914,109.259,108.101,100.000,101.295,103.087,114.531,113.229,103.395,105.043,103.205
 "28013","Calhoun, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",220451,213604,226594,245384,248163,231931,229418,220385,213405,249319,301813,259775,290196,280856,281483,283944,268235,280018,290830,333560,370284,370056,379039,378407
 "28015","Carroll, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",140041,127663,128583,132962,134850,129662,114001,116152,111236,116684,142837,135630,137536,126485,119083,114687,115708,118030,113203,110419,111995,101845,102719,108984
 "28015","Carroll, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",121.030,110.332,111.128,114.912,116.544,112.060,98.525,100.384,96.135,100.844,123.447,117.218,118.865,109.314,102.917,99.118,100.000,102.007,97.836,95.429,96.791,88.019,88.774,94.190
 "28015","Carroll, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",93018,86613,89615,97253,100300,99364,91013,94602,93905,97931,122472,119666,124548,116608,113288,112886,115708,121219,119844,120442,126489,126150,135019,147559
 "28017","Chickasaw, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",477137,460023,485650,509353,524237,511769,457697,498049,485211,528958,525247,511358,496843,519645,488762,506553,479685,451693,474083,508973,517969,457056,430965,419587
 "28017","Chickasaw, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",99.469,95.901,101.243,106.185,109.288,106.688,95.416,103.828,101.152,110.272,109.498,106.603,103.577,108.330,101.892,105.601,100.000,94.164,98.832,106.106,107.981,95.283,89.843,87.471
 "28017","Chickasaw, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",360531,353525,375975,396195,416640,418125,387401,428471,429263,470759,486330,486315,484262,508312,479632,494388,479685,458002,492477,536541,591662,593302,583112,573877
 "28019","Choctaw, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",206465,352538,474646,491032,473649,477904,524678,483685,498425,562850,478604,515528,477173,541863,665397,699966,686046,719533,670287,677384,647165,709247,643866,626320
 "28019","Choctaw, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",30.095,51.387,69.186,71.574,69.040,69.661,76.479,70.503,72.652,82.043,69.763,75.145,69.554,78.983,96.990,102.029,100.000,104.881,97.703,98.737,94.333,103.382,93.852,91.294
 "28019","Choctaw, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",122893,212116,297315,330077,347550,381465,435615,420448,466401,533525,465321,492783,460904,543546,657159,674203,686046,743383,705653,712558,777426,943957,859542,833505
 "28021","Claiborne, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",698772,773022,811859,804859,746544,769172,675768,733184,791332,768514,858062,799400,874168,816768,832551,593553,651509,614718,772347,600687,732294,645571,722498,671489
 "28021","Claiborne, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",107.254,118.651,124.612,123.538,114.587,118.060,103.724,112.536,121.461,117.959,131.704,122.700,134.176,125.365,127.788,91.104,100.000,94.353,118.547,92.199,112.400,99.089,110.896,103.067
 "28021","Claiborne, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",511039,552980,606113,616659,593075,651570,577464,622983,743143,703871,786464,720968,814035,808581,825730,577387,651509,635337,816349,636742,874028,840295,938523,860755
 "28023","Clarke, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",302980,303568,263937,279056,277509,298548,268356,283245,294543,304229,312167,346457,344611,331675,311785,293512,278569,291818,278558,282182,278513,271437,300895,317787
 "28023","Clarke, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",108.763,108.974,94.747,100.175,99.619,107.172,96.334,101.678,105.734,109.211,112.061,124.370,123.707,119.064,111.924,105.364,100.000,104.756,99.996,101.297,99.980,97.440,108.015,114.078
 "28023","Clarke, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",227418,230699,207564,228149,234730,260850,241743,266900,266254,284083,301277,335645,343470,334622,302914,285435,278569,296043,289103,298850,311901,334088,382479,408336
 "28025","Clay, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",678749,627730,635411,665723,637959,677335,642001,626866,570177,565472,604956,548265,524685,560353,499994,522598,501235,475383,494056,503929,529373,529468,532382,512138
 "28025","Clay, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",135.415,125.237,126.769,132.816,127.277,135.133,128.084,125.064,113.754,112.816,120.693,109.383,104.678,111.794,99.752,104.262,100.000,94.842,98.568,100.537,105.614,105.633,106.214,102.175
 "28025","Clay, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",498533,476174,483684,515905,504712,546067,539138,541085,486448,495073,570543,530887,526137,559478,493403,513798,501235,484844,516422,538093,603818,665691,702656,688540
 "28027","Coahoma, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",865500,793996,831549,822047,842747,833994,798018,739118,736455,771057,823921,709207,794179,730701,724992,738010,748146,718484,718815,662999,689702,684336,677321,657446
 "28027","Coahoma, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",115.686,106.129,111.148,109.878,112.645,111.475,106.666,98.793,98.437,103.062,110.128,94.795,106.153,97.668,96.905,98.645,100.000,96.035,96.080,88.619,92.188,91.471,90.533,87.877
 "28027","Coahoma, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",590650,552377,590526,605754,631503,644385,653489,615894,615229,655162,724850,640480,735793,688877,700910,727100,748146,736891,755176,713151,774458,825369,858889,859350
 "28029","Copiah, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",560957,564142,593845,620270,639578,660855,645792,650358,611181,594928,631614,647228,691182,724049,703923,698625,698189,659709,649306,636730,707463,676723,675917,714344
 "28029","Copiah, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.345,80.801,85.055,88.840,91.605,94.653,92.495,93.149,87.538,85.210,90.465,92.701,98.996,103.704,100.821,100.062,100.000,94.489,92.999,91.197,101.328,96.926,96.810,102.314
 "28029","Copiah, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",400120,411357,438858,474823,501888,535320,537578,558276,540246,530982,572712,604609,657706,698664,689464,691086,698189,673880,680523,687630,786017,820428,875446,948503
 "28031","Covington, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",432391,430831,422797,463197,461663,462809,463515,492114,461124,428877,400089,440687,494026,553986,579560,550948,599284,611713,564687,570992,684125,702085,701429,811154
 "28031","Covington, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.151,71.891,70.550,77.292,77.036,77.227,77.345,82.117,76.946,71.565,66.761,73.536,82.436,92.441,96.709,91.934,100.000,102.074,94.227,95.279,114.157,117.154,117.045,135.354
 "28031","Covington, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",334079,337802,340201,387890,390161,400877,418913,470530,418054,404167,388779,437915,506288,570586,571423,538034,599284,616773,582405,606114,768273,852410,882838,1022940
 "28033","DeSoto, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",3303646,3487515,3715845,4005550,4413892,4646493,4372659,4428660,4379982,4573720,4693980,4837622,4944842,5119659,5374674,5705225,5832438,5894802,6057404,6242735,6724518,6860586,6969625,7297483
 "28033","DeSoto, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",56.643,59.795,63.710,68.677,75.678,79.666,74.971,75.932,75.097,78.419,80.481,82.943,84.782,87.779,92.151,97.819,100.000,101.069,103.857,107.035,115.295,117.628,119.498,125.119
 "28033","DeSoto, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2378420,2554541,2754967,3048816,3479644,3809725,3681469,3801537,3878837,4040127,4191508,4409881,4586552,4839626,5212516,5619022,5832438,6035989,6371904,6728842,7643388,8500200,9105239,9782580
 "28035","Forrest, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2926828,3008163,3141860,3239893,3427144,3586761,3478736,3592554,3596866,3706363,3693368,3787907,3765188,3703870,3683300,3609089,3647889,3628625,3567543,3475012,3674607,3672153,3734351,3772384
 "28035","Forrest, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.233,82.463,86.128,88.816,93.949,98.324,95.363,98.483,98.601,101.603,101.247,103.838,103.216,101.535,100.971,98.936,100.000,99.472,97.797,95.261,100.732,100.665,102.370,103.413
 "28035","Forrest, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2056338,2162164,2302685,2441867,2666796,2895785,2902947,3061255,3130667,3258471,3289852,3459539,3498544,3507547,3571397,3558346,3647889,3711029,3729375,3726638,4104830,4375492,4675014,4841488
 "28037","Franklin, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",132271,137468,139441,144455,150303,155775,136604,150127,163085,177243,178632,184035,174385,167866,171963,175245,177009,180104,198545,192876,198635,198652,211769,214424
 "28037","Franklin, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.725,77.661,78.776,81.609,84.913,88.004,77.174,84.813,92.134,100.132,100.917,103.969,98.518,94.835,97.150,99.004,100.000,101.749,112.167,108.964,112.218,112.227,119.638,121.137
 "28037","Franklin, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",105010,110679,115989,125094,132176,139348,125408,140515,147494,165389,170679,175953,172140,168415,168197,172217,177009,184471,203622,198956,214791,226731,243780,252084
 "28039","George, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",306074,335463,360298,356720,394835,385684,372958,453324,415869,391896,390560,414359,430836,506429,468423,447419,457503,465657,493308,486712,469004,489169,484430,502751
 "28039","George, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",66.901,73.325,78.753,77.971,86.302,84.302,81.520,99.086,90.900,85.660,85.368,90.570,94.171,110.694,102.387,97.796,100.000,101.782,107.826,106.384,102.514,106.921,105.886,109.890
 "28039","George, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",212235,237226,260108,266012,304749,309180,309393,382983,361404,341491,345079,375244,399836,481594,456361,441592,457503,476642,519177,528481,531546,591432,614216,652599
 "28041","Greene, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",150873,161369,174291,176621,180907,198444,175758,184624,181632,180584,175484,167328,175519,171500,169820,161257,158249,163435,154157,157497,155467,171358,166633,176327
 "28041","Greene, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",95.339,101.971,110.137,111.610,114.318,125.400,111.064,116.667,114.776,114.114,110.891,105.738,110.913,108.374,107.312,101.901,100.000,103.277,97.414,99.525,98.242,108.284,105.298,111.424
 "28041","Greene, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",107406,116220,130396,138880,144052,161447,150429,162861,155142,159907,159713,154096,167527,167299,163868,157502,158249,167610,162419,172315,178676,209011,212046,229578
 "28043","Grenada, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",789220,820050,875683,912314,886383,924135,868666,832876,759573,930519,928619,910427,893152,889945,919707,924712,918944,957424,929593,901994,952461,891700,882973,884259
 "28043","Grenada, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.883,89.238,95.292,99.279,96.457,100.565,94.529,90.634,82.657,101.260,101.053,99.073,97.193,96.844,100.083,100.628,100.000,104.187,101.159,98.156,103.647,97.035,96.086,96.226
 "28043","Grenada, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",587311,618383,666623,705333,700140,746903,716418,694440,659927,806579,810187,816857,822455,837141,897478,918784,918944,971638,969174,967950,1055330,1087525,1147355,1176633
 "28045","Hancock, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1356879,1428469,1465233,1491956,1544650,1571151,2904322,2161205,2012115,2029599,1683077,1654404,1593528,1554808,1491390,1478860,1487554,1497190,1592423,1628536,1694049,1728328,1794231,1824776
 "28045","Hancock, MS",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.215,96.028,98.500,100.296,103.838,105.620,195.242,145.286,135.263,136.439,113.144,111.216,107.124,104.521,100.258,99.416,100.000,100.648,107.050,109.477,113.882,116.186,120.616,122.670
 "28045","Hancock, MS",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",970105,1048425,1098768,1146142,1227468,1294917,2456529,1867361,1777561,1793706,1510854,1512878,1478343,1475734,1446449,1456437,1487554,1531341,1660586,1719597,1854301,2000854,2172793,2271152
 "28047","Harrison, MS",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",8668804,8858686,9218355,9353471,9373503,9232703,10931832,10467455,9918968,9566741,9109426,8872355,8837293,8758257,8469838,8497537,8726970,8662463,8870077,8897135,9499610,9426321,9780054,9941203
