GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "37000","North Carolina",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",387433915,393685863,404582505,420579406,442305623,470663854,477920775,492688763,473610474,482030392,484200276,488126533,497456561,509782385,525229133,536308527,546810139,556573693,567975016,564278759,599293818,620666459,643045796,664131646
 "37000","North Carolina",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.853,71.997,73.990,76.915,80.888,86.074,87.402,90.102,86.613,88.153,88.550,89.268,90.974,93.228,96.053,98.079,100.000,101.786,103.871,103.195,109.598,113.507,117.599,121.456
 "37000","North Carolina",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",287317129,297653002,310200276,329017740,354798493,388012109,402188328,420707226,413096785,422282229,430040125,444063165,460946407,482295658,508672414,528284328,546810139,568037295,592449645,600226942,660804748,729761871,794837999,844209019
 "37001","Alamance, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",5022664,5299144,5308562,5582859,5653108,5838344,5765984,5711693,5277459,5520634,5630872,5607349,5836303,5956943,5938900,6187138,6087842,6124774,6281006,6306419,6712009,6715031,6885523,7006266
 "37001","Alamance, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.503,87.045,87.199,91.705,92.859,95.902,94.713,93.821,86.688,90.683,92.494,92.107,95.868,97.850,97.553,101.631,100.000,100.607,103.173,103.590,110.253,110.302,113.103,115.086
 "37001","Alamance, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3729882,4007026,4045772,4343732,4506404,4784815,4836485,4861356,4660902,4873423,5016506,5113204,5401844,5624923,5775725,6137236,6087842,6231439,6547104,6757875,7446122,7950152,8629281,9014300
 "37003","Alexander, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",760278,777274,804016,844738,851878,880439,830566,732364,692625,735833,696936,710354,741775,773173,800160,799440,833320,821225,818589,806046,855114,907779,869286,897189
 "37003","Alexander, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.235,93.274,96.484,101.370,102.227,105.654,99.669,87.885,83.116,88.301,83.634,85.244,89.014,92.782,96.021,95.934,100.000,98.549,98.232,96.727,102.615,108.935,104.316,107.664
 "37003","Alexander, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",565271,587788,617572,658440,675194,714057,702568,629191,618356,658744,635500,664105,708315,747789,781501,783493,833320,833406,854424,864068,956674,1134250,1137683,1196497
 "37005","Alleghany, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",324767,353240,345990,346464,359665,352856,346040,325595,314935,316988,313916,306894,334369,337853,340864,339117,323992,318886,302970,296010,306102,312340,308972,321000
 "37005","Alleghany, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",100.239,109.027,106.790,106.936,111.010,108.909,106.805,100.495,97.204,97.838,96.890,94.723,103.203,104.278,105.208,104.668,100.000,98.424,93.511,91.363,94.478,96.404,95.364,99.077
 "37005","Alleghany, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",223421,243733,247829,259459,270293,271802,276242,266186,259583,266224,272793,273204,303783,315184,326971,332789,323992,327534,318341,319605,349845,385694,396542,419999
 "37007","Anson, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",807172,763286,730894,765942,747868,777619,760644,740997,707647,746913,718899,726560,738735,776831,832331,825354,832731,883814,786257,721936,767846,866774,819670,892779
 "37007","Anson, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",96.931,91.661,87.771,91.979,89.809,93.382,91.343,88.984,84.979,89.694,86.330,87.250,88.712,93.287,99.952,99.114,100.000,106.134,94.419,86.695,92.208,104.088,98.432,107.211
 "37007","Anson, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",576516,553127,538236,582362,580268,620197,633592,633846,629154,669830,665201,689215,719606,767085,818978,802848,832731,895354,812885,762087,877185,1121470,1066798,1165183
 "37009","Ashe, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",741733,796251,777794,797526,805725,840454,785728,775491,771068,826498,768302,812702,774100,741271,714025,754604,767223,793098,780307,766183,768371,763808,799836,824236
 "37009","Ashe, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",96.678,103.784,101.378,103.950,105.018,109.545,102.412,101.078,100.501,107.726,100.141,105.928,100.896,96.617,93.066,98.355,100.000,103.373,101.705,99.864,100.150,99.555,104.251,107.431
 "37009","Ashe, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",526565,572461,569576,600100,618153,664361,643381,644367,653811,704894,671220,728585,710033,693257,687454,742579,767223,809364,818468,825440,854074,905459,1009010,1069343
 "37011","Avery, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",598959,638568,621627,608764,642587,621365,634972,606533,615382,653660,626199,631901,603101,594007,570510,595328,596747,620619,609268,608097,632238,639845,669902,673947
 "37011","Avery, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",100.371,107.008,104.169,102.014,107.682,104.125,106.406,101.640,103.123,109.537,104.935,105.891,101.065,99.541,95.603,99.762,100.000,104.000,102.098,101.902,105.947,107.222,112.259,112.937
 "37011","Avery, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",407027,440031,443153,451409,485614,485617,515220,501987,518015,554043,542219,560455,547511,551591,545891,583410,596747,636889,643588,661692,713341,769978,857640,890318
 "37013","Beaufort, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1869497,1763849,1755518,1520207,1637840,1746408,1970275,1922168,1901951,1827103,1880113,1900594,2101901,2176213,2154140,2417028,2231131,2131563,1879492,1750343,1792261,1775553,1785431,1855657
 "37013","Beaufort, NC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.791,79.056,78.683,68.136,73.408,78.275,88.308,86.152,85.246,81.891,84.267,85.185,94.208,97.539,96.549,108.332,100.000,95.537,84.239,78.451,80.330,79.581,80.024,83.171
 "37013","Beaufort, NC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1288657,1234583,1248639,1103543,1208818,1319356,1534302,1547521,1588727,1532639,1628164,1697665,1920330,2035428,2070565,2366767,2231131,2175259,1954995,1856353,2007053,2148592,2245099,2369178
 "37015","Bertie, NC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",962932,827148,816129,843676,826404,913080,905514,817149,816570,741325,679712,669806,680114,695643,720241,683147,687830,652017,645171,595925,634560,656122,602016,634238
