GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "33000","New Hampshire",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",61719433,63474207,66119382,68428131,69556141,71424518,71943489,71195646,70498580,72950374,73464967,74082814,75503436,76836226,79319322,80736110,81179571,82269495,84438198,83682857,90296713,91702097,93645794,94925966
 "33000","New Hampshire",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.028,78.190,81.448,84.292,85.682,87.983,88.623,87.701,86.843,89.863,90.497,91.258,93.008,94.650,97.708,99.454,100.000,101.343,104.014,103.084,111.231,112.962,115.356,116.933
 "33000","New Hampshire",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",47037284,49109643,51609698,54545652,56914639,60152707,61984781,62095285,63052244,65310796,66557337,68411998,70897422,73455113,77385782,79759713,81179571,83859403,87868178,89041581,99433331,106824559,114427815,119336641
 "33001","Belknap, NH",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2734206,2802653,2824163,2821272,2817552,2709049,2758040,2605509,2569783,2593762,2675698,2688843,2794327,2686416,2777955,2887881,2883380,2957557,2891363,2897524,3031428,2997754,3171197,3313957
 "33001","Belknap, NH",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",94.826,97.200,97.946,97.846,97.717,93.954,95.653,90.363,89.124,89.956,92.797,93.253,96.912,93.169,96.344,100.156,100.000,102.573,100.277,100.491,105.135,103.967,109.982,114.933
 "33001","Belknap, NH",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1987055,2080117,2131577,2185716,2251959,2240307,2342943,2248621,2263415,2290426,2391986,2451847,2592911,2538280,2692211,2846861,2883380,3019101,3028004,3116743,3387924,3579686,3992298,4295767
 "33003","Carroll, NH",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2145115,2247841,2264647,2277161,2270411,2216935,2237326,2099041,2109324,2182209,2273373,2300578,2340022,2206492,2249948,2316952,2298916,2320694,2267326,2302680,2328059,2410576,2575127,2624043
 "33003","Carroll, NH",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",93.310,97.778,98.509,99.054,98.760,96.434,97.321,91.306,91.753,94.923,98.889,100.072,101.788,95.980,97.870,100.785,100.000,100.947,98.626,100.164,101.268,104.857,112.015,114.143
 "33003","Carroll, NH",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1507513,1619552,1658924,1713520,1769214,1790093,1862306,1779868,1830225,1893272,1996012,2066109,2144296,2067291,2165935,2276615,2298916,2376426,2383478,2475617,2603366,2870457,3237086,3405270
 "33005","Cheshire, NH",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",3028733,3062821,3120995,3281487,3338742,3460301,3460821,3415219,3338723,3380860,3393157,3466678,3478275,3598295,3766411,3730363,3790789,3814381,3919873,3865880,4118019,4034218,3988168,4056687
 "33005","Cheshire, NH",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",79.897,80.796,82.331,86.565,88.075,91.282,91.296,90.093,88.075,89.186,89.511,91.450,91.756,94.922,99.357,98.406,100.000,100.622,103.405,101.981,108.632,106.422,105.207,107.014
 "33005","Cheshire, NH",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2202187,2274935,2353488,2537235,2660483,2844054,2921556,2926502,2963409,2999739,3047955,3185028,3260120,3431168,3677249,3700534,3790789,3886935,4078224,4143158,4522201,4713232,4930893,5175191
 "33007","Coos, NH",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1288925,1263239,1321874,1341201,1346552,1296150,1275132,1269807,1258595,1298905,1257653,1260164,1289146,1262662,1274694,1320433,1259972,1270547,1252973,1247255,1291493,1324959,1405913,1404401
 "33007","Coos, NH",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",102.298,100.259,104.913,106.447,106.872,102.871,101.203,100.781,99.891,103.090,99.816,100.015,102.315,100.213,101.168,104.799,100.000,100.839,99.444,98.991,102.502,105.158,111.583,111.463
 "33007","Coos, NH",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",912717,912274,970165,1009093,1043801,1040743,1054229,1072184,1091699,1131064,1109631,1135869,1187679,1192139,1232924,1296019,1259972,1303220,1316449,1339461,1458372,1599161,1773984,1816037
 "33009","Grafton, NH",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",5032355,5247541,5483430,5555603,5686078,5676074,5816646,5981292,5879879,6088941,5923349,5934120,6140518,6257879,6424971,6598852,6546178,6737152,6791345,6799038,7267853,7448387,7816913,7900309
 "33009","Grafton, NH",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.875,80.162,83.765,84.868,86.861,86.708,88.856,91.371,89.822,93.015,90.486,90.650,93.803,95.596,98.148,100.805,100.000,102.917,103.745,103.863,111.024,113.782,119.412,120.686
 "33009","Grafton, NH",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3626926,3860908,4097731,4252322,4477614,4614281,4871103,5099680,5148524,5371145,5311888,5444258,5741947,5954568,6239912,6500964,6546178,6866890,7071667,7228320,8009364,8657232,9500135,9869257
 "33011","Hillsborough, NH",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",18354720,19025002,20557233,21401088,21845197,22605688,22949912,23111756,22779190,23017336,23655414,23582878,24070440,24606979,25447457,25862657,25959140,26455143,27240319,27265205,29717098,30066116,30679709,30826638
 "33011","Hillsborough, NH",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.706,73.288,79.191,82.441,84.152,87.082,88.408,89.031,87.750,88.668,91.126,90.846,92.724,94.791,98.029,99.628,100.000,101.911,104.935,105.031,114.476,115.821,118.185,118.751
 "33011","Hillsborough, NH",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",15067836,15786262,17044021,17974396,18710581,19764809,20370169,20620262,20653015,20858757,21651163,21954520,22758478,23662077,24900853,25561852,25959140,26917908,28258148,28869785,32538501,34566753,36875204,38132657
 "33013","Merrimack, NH",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",8751714,8909578,8643074,8667230,8791388,9448258,9365967,9249011,9531750,10203916,9810580,9699330,9473350,9668389,9498508,9724570,9725499,9855047,9999525,9610420,9897389,10249922,10404906,10732797
 "33013","Merrimack, NH",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.987,91.611,88.870,89.119,90.395,97.149,96.303,95.101,98.008,104.919,100.875,99.731,97.407,99.413,97.666,99.990,100.000,101.332,102.818,98.817,101.767,105.392,106.986,110.357
 "33013","Merrimack, NH",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",6301246,6509344,6415058,6623692,6930844,7705962,7859371,7896132,8367040,9009114,8801326,8897250,8845825,9204299,9236439,9591974,9725499,10089412,10449403,10323219,11025912,12118923,12947238,13792335
 "33015","Rockingham, NH",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",14594509,15149920,15968913,16913110,17203101,17854395,17757307,16914055,16571935,17466046,17672828,18180920,18910417,19321822,20403151,20810840,21226840,21380637,22388417,22253574,24826092,25220807,25372326,25954423
 "33015","Rockingham, NH",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",68.755,71.372,75.230,79.678,81.044,84.112,83.655,79.682,78.071,82.283,83.257,85.651,89.087,91.025,96.120,98.040,100.000,100.725,105.472,104.837,116.956,118.816,119.529,122.272
 "33015","Rockingham, NH",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",11007544,11588519,12337329,13369868,13991154,15014696,15298834,14771335,14949062,15721723,16085487,16837192,17785073,18506294,19940083,20567311,21226840,21782292,23297153,23607142,27327122,29510966,31119035,32665586
 "33017","Strafford, NH",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",4557333,4440868,4542319,4688990,4738478,4657454,4774140,5064599,5003728,5208706,5288466,5375256,5369272,5584622,5763492,5857560,5889718,5892716,6094618,5846047,6196506,6382834,6607587,6461716
 "33017","Strafford, NH",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.378,75.400,77.123,79.613,80.453,79.078,81.059,85.991,84.957,88.437,89.792,91.265,91.163,94.820,97.857,99.454,100.000,100.051,103.479,99.259,105.209,108.372,112.189,109.712
 "33017","Strafford, NH",1,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3406388,3380677,3505966,3703693,3842738,3887718,4087778,4401627,4482398,4679471,4797959,4972608,5048953,5339922,5634733,5811694,5889718,5993534,6306033,6211985,6725963,7271936,7924047,7984267
 "33019","Sullivan, NH",1,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1403786,1484069,1461735,1524509,1554713,1522682,1563378,1491082,1470664,1534239,1526594,1606484,1647853,1645669,1712236,1626644,1599139,1585712,1595648,1600019,1639999,1584966,1639887,1651624
 "33019","Sullivan, NH",1,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.784,92.804,91.408,95.333,97.222,95.219,97.764,93.243,91.966,95.942,95.464,100.459,103.046,102.910,107.072,101.720,100.000,99.160,99.782,100.055,102.555,99.114,102.548,103.282
