GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "34000","New Jersey",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",509631484,517752210,529815914,536174006,546357781,555210982,560823795,573202674,546362196,554764355,548479344,560729738,570952438,570696371,581414922,587049652,590086737,606892203,618690954,598481323,631158288,648512419,662320137,675897582
 "34000","New Jersey",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.366,87.742,89.786,90.864,92.589,94.090,95.041,97.139,92.590,94.014,92.949,95.025,96.757,96.714,98.530,99.485,100.000,102.848,104.847,101.423,106.960,109.901,112.241,114.542
 "34000","New Jersey",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",372819215,385045572,399996453,415490849,436064402,457681474,474539640,493289354,481452697,491228981,494292805,516098249,534212116,543824141,565807675,578651417,590086737,619340188,643317653,632562315,693733765,756465556,806894027,846000400
 "34001","Atlantic, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",14885170,15239133,15416388,15542545,16110806,16852467,16971731,17078265,14897257,14560848,14975251,14694547,14733142,14615733,14309767,13849789,13521560,13616155,13827163,13043721,14139857,14578670,14864976,15115117
 "34001","Atlantic, NJ",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",110.085,112.702,114.013,114.946,119.149,124.634,125.516,126.304,110.174,107.686,110.751,108.675,108.960,108.092,105.829,102.427,100.000,100.700,102.260,96.466,104.573,107.818,109.935,111.785
 "34001","Atlantic, NJ",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",10432718,10900289,11197028,11582682,12477462,13516327,14151124,14542444,12871933,12622393,13205923,13290570,13598441,13787773,13834962,13614567,13521560,13936714,14493724,13835505,15700434,17328663,18563490,19423169
 "34003","Bergen, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",64522012,64964008,66407799,67340353,68162732,68745444,70056117,71773123,69031255,70333662,69893767,70698941,71397450,72403907,74604206,75132461,76088755,78087858,79978805,76974370,80561829,81366109,82834621,83504631
 "34003","Bergen, NJ",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.798,85.379,87.277,88.502,89.583,90.349,92.072,94.328,90.725,92.436,91.858,92.916,93.834,95.157,98.049,98.743,100.000,102.627,105.113,101.164,105.879,106.936,108.866,109.746
 "34003","Bergen, NJ",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",48361154,49435945,51029436,53066817,55084741,57288594,59875920,62419023,61844677,63069696,63473061,65459120,67132613,69096724,72606724,74188269,76088755,79403910,83284085,81666752,88800176,95542894,101808177,105804508
 "34005","Burlington, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",21599343,22473051,23563757,24174411,24999208,25455114,25523360,26472056,25590527,25895300,25989222,26295811,26780766,26558258,27133765,27370038,27798933,28075872,28519577,28542034,30260851,30915417,31767399,32395824
 "34005","Burlington, NJ",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.698,80.841,84.765,86.962,89.929,91.569,91.814,95.227,92.056,93.152,93.490,94.593,96.337,95.537,97.607,98.457,100.000,100.996,102.592,102.673,108.856,111.211,114.276,116.536
 "34005","Burlington, NJ",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",16509329,17419113,18473941,19372185,20533165,21504353,22022107,23126091,22763984,23106953,23462207,24192981,25046573,25276157,26357073,26987759,27798933,28630022,29704015,30374489,33297065,36147688,38949141,40867224
 "34007","Camden, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",21772073,22248786,23262683,23374201,23950556,24185657,24275806,24891418,23532313,23492703,22866664,23294727,23593254,23445911,23695626,24186343,24743652,25210544,25509575,24269135,25679614,26094892,26508606,27237865
 "34007","Camden, NJ",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.991,89.917,94.015,94.465,96.795,97.745,98.109,100.597,95.104,94.944,92.414,94.144,95.351,94.755,95.764,97.748,100.000,101.887,103.095,98.082,103.783,105.461,107.133,110.080
 "34007","Camden, NJ",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",15901238,16596452,17608548,18165511,19162286,19976495,20577617,21447979,20770752,20847938,20539655,21356043,21998584,22231168,22993760,23851340,24743652,25691665,26583161,25954278,28441772,30564484,32644548,34619814
 "34009","Cape May, NJ",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",4869005,5047851,5225475,5400911,5579736,5486187,5459035,5434067,4911785,5362319,5246638,5079720,5205189,5404814,5262177,5246931,5398534,5417247,5361217,5260105,5633895,5880196,5852089,5971611
