GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "32000","Nevada",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",116267250,120180066,125905375,139372999,150680865,156297854,157734325,152745628,140304326,142614154,144341195,142986066,144549285,145303555,151055866,156007391,163199058,168638546,176029722,165924814,182618342,194463904,201158603,207351867
 "32000","Nevada",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.243,73.640,77.148,85.401,92.329,95.771,96.651,93.595,85.971,87.387,88.445,87.615,88.572,89.035,92.559,95.593,100.000,103.333,107.862,101.670,111.899,119.157,123.260,127.055
 "32000","Nevada",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",80968626,85540988,91365029,104132046,117165142,126613448,132045444,130570872,122471236,125149048,128638377,130238235,133592513,136918418,145786826,153317988,163199058,172547939,184611084,176178705,202091783,232437877,253443306,269010509
 "32001","Churchill, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",924292,906487,906635,960292,996907,979414,961430,965259,908413,941141,967529,935666,939584,966035,962003,988871,1071321,1079559,1132127,1156635,1210829,1192441,1271816,1242460
 "32001","Churchill, NV",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.276,84.614,84.628,89.636,93.054,91.421,89.742,90.100,84.794,87.849,90.312,87.338,87.703,90.172,89.796,92.304,100.000,100.769,105.676,107.963,113.022,111.306,118.715,115.975
 "32001","Churchill, NV",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",638002,641415,659200,724081,777622,798252,809810,829257,792148,830458,869539,856686,875988,922109,931247,966960,1071321,1104984,1185052,1231093,1379691,1479842,1635613,1639429
 "32003","Clark, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",80242091,83734793,88280240,98995882,108678011,113105923,114812733,110722301,100314941,99797887,101509866,100305368,102677690,104183499,108812755,112331243,116332382,122721414,128195333,117227827,130270354,141930944,147606306,152128224
 "32003","Clark, NV",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",68.977,71.979,75.886,85.097,93.420,97.227,98.694,95.178,86.231,85.787,87.258,86.223,88.262,89.557,93.536,96.561,100.000,105.492,110.197,100.770,111.981,122.005,126.883,130.770
 "32003","Clark, NV",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",56502133,60274327,64786759,74622635,85105077,92117801,96503061,94768158,87479422,87185993,89714650,90817158,94682035,98126038,105276923,110729420,116332382,125512670,134457866,124233738,143463620,168357018,184611557,195936289
 "32005","Douglas, NV",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1909658,1997261,2088002,2245513,2341424,2312090,2335515,2224430,2102908,2261090,2250849,2242448,2437438,2512026,2530820,2427127,2558347,2502688,2556308,2498945,2873955,2823885,2937527,3112053
