GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "36000","New York",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1240755230,1228580763,1236563061,1269433125,1301438005,1339568524,1353798930,1328095698,1379504556,1431624004,1440346783,1496280128,1501818048,1535375930,1565835160,1590567799,1624800665,1665186762,1704364321,1667234838,1750551186,1781554113,1793384525,1840059266
 "36000","New York",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.364,75.614,76.106,78.129,80.098,82.445,83.321,81.739,84.903,88.111,88.648,92.090,92.431,94.496,96.371,97.893,100.000,102.486,104.897,102.612,107.739,109.648,110.376,113.248
 "36000","New York",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",876285223,885386163,908535168,958565330,1009851006,1072271784,1116265310,1107860207,1155492252,1217747974,1245769442,1324471339,1364632910,1434606285,1498474663,1556829961,1624800665,1710665609,1787470891,1782502418,1934523963,2071075209,2182548990,2322138926
 "36001","Albany, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",25619736,25559345,26341642,26658549,26809437,26733314,26818457,27217830,28317463,28260925,28452103,28723744,29431456,30329961,30964946,31617026,31742890,31793879,32919078,32615216,35064687,35391018,36178286,36723564
 "36001","Albany, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.710,80.520,82.984,83.983,84.458,84.218,84.486,85.745,89.209,89.031,89.633,90.489,92.718,95.549,97.549,99.603,100.000,100.161,103.705,102.748,110.465,111.493,113.973,115.691
 "36001","Albany, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",18006524,18391092,19367955,20163456,20876044,21538544,22221413,22958596,24429266,24677028,25197054,25998359,27247945,28735895,30035306,31146807,31742890,32583380,34413380,35046009,38747480,41110204,44045966,46129110
 "36003","Allegany, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1294568,1316067,1350421,1365139,1387625,1365150,1320017,1441525,1349019,1378282,1402346,1400930,1407913,1493870,1466756,1439469,1697623,1661773,1708216,1514422,1473140,1430211,1440932,1526380
 "36003","Allegany, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.258,77.524,79.548,80.415,81.739,80.415,77.757,84.914,79.465,81.189,82.606,82.523,82.934,87.998,86.401,84.793,100.000,97.888,100.624,89.208,86.777,84.248,84.879,89.913
 "36003","Allegany, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",890645,929177,972374,1010941,1053798,1066923,1067139,1194595,1154790,1184114,1225550,1256771,1297084,1405697,1417699,1421548,1697623,1692746,1785373,1619744,1632948,1680265,1790608,1954757
 "36005","Bronx, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",32778255,33050622,33340890,33733954,34109594,33890471,34594977,35380139,35812746,36419511,36492921,37064343,38015572,38445020,38609160,39590448,39476535,42861240,44823621,43053702,43531996,43713280,44387915,45350508
 "36005","Bronx, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.032,83.722,84.457,85.453,86.405,85.850,87.634,89.623,90.719,92.256,92.442,93.890,96.299,97.387,97.803,100.289,100.000,108.574,113.545,109.062,110.273,110.732,112.441,114.880
 "36005","Bronx, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",22365451,23252632,24007507,24991104,26050059,26808747,28184086,29449515,30636527,31433826,31940899,33174524,34757395,35902121,37064544,38861506,39476535,43902337,47112592,46702698,48793919,51534060,55224804,58323409
 "36007","Broome, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",8177807,8076697,8001446,7946599,7997363,8248067,8492371,8968696,8988337,9431511,9462077,9530681,9306605,9125273,9047065,8915673,9063798,9031322,9144907,8822496,9121031,9043815,9224750,9514748
 "36007","Broome, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.225,89.109,88.279,87.674,88.234,91.000,93.696,98.951,99.167,104.057,104.394,105.151,102.679,100.678,99.815,98.366,100.000,99.642,100.895,97.338,100.631,99.780,101.776,104.975
 "36007","Broome, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",6468526,6442060,6405708,6461862,6639306,7005853,7346577,7821346,8018134,8425320,8528899,8767847,8703897,8679912,8799201,8797592,9063798,9221625,9549488,9478454,10132428,10651232,11437412,12159256
 "36009","Cattaraugus, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2812514,2844700,2937882,3039651,2971567,2993265,2937870,2999624,2988842,3075837,3113249,3029292,3078891,3106078,3074534,2998787,2888306,2826009,2893957,2688890,2791441,2821143,2921321,2990123
 "36009","Cattaraugus, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",97.376,98.490,101.716,105.240,102.883,103.634,101.716,103.854,103.481,106.493,107.788,104.881,106.598,107.540,106.448,103.825,100.000,97.843,100.196,93.096,96.646,97.675,101.143,103.525
 "36009","Cattaraugus, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1986572,2051184,2154622,2287280,2296476,2386768,2416896,2520627,2580224,2674555,2750573,2740234,2859708,2944404,2971446,2946642,2888306,2895373,3034476,2899690,3157683,3432257,3726321,3918752
 "36011","Cayuga, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2350000,2345105,2465438,2593995,2549814,2453606,2631541,2632145,2488040,2832555,2783202,2795632,2894548,2980273,2920122,2829277,2802820,2801933,2883105,2883655,2961969,3034390,3024288,3129766
 "36011","Cayuga, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.844,83.669,87.963,92.549,90.973,87.541,93.889,93.911,88.769,101.061,99.300,99.744,103.273,106.331,104.185,100.944,100.000,99.968,102.864,102.884,105.678,108.262,107.902,111.665
 "36011","Cayuga, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1676892,1711318,1829992,1985150,1999901,1989571,2204674,2240255,2146569,2465819,2483721,2551002,2702961,2829447,2820185,2772059,2802820,2863848,3008173,3072995,3327718,3675749,3832033,4062578
 "36013","Chautauqua, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",5146712,5218608,5159662,5228847,5279772,5362325,5442268,5495857,5337010,5593234,5493158,5314271,5168399,5080173,4954943,4865782,4818623,4827335,4802381,4443060,4593507,4707912,4635834,4849681
 "36013","Chautauqua, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",106.809,108.301,107.078,108.513,109.570,111.283,112.942,114.055,110.758,116.075,113.998,110.286,107.259,105.428,102.829,100.979,100.000,100.181,99.663,92.206,95.328,97.702,96.207,100.645
 "36013","Chautauqua, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3726787,3850222,3866917,3988409,4144010,4329277,4502773,4649259,4704039,4930524,4902624,4864305,4829212,4842247,4824578,4798559,4818623,4925351,5019101,4757007,5121630,5643360,5859329,6275017
 "36015","Chemung, NY",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",3275905,3283037,3338562,3436206,3501939,3465053,3562798,3769235,3744922,3879817,3972684,3982880,4012432,4011674,3880865,3789358,3691136,3741851,3715758,3547412,3665392,3652283,3605454,3687874
 "36015","Chemung, NY",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",88.751,88.944,90.448,93.093,94.874,93.875,96.523,102.116,101.457,105.112,107.628,107.904,108.705,108.684,105.140,102.661,100.000,101.374,100.667,96.106,99.303,98.947,97.679,99.912
 "36015","Chemung, NY",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2469505,2513668,2586837,2712919,2845166,2900284,3057188,3292945,3313786,3465237,3595855,3669369,3776304,3851551,3762626,3729752,3691136,3826539,3889029,3808784,4083918,4350414,4530598,4774153
