GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "39000","Ohio",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",534612360,546688202,557024452,572308497,584867668,582637629,585402954,580389046,550982383,563816266,580251353,586540926,603057362,624973400,633274797,638157483,652187459,656212004,674063934,655730074,691629995,694473369,707996246,721997309
 "39000","Ohio",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.972,83.824,85.409,87.752,89.678,89.336,89.760,88.991,84.482,86.450,88.970,89.934,92.467,95.827,97.100,97.849,100.000,100.617,103.354,100.543,106.048,106.484,108.557,110.704
 "39000","Ohio",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",395864219,411191147,425530654,447813285,470179484,482903985,497600086,500916385,484407129,500274164,525456407,543035366,566419938,597152326,615275480,627294732,652187459,672540140,702914773,692938319,764161425,830498824,883957130,923140558
 "39001","Adams, OH",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1471370,1459010,1426564,1447968,1333026,1358710,1525573,1453739,1628000,1598445,1722058,1600724,1646873,1494911,1563750,1738551,1500921,941103,728513,716769,766337,707893,751447,801060
 "39001","Adams, OH",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",98.031,97.208,95.046,96.472,88.814,90.525,101.642,96.856,108.467,106.498,114.733,106.649,109.724,99.600,104.186,115.832,100.000,62.702,48.538,47.755,51.058,47.164,50.066,53.371
 "39001","Adams, OH",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1096209,1062087,1082167,1128823,1074773,1159271,1314410,1246448,1534515,1467424,1584077,1446672,1530798,1467669,1543751,1695298,1500921,966690,767123,772666,864260,875847,973291,1066320
 "39003","Allen, OH",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",5732007,5941324,5869465,6010437,6046867,6168058,6112518,6169585,7642488,8004727,8136193,7506054,7164958,7822246,7615897,7886346,7711921,8163264,7820932,7725452,8552838,8448293,8271032,8894463
 "39003","Allen, OH",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.327,77.041,76.109,77.937,78.409,79.981,79.261,80.001,99.100,103.797,105.502,97.331,92.908,101.431,98.755,102.262,100.000,105.853,101.414,100.175,110.904,109.548,107.250,115.334
 "39003","Allen, OH",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3884972,4043495,4066699,4240994,4399074,4613007,4694259,4782403,5805192,6509478,7499533,7224543,6857604,7565990,7480589,7644141,7711921,8485619,8107034,7948481,9629847,10860837,10685101,11166792
 "39005","Ashland, OH",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1641010,1691280,1706703,1756545,1767556,1734400,1757464,1747882,1649995,1650690,1695439,1653655,1715028,1734695,1717708,1698030,1729937,1745462,1761577,1791602,1852584,1823248,1822112,1853136
 "39005","Ashland, OH",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",94.860,97.765,98.657,101.538,102.175,100.258,101.591,101.037,95.379,95.419,98.006,95.591,99.138,100.275,99.293,98.156,100.000,100.897,101.829,103.565,107.090,105.394,105.328,107.122
 "39005","Ashland, OH",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1184128,1245595,1269336,1326586,1372886,1394305,1446959,1467374,1429209,1435015,1500085,1500703,1591034,1635826,1661672,1674383,1729937,1780643,1844299,1921607,2071029,2223148,2344862,2445748
 "39007","Ashtabula, OH",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2925600,3071595,3108373,3231946,3279033,3206956,3181709,3103459,2875128,3073066,3138006,3091244,3009167,3075186,3016423,3049083,2965739,3119280,3131919,3065966,3178764,3246280,3262423,3379299
 "39007","Ashtabula, OH",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",98.647,103.569,104.809,108.976,110.564,108.133,107.282,104.644,96.945,103.619,105.809,104.232,101.464,103.690,101.709,102.810,100.000,105.177,105.603,103.380,107.183,109.459,110.004,113.945
 "39007","Ashtabula, OH",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2126289,2262557,2326142,2458390,2568204,2596417,2626197,2629121,2495672,2675726,2792127,2818612,2799758,2918539,2925429,2999818,2965739,3188897,3275849,3268748,3544802,3930460,4155238,4396048
 "39009","Athens, OH",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1787333,1836196,1834365,1861404,1874576,1844204,1919647,1882176,1901879,1955672,1940446,1986616,2016446,2014070,2103735,2089286,2154845,2071018,2126740,2035440,2032549,2064655,2087322,2138534
 "39009","Athens, OH",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.945,85.212,85.127,86.382,86.994,85.584,89.085,87.346,88.261,90.757,90.050,92.193,93.577,93.467,97.628,96.958,100.000,96.110,98.696,94.459,94.325,95.815,96.866,99.243
 "39009","Athens, OH",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1214953,1280180,1311425,1371709,1425480,1452630,1563156,1571588,1623089,1692756,1706547,1788963,1859505,1897742,2033022,2052418,2154845,2122335,2231277,2212181,2291447,2447994,2599895,2745183
 "39011","Auglaize, OH",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1684459,1716261,1750533,1844145,1876751,1883743,1993798,1974050,1735342,1871726,1988873,2109050,2224887,2227377,2192154,2253990,2361817,2349769,2290619,2189445,2566627,2522815,2723015,2782323
 "39011","Auglaize, OH",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.321,72.667,74.118,78.082,79.462,79.758,84.418,83.582,73.475,79.249,84.209,89.298,94.202,94.308,92.816,95.435,100.000,99.490,96.985,92.702,108.672,106.817,115.293,117.804
 "39011","Auglaize, OH",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1295414,1346939,1377728,1456658,1503193,1537494,1665792,1671490,1525977,1641223,1773390,1942042,2089625,2127289,2148912,2239427,2361817,2371670,2377091,2321190,2781420,3014675,3539070,3732714
 "39013","Belmont, OH",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1864564,1942107,1943113,1969918,2053252,1988324,2047763,2091526,2031534,2057743,2071812,2038781,2225656,2664553,3192477,3257542,3371365,3143229,3309338,3242815,2933117,2416142,2821431,2755875
 "39013","Belmont, OH",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",55.306,57.606,57.636,58.431,60.903,58.977,60.740,62.038,60.258,61.036,61.453,60.473,66.016,79.035,94.694,96.624,100.000,93.233,98.160,96.187,87.001,71.667,83.688,81.744
 "39013","Belmont, OH",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1435752,1528017,1563100,1642960,1790027,1818174,1932035,2035132,2011392,2079555,2149884,2158976,2373781,2873890,2998306,2977978,3371365,3371199,3322232,2829990,3543471,3689829,3640241,3543827
 "39015","Brown, OH",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",714791,731995,768102,828015,855488,878746,879812,878689,879418,918440,948668,903308,915005,904412,892541,926217,888889,883914,842583,834462,900843,906528,893497,903674
 "39015","Brown, OH",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.414,82.349,86.412,93.152,96.242,98.859,98.979,98.852,98.935,103.324,106.725,101.622,102.938,101.746,100.411,104.199,100.000,99.440,94.791,93.877,101.345,101.984,100.518,101.663
 "39015","Brown, OH",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",495060,520114,558644,620086,659426,700744,723862,734862,753334,789952,828842,806123,835940,848758,859674,907349,888889,907071,889026,908583,1027860,1119063,1161095,1207241
 "39017","Butler, OH",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",12894821,13242319,13947214,14634099,15455738,15723182,16049463,15961571,14899606,15627693,16077918,16307760,16865495,18402150,19592740,20693653,21682551,21478634,22097204,21172323,21911906,21853699,22160741,23138601
 "39017","Butler, OH",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",59.471,61.074,64.325,67.493,71.282,72.515,74.020,73.615,68.717,72.075,74.151,75.211,77.784,84.871,90.362,95.439,100.000,99.060,101.912,97.647,101.058,100.789,102.205,106.715
 "39017","Butler, OH",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",9382591,9811182,10464845,11373390,12420601,13138743,13720568,13873317,13179304,13940006,14622078,15148547,15836031,17584295,19087858,20365298,21682551,22039698,23101289,22451301,24414905,26330098,27945939,29842050
