GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "40000","Oklahoma",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",125695701,127930241,130147794,134606646,140360102,149367146,152879572,158987754,156856808,158086399,163859302,172016039,176086805,186574444,193792588,190093471,192538613,196030507,200072209,191376979,194991214,194170854,207072700,210315910
 "40000","Oklahoma",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",65.283,66.444,67.596,69.912,72.900,77.578,79.402,82.574,81.468,82.106,85.105,89.341,91.455,96.902,100.651,98.730,100.000,101.814,103.913,99.397,101.274,100.848,107.549,109.233
 "40000","Oklahoma",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",97505340,99916874,106175080,114237535,125961440,138352293,146582437,161608962,147332431,155267475,167207918,175361162,184104631,197074111,187364736,182238774,192538613,204193877,205992743,192222011,219132404,247541548,255933217,263695120
 "40001","Adair, OK",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",424881,449638,416809,405067,458977,471104,449637,429257,399804,469524,456242,450434,413038,404377,458354,447181,444597,475727,441199,395313,434175,448229,436294,457392
 "40001","Adair, OK",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",95.565,101.134,93.750,91.109,103.234,105.962,101.133,96.550,89.925,105.606,102.619,101.313,92.902,90.954,103.094,100.581,100.000,107.002,99.236,88.915,97.656,100.817,98.132,102.878
 "40001","Adair, OK",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",300937,321989,304468,304706,347346,363938,361514,355651,346845,412202,419539,427146,404223,400574,453067,438240,444597,481142,457374,423185,489307,554179,558662,593321
 "40003","Alfalfa, OK",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",95860,91332,100460,91746,92602,101875,94433,121727,117068,148736,272011,498074,776020,1029612,1324110,1094603,674017,478697,442362,464945,399676,350206,400485,343174
 "40003","Alfalfa, OK",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",14.222,13.550,14.905,13.612,13.739,15.115,14.010,18.060,17.369,22.067,40.357,73.896,115.134,152.757,196.450,162.400,100.000,71.022,65.631,68.981,59.298,51.958,59.418,50.915
 "40003","Alfalfa, OK",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",135342,124125,153535,156028,163385,180584,188576,272191,188463,280669,589265,951425,1592196,2040960,1206846,853415,674017,564822,427895,330390,513479,672119,499712,410404
 "40005","Atoka, OK",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",220168,245505,240530,238583,248601,272158,334683,378650,442732,373327,356421,332568,327110,399122,356319,368475,367272,368604,371258,369058,354191,346396,354332,378768
 "40005","Atoka, OK",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",59.947,66.846,65.491,64.961,67.688,74.103,91.127,103.098,120.546,101.648,97.045,90.551,89.065,108.672,97.018,100.327,100.000,100.363,101.085,100.486,96.438,94.316,96.477,103.130
 "40005","Atoka, OK",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",183543,208699,210927,217420,236288,267982,344243,444486,400773,375944,377483,347529,351820,433234,342954,355303,367272,381521,382464,375020,402548,445184,443450,484672
 "40007","Beaver, OK",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",314107,337619,334288,342390,368001,355792,386904,357615,391227,763509,465638,510816,446942,397430,403445,423870,422420,418493,424144,379306,421274,402907,422206,422184
