GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "41000","Oregon",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",144486532,147432841,154445322,163046121,168734422,177222425,180724295,184842595,176951635,180738194,185959404,187352391,189609749,195808217,205581804,214769301,225534544,234308332,239794808,236651446,250919851,254237474,258023377,263347671
 "41000","Oregon",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",64.064,65.370,68.480,72.293,74.815,78.579,80.132,81.958,78.459,80.138,82.453,83.070,84.071,86.820,91.153,95.227,100.000,103.890,106.323,104.929,111.256,112.727,114.405,116.766
 "41000","Oregon",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",117002381,120556129,126822102,136495854,143556346,153779634,159676199,164122876,159330418,163150456,169693794,173856781,178975449,187837558,200592648,211782357,225534544,238466928,248781798,250660629,276367725,297084315,314895020,330250132
 "41001","Baker, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",459665,460438,435425,448833,440401,478088,478319,475928,510392,528655,542651,493298,523990,533671,529365,560623,539760,541661,556012,558310,556115,585731,618153,659181
 "41001","Baker, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.161,85.304,80.670,83.154,81.592,88.574,88.617,88.174,94.559,97.943,100.536,91.392,97.078,98.872,98.074,103.865,100.000,100.352,103.011,103.437,103.030,108.517,114.524,122.125
 "41001","Baker, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",332484,338899,329406,351402,355223,399850,410606,414543,452093,473949,498364,459931,503107,519568,513924,547479,539760,555086,582402,599215,644779,738361,792821,854511
 "41003","Benton, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2785489,2823850,2890420,3048306,3233480,3520119,3808903,3997328,3914041,4042530,4196951,4158939,3989140,3969709,4006029,4144658,4318847,4519396,4589245,4485137,4726102,4892566,4951685,5064774
 "41003","Benton, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",64.496,65.384,66.926,70.581,74.869,81.506,88.193,92.555,90.627,93.602,97.178,96.297,92.366,91.916,92.757,95.967,100.000,104.644,106.261,103.850,109.430,113.284,114.653,117.271
 "41003","Benton, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2560069,2586945,2638692,2816522,2996082,3272609,3545518,3654630,3599196,3697050,3845247,3857735,3761439,3794566,3909000,4092116,4318847,4593075,4748133,4773737,5162737,5578647,5931275,6267300
 "41005","Clackamas, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",13237773,13581711,13958577,14679994,15359662,15998352,15999188,16423073,15637110,15855972,16598520,17242256,17253351,17007395,18076801,19074789,20089591,21350378,21479537,21040247,22403591,23062998,23377995,23938822
 "41005","Clackamas, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",65.894,67.606,69.482,73.073,76.456,79.635,79.639,81.749,77.837,78.926,82.622,85.827,85.882,84.658,89.981,94.949,100.000,106.276,106.919,104.732,111.518,114.801,116.369,119.160
 "41005","Clackamas, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",10198138,10591709,10980805,11866196,12705240,13650346,14008411,14556226,14027519,14279866,15182773,16023128,16244434,16283954,17578066,18766250,20089591,21764051,22377539,22334319,24737456,27222311,28949485,30434938
 "41007","Clatsop, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1383801,1474115,1473277,1575545,1618149,1638008,1607629,1633083,1596983,1650102,1634833,1660722,1668534,1704594,1735750,1769328,1843207,1906315,1893576,1914833,1997577,1939009,1975155,2006105
 "41007","Clatsop, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.076,79.976,79.930,85.478,87.790,88.867,87.219,88.600,86.642,89.523,88.695,90.100,90.523,92.480,94.170,95.992,100.000,103.424,102.733,103.886,108.375,105.198,107.159,108.838
 "41007","Clatsop, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",978351,1067800,1081247,1178257,1241279,1300261,1311304,1360508,1374875,1432242,1434201,1487413,1531939,1597095,1671504,1737539,1843207,1951707,1982996,2050064,2254118,2363045,2535465,2638224
 "41009","Columbia, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1191345,1095473,1129702,1260436,1228297,1186437,1210850,1221731,1183749,1225815,1132268,1107709,1165384,1161538,1235935,1270693,1313142,1324581,1331728,1373022,1468981,1467200,1560299,1573562
 "41009","Columbia, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",90.725,83.424,86.030,95.986,93.539,90.351,92.210,93.039,90.146,93.350,86.226,84.356,88.748,88.455,94.120,96.767,100.000,100.871,101.415,104.560,111.868,111.732,118.822,119.832
 "41009","Columbia, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",824925,770663,812439,937982,944255,943526,988279,1012521,1022340,1059698,992074,988495,1067448,1095530,1195084,1244100,1313142,1358758,1401173,1480891,1687113,1828029,2024595,2079491
 "41011","Coos, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1914130,1961002,2006345,2025661,2102736,2106001,2149264,2078599,2038038,2008820,2046034,1996711,2073785,2084389,2139862,2157521,2260617,2308811,2376834,2297036,2415614,2406764,2442504,2513157
 "41011","Coos, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.673,86.746,88.752,89.607,93.016,93.160,95.074,91.948,90.154,88.862,90.508,88.326,91.735,92.204,94.658,95.439,100.000,102.132,105.141,101.611,106.856,106.465,108.046,111.171
 "41011","Coos, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1331671,1402298,1470416,1534224,1638678,1690305,1770615,1742437,1740005,1737720,1796737,1794709,1917209,1976110,2067219,2115224,2260617,2366276,2488741,2479789,2786412,2967906,3107350,3270956
 "41013","Crook, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",558778,569920,570318,612330,636661,680311,706089,668352,611906,613197,621871,638872,636779,627221,646453,721420,750856,788935,848090,900334,1012967,1174628,1287902,1443018
 "41013","Crook, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.419,75.903,75.956,81.551,84.791,90.605,94.038,89.012,81.494,81.666,82.822,85.086,84.807,83.534,86.095,96.080,100.000,105.071,112.950,119.908,134.908,156.438,171.524,192.183
 "41013","Crook, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",400115,415588,426326,481378,513515,562872,596853,574493,533196,541421,556825,586405,601171,603886,627741,707348,750856,804852,886296,962228,1128078,1389723,1566316,1782976
 "41015","Curry, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",563148,585222,589197,620787,642440,634426,653054,638781,614184,618390,619290,625477,629067,604997,631458,619868,643191,658265,686660,667386,704683,686578,709349,718528
 "41015","Curry, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.555,90.987,91.605,96.517,99.883,98.637,101.534,99.314,95.490,96.144,96.284,97.246,97.804,94.062,98.176,96.374,100.000,102.344,106.758,103.762,109.561,106.746,110.286,111.713
 "41015","Curry, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",392857,416746,429585,473385,504576,512863,542900,537750,523319,532198,539380,557764,578618,571245,607259,607498,643191,676480,720621,726274,839582,877930,930581,963810
 "41017","Deschutes, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",4991186,5206048,5492119,5753101,6277325,6710818,6948586,6771878,6194650,5997751,6076144,6240002,6668778,7354973,7936358,8708469,9523750,9881699,10449613,10425322,11529428,11915421,12346752,13055367
 "41017","Deschutes, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",52.408,54.664,57.668,60.408,65.912,70.464,72.961,71.105,65.044,62.977,63.800,65.520,70.023,77.228,83.332,91.439,100.000,103.758,109.722,109.467,121.060,125.113,129.642,137.082
 "41017","Deschutes, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3582654,3822720,4102607,4426028,4980527,5504407,5856265,5790952,5388293,5252346,5390092,5654979,6162239,6941459,7660954,8560806,9523750,10081597,10913881,11150508,12798185,14056545,15338400,16682815
 "41019","Douglas, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",3038410,3191591,3195092,3358739,3424441,3437211,3428865,3338558,3269513,3292194,3338383,3313787,3266999,3270161,3403039,3563621,3675246,3688572,3738952,3740901,3942338,3794980,3897669,4022460
 "41019","Douglas, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.672,86.840,86.935,91.388,93.176,93.523,93.296,90.839,88.960,89.578,90.834,90.165,88.892,88.978,92.594,96.963,100.000,100.363,101.733,101.786,107.267,103.258,106.052,109.447
 "41019","Douglas, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2148735,2303663,2364746,2600166,2718491,2797470,2839326,2799258,2786802,2839320,2900000,2946334,2999477,3097534,3279439,3493229,3675246,3798112,3922561,4064723,4675159,4826854,5075002,5359749
 "41021","Gilliam, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",105593,97724,70810,67024,66389,84288,93866,116830,126868,155585,201996,207034,258620,247987,254479,251124,240260,245284,239631,322535,293764,286419,341231,349322
 "41021","Gilliam, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",43.950,40.674,29.472,27.897,27.632,35.082,39.069,48.627,52.805,64.757,84.074,86.171,107.642,103.216,105.918,104.522,100.000,102.091,99.738,134.244,122.269,119.212,142.026,145.394
 "41021","Gilliam, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",81578,74386,56427,55309,55724,72552,85989,108792,114838,143337,193490,198037,256870,254493,254497,242130,240260,250766,250610,338338,354904,391207,460728,464584
 "41023","Grant, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",212052,221245,211945,215795,214876,216872,228923,223742,228703,230888,225030,221092,235399,257588,269611,252169,260339,257051,258767,258598,269444,282907,286621,295946
 "41023","Grant, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.452,84.983,81.411,82.890,82.537,83.304,87.933,85.943,87.848,88.687,86.437,84.924,90.420,98.943,103.562,96.862,100.000,98.737,99.396,99.331,103.497,108.668,110.095,113.677
 "41023","Grant, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",155953,166362,164234,174371,177793,184318,199891,198171,202515,208615,207006,207597,228210,253785,263755,246191,260339,262936,269941,278580,306528,341201,353956,373332
 "41025","Harney, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",184380,183356,200430,201040,241038,203866,219445,209588,247343,222146,195468,192052,199322,251386,246905,256362,245012,259971,270219,277984,305805,318815,343439,382182
 "41025","Harney, OR",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.253,74.835,81.804,82.053,98.378,83.207,89.565,85.542,100.951,90.667,79.779,78.384,81.352,102.601,100.773,104.632,100.000,106.105,110.288,113.457,124.812,130.122,140.172,155.985
 "41025","Harney, OR",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",141444,143022,162098,171525,203541,174292,193990,188075,218706,203955,187752,188406,201384,255385,244286,248945,245012,264419,280165,294947,359665,421369,447549,495753
 "41027","Hood River, OR",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",660201,683702,684664,710081,779878,831120,875550,886366,875159,869502,891648,894837,913831,977999,1059082,1098326,1136151,1256688,1245283,1175723,1299238,1255219,1311421,1405739
