GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "42000","Pennsylvania",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",577677457,583507433,598809508,614957107,626290144,626589933,649638062,665148308,645206702,666805833,676468333,689007041,704195021,718691570,734145090,744847129,754318029,763855357,771852456,738176117,766139991,776824743,789918494,803232536
 "42000","Pennsylvania",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.583,77.356,79.384,81.525,83.027,83.067,86.123,88.179,85.535,88.399,89.679,91.342,93.355,95.277,97.326,98.744,100.000,101.264,102.325,97.860,101.567,102.984,104.720,106.485
 "42000","Pennsylvania",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",428463703,440887463,460478343,486384530,510763851,528771167,563238648,586886642,581219948,604629566,623767916,646434328,670767417,695546631,716534325,733165933,754318029,780620672,802233057,778297167,844875539,916861672,966444007,1007873940
 "42001","Adams, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2870686,3079556,3077669,3125042,3258002,3400782,3396711,3481667,3540362,3492310,3560178,3661621,3711568,3721392,3830516,3888451,4038383,3939119,3846736,3663444,3761986,3736589,3597077,3626431
 "42001","Adams, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.085,76.257,76.210,77.384,80.676,84.211,84.111,86.214,87.668,86.478,88.159,90.670,91.907,92.151,94.853,96.287,100.000,97.542,95.254,90.716,93.156,92.527,89.072,89.799
 "42001","Adams, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2029664,2229805,2260012,2346434,2531807,2733444,2802355,2943323,3082755,3062586,3176398,3334887,3447706,3528067,3713553,3828356,4038383,4016825,4016988,3915340,4206362,4490521,4578173,4729052
 "42003","Allegheny, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",77061648,77506630,79627626,80592856,80225360,78287933,80263443,82101205,81456554,84210234,85119577,86471622,88585538,89570416,93098459,93510886,97885840,101063586,102901477,98016431,101687892,103222969,105513404,107180697
 "42003","Allegheny, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.726,79.181,81.347,82.334,81.958,79.979,81.997,83.874,83.216,86.029,86.958,88.339,90.499,91.505,95.109,95.531,100.000,103.246,105.124,100.133,103.884,105.452,107.792,109.496
 "42003","Allegheny, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",55626972,57133149,60034018,62799240,64809607,65665785,69410895,71999785,72246971,75504115,77604149,80278768,83430066,85781727,90428929,92001412,97885840,103296979,106988428,103408546,111238366,119610193,127286970,132891899
 "42005","Armstrong, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2353131,2443834,2433152,2395048,2447952,2355535,2389244,2518822,2392065,2645809,2589257,2404321,2453492,2361397,2307695,2261037,2285684,2271321,2205815,2062039,1998562,1940681,1960696,2196207
 "42005","Armstrong, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",102.951,106.919,106.452,104.785,107.099,103.056,104.531,110.200,104.654,115.756,113.281,105.190,107.342,103.312,100.963,98.922,100.000,99.372,96.506,90.215,87.438,84.906,85.782,96.085
 "42005","Armstrong, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1674311,1746189,1793972,1855280,2011845,2067793,2154416,2347304,2202597,2492986,2502319,2309324,2382779,2357104,2249693,2192530,2285684,2339453,2300541,2136128,2290768,2500451,2461050,2797574
 "42007","Beaver, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",6395781,6444956,6441519,6755657,6858445,7184618,7340268,7304818,6856530,7230359,7420365,7337428,7129739,7058556,6792537,6736405,6933636,7196643,7448832,6904514,6851889,6288608,6112585,6137813
 "42007","Beaver, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.243,92.952,92.902,97.433,98.916,103.620,105.865,105.353,98.888,104.279,107.020,105.824,102.828,101.802,97.965,97.155,100.000,103.793,107.430,99.580,98.821,90.697,88.158,88.522
 "42007","Beaver, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",4596122,4671242,4771931,5210448,5521214,6184878,6469924,6541677,6202868,6579188,6889848,6799263,6678642,6840055,6630242,6571606,6933636,7418380,7853806,7360061,7776829,7866516,7893082,8032503
 "42009","Bedford, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1359887,1335482,1367967,1347948,1326514,1362585,1426902,1581982,1513122,1576857,1599335,1537527,1519076,1523314,1516667,1481646,1514469,1485800,1496698,1384690,1476667,1482826,1472374,1508888
 "42009","Bedford, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.793,88.182,90.327,89.005,87.589,89.971,94.218,104.458,99.911,104.119,105.604,101.522,100.304,100.584,100.145,97.833,100.000,98.107,98.827,91.431,97.504,97.911,97.220,99.631
 "42009","Bedford, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",966771,968523,1010745,1028217,1037894,1102094,1200168,1356987,1322608,1381334,1436854,1409899,1422433,1448735,1471022,1461446,1514469,1516519,1570715,1493567,1667646,1844948,1941005,2040603
 "42011","Berks, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",15889570,16067078,16391067,16640391,16999651,17724993,17623788,17774108,17111151,17551673,18077363,18221516,18566005,18942706,19769018,20112551,20118171,20374240,20294331,19608602,20149677,20295864,20411003,20884340
 "42011","Berks, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.981,79.864,81.474,82.713,84.499,88.104,87.601,88.349,85.053,87.243,89.856,90.572,92.285,94.157,98.264,99.972,100.000,101.273,100.876,97.467,100.157,100.883,101.456,103.808
 "42011","Berks, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",11732498,12072665,12451299,13087480,13779076,14950410,15289031,15738398,15424625,15937678,16670269,17073692,17570630,18226162,19276607,19763591,20118171,20864174,21166058,20705997,22224582,24056316,25397072,26580119
 "42013","Blair, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",5000013,4981865,5117548,5319910,5438855,5525970,5466313,5471724,5465177,5572848,5554266,5495715,5576289,5608926,5702495,5795705,5849536,5944931,6081711,5920480,6145123,6095086,6190467,6307591
 "42013","Blair, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.477,85.167,87.486,90.946,92.979,94.469,93.449,93.541,93.429,95.270,94.952,93.951,95.329,95.887,97.486,99.080,100.000,101.631,103.969,101.213,105.053,104.198,105.828,107.831
 "42013","Blair, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3631369,3683374,3832197,4098177,4304840,4530731,4612628,4719367,4847408,4974602,5043764,5092472,5251589,5363527,5558760,5718753,5849536,6058725,6329804,6290768,6821576,7229919,7678496,8000149
 "42015","Bradford, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1632943,1667757,1736784,1730318,1742216,1735158,1745999,1926926,2510145,2974194,3390152,3261201,3068991,3569827,3467310,3354898,3405483,3215314,3766321,3486018,3996601,3803007,4983037,5483875
 "42015","Bradford, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",47.950,48.973,51.000,50.810,51.159,50.952,51.270,56.583,73.709,87.335,99.550,95.763,90.119,104.826,101.816,98.515,100.000,94.416,110.596,102.365,117.358,111.673,146.324,161.031
 "42015","Bradford, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1473127,1535221,1625471,1692432,1747703,1800942,1876406,2127712,2695510,3334081,4019382,3761007,3650520,4260486,3325053,3138603,3405483,3389770,3833118,3287192,4823496,5681386,6281787,6798065
 "42017","Bucks, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",28423449,29159944,29558977,30336751,31296092,31397498,32561957,33190686,31910153,33298465,33319447,33043844,33571675,33934562,34142699,34819548,35356539,35913378,35493612,34127978,35381424,36888334,37237681,38241897
 "42017","Bucks, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",80.391,82.474,83.603,85.802,88.516,88.803,92.096,93.874,90.252,94.179,94.238,93.459,94.952,95.978,96.567,98.481,100.000,101.575,100.388,96.525,100.070,104.332,105.320,108.161
 "42017","Bucks, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",20839337,21766486,22374744,23511265,24985992,25906427,27534570,28538886,28278061,29481952,29924106,30301891,31294058,32192543,33101253,34280016,35356539,36648999,37059605,36397699,39147966,43581226,46255811,48826773
 "42019","Butler, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",6332746,6683668,7176272,7396939,7641775,7671699,7870851,8124723,7836056,8257589,8737526,9177684,9697603,10156082,10370714,10332703,10402480,10334210,10711220,10363477,10780715,10761242,11421637,11714428
 "42019","Butler, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",60.877,64.251,68.986,71.107,73.461,73.749,75.663,78.104,75.329,79.381,83.995,88.226,93.224,97.631,99.695,99.329,100.000,99.344,102.968,99.625,103.636,103.449,109.797,112.612
 "42019","Butler, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",4719419,5045678,5519838,5932208,6437626,6778591,7139186,7471230,7230616,7689091,8309484,8861939,9430060,9976522,10159341,10094778,10402480,10598859,11095232,10727321,11852991,12878907,13905640,14517627
 "42021","Cambria, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",4814077,4756783,4803309,4849866,4935420,4841037,4881448,5005434,4895881,5033248,5047270,5006208,4934007,4920444,4804216,4739521,4692840,4697005,4672897,4639605,4614652,4697846,4814671,4885225
 "42021","Cambria, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",102.583,101.363,102.354,103.346,105.169,103.158,104.019,106.661,104.327,107.254,107.553,106.678,105.139,104.850,102.373,100.995,100.000,100.089,99.575,98.866,98.334,100.107,102.596,104.100
 "42021","Cambria, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3458651,3499511,3608591,3757231,3940529,4004071,4152295,4335752,4335743,4496315,4578979,4623590,4621221,4693637,4665161,4666878,4692840,4802374,4878319,4952922,5161228,5601473,5984827,6208141
 "42023","Cameron, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",211522,217069,218263,214265,215657,219628,214261,200977,173086,194737,199551,194329,201180,206769,200611,213283,207428,200038,197324,185835,193425,195216,223475,199054
 "42023","Cameron, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",101.974,104.648,105.224,103.296,103.967,105.882,103.294,96.890,83.444,93.882,96.203,93.685,96.988,99.683,96.714,102.823,100.000,96.438,95.129,89.590,93.249,94.113,107.736,95.963
 "42023","Cameron, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",157010,163460,164977,166476,172791,177893,176725,170187,155493,172644,178928,178745,189273,197648,193769,207210,207428,207884,207212,191064,238316,304459,297835,267928
 "42025","Carbon, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1263021,1288622,1354107,1501904,1736569,1570718,1826998,1963797,1858642,1917770,1943404,2081134,2206997,2241481,2319810,2445834,2460488,2540311,2732908,2548692,2578969,2505504,2344901,2389097
 "42025","Carbon, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",51.332,52.373,55.034,61.041,70.578,63.838,74.253,79.813,75.540,77.943,78.984,84.582,89.698,91.099,94.282,99.404,100.000,103.244,111.072,103.585,104.815,101.830,95.302,97.098
 "42025","Carbon, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1041053,1084696,1158535,1313500,1540313,1424319,1685975,1829543,1758936,1809282,1851230,2007458,2150399,2211000,2306185,2437859,2460488,2574730,2803263,2644652,2730964,2759410,2685716,2798297
 "42027","Centre, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",5902116,6151224,6368307,6713454,7151162,6928258,7079235,7313285,7260051,7675840,7870849,8216443,8255367,8323050,8413508,8696442,8878239,8807131,8854634,8566514,8808040,8874509,8866232,9001773
 "42027","Centre, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",66.478,69.284,71.729,75.617,80.547,78.036,79.737,82.373,81.774,86.457,88.653,92.546,92.984,93.747,94.766,97.952,100.000,99.199,99.734,96.489,99.209,99.958,99.865,101.391
 "42027","Centre, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",4188620,4462981,4701367,5110692,5597790,5609771,5915677,6223851,6317011,6738204,7000814,7465967,7675568,7889220,8178032,8572960,8878239,8986157,9230895,9237910,9761813,10255959,10743134,11249015
 "42029","Chester, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",28543104,29329328,31852936,34633167,36812776,37339499,38457057,38366339,37836818,38361068,37662565,38338199,40544563,41348788,42597839,42939240,43750772,46007412,46010713,44333779,45562975,47391773,48605634,49491894
 "42029","Chester, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",65.240,67.037,72.805,79.160,84.142,85.346,87.900,87.693,86.483,87.681,86.084,87.629,92.672,94.510,97.365,98.145,100.000,105.158,105.165,101.333,104.142,108.322,111.097,113.122
 "42029","Chester, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",22038544,22934370,25156870,27932583,30440402,31743895,33531227,33955375,33940461,34616636,34630833,35957852,38699138,40121576,41866941,42398808,43750772,46810519,47524245,46646042,49768087,53823173,57280652,60160228
 "42031","Clarion, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1277055,1312335,1324741,1336309,1372300,1323801,1334013,1351247,1278027,1324754,1338709,1278863,1282444,1269707,1289665,1206612,1193138,1202532,1202902,1129827,1090869,1098770,1087125,1084922
 "42031","Clarion, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",107.033,109.990,111.030,112.000,115.016,110.951,111.807,113.251,107.115,111.031,112.201,107.185,107.485,106.417,108.090,101.129,100.000,100.787,100.818,94.694,91.429,92.091,91.115,90.930
 "42031","Clarion, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",903910,947271,981685,1029266,1092819,1083425,1118267,1162684,1093672,1158178,1197292,1166386,1201981,1217851,1242829,1180428,1193138,1238363,1265024,1227138,1275708,1387214,1405918,1431875
 "42033","Clearfield, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2738843,2795333,2755389,2765010,2800755,2812878,2835151,2900107,2716171,2845532,2950587,2880691,2838455,2824091,2762549,2667699,2798124,2835201,2869313,2723142,2795301,2936902,3043923,3110201
 "42033","Clearfield, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",97.881,99.900,98.473,98.817,100.094,100.527,101.323,103.645,97.071,101.694,105.449,102.951,101.441,100.928,98.729,95.339,100.000,101.325,102.544,97.320,99.899,104.960,108.784,111.153
 "42033","Clearfield, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1941808,2011638,2032064,2107208,2214730,2308291,2397125,2523635,2413563,2562038,2706764,2674074,2671230,2702485,2671105,2617931,2798124,2906007,3004208,2914795,3163194,3608305,3866822,4033114
 "42035","Clinton, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1080262,1097919,1145932,1200617,1235063,1235067,1228729,1242709,1209641,1349451,1446136,1546723,1593860,1673265,1687299,1654776,1626512,1642540,1658892,1516154,1422560,1390495,1571444,1562949
 "42035","Clinton, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",66.416,67.501,70.453,73.815,75.933,75.933,75.544,76.403,74.370,82.966,88.910,95.094,97.992,102.874,103.737,101.738,100.000,100.985,101.991,93.215,87.461,85.489,96.614,96.092
 "42035","Clinton, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",787366,812817,856615,924003,970051,1000061,1022275,1059911,1069500,1203810,1315630,1427055,1509039,1606568,1635889,1617406,1626512,1666860,1708577,1564690,1546054,1658728,1948790,1963098
 "42037","Columbia, PA",2,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2097772,2234611,2212187,2280022,2332963,2346111,2451672,2411817,2378578,2452532,2423625,2397131,2433973,2417453,2450280,2466178,2459622,2433615,2507555,2380227,2448305,2470200,2552754,2594231
 "42037","Columbia, PA",2,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",85.288,90.852,89.940,92.698,94.850,95.385,99.677,98.056,96.705,99.712,98.536,97.459,98.957,98.286,99.620,100.267,100.000,98.943,101.949,96.772,99.540,100.430,103.786,105.473
 "42037","Columbia, PA",2,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1539580,1675170,1676445,1769342,1855959,1919004,2055562,2066405,2119198,2186656,2187253,2211390,2277070,2299921,2397317,2449741,2459622,2475695,2603456,2531002,2676385,2873516,3149814,3276472
