GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "45000","South Carolina",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",162837062,167333032,174270810,177169370,183267536,187386059,193386551,192497138,184081292,188777169,193221008,195406148,200147292,206077883,213212377,220559341,224937579,231663274,239021317,233294365,245812023,256608477,266037768,278032803
 "45000","South Carolina",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.392,74.391,77.475,78.764,81.475,83.306,85.973,85.578,81.837,83.924,85.900,86.871,88.979,91.616,94.787,98.054,100.000,102.990,106.261,103.715,109.280,114.080,118.272,123.604
 "45000","South Carolina",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",119355207,124765163,131509078,136679860,145195764,153453410,162476344,164471226,162380437,166767350,172844717,178503863,186268280,195744407,207510050,217555476,224937579,236561687,249575709,248952741,272464897,305069979,332946836,357074376
 "45001","Abbeville, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",623748,574523,565975,595578,603418,579553,548673,542001,522671,539692,556476,545301,593189,603597,580056,579644,582564,581649,593029,572511,560996,579250,565099,626626
 "45001","Abbeville, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",107.069,98.620,97.152,102.234,103.580,99.483,94.182,93.037,89.719,92.641,95.522,93.604,101.824,103.610,99.569,99.499,100.000,99.843,101.796,98.274,96.298,99.431,97.002,107.563
 "45001","Abbeville, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",483900,452337,443999,475551,492386,494744,480513,483467,472629,491836,518346,514841,565722,584948,568856,572369,582564,598255,623424,609892,623052,724833,748621,846101
 "45003","Aiken, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",6126886,6229988,6377517,6344018,6351606,6148407,6989523,7289665,6715406,6880922,6875438,6772591,6598736,6527417,6741615,6739549,6836952,6987180,7113496,6991848,7162429,7228883,7450378,7648930
 "45003","Aiken, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.614,91.122,93.280,92.790,92.901,89.929,102.232,106.622,98.222,100.643,100.563,99.059,96.516,95.473,98.606,98.575,100.000,102.197,104.045,102.266,104.761,105.733,108.972,111.876
 "45003","Aiken, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",4379151,4565318,4742497,4805391,4907235,4916240,5749479,6097463,5832635,5990483,6061441,6092014,6061346,6130584,6515279,6639511,6836952,7166179,7493551,7570971,8021252,8821355,9792957,10364699
 "45005","Allendale, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",329250,342129,335742,335164,345387,453712,428699,358128,348544,387978,369491,352642,320847,298509,271891,286882,298131,297156,276792,275381,259236,279158,291197,294930
 "45005","Allendale, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",110.438,114.758,112.615,112.422,115.851,152.185,143.796,120.124,116.909,130.137,123.936,118.284,107.619,100.127,91.199,96.227,100.000,99.673,92.842,92.369,86.954,93.636,97.674,98.926
 "45005","Allendale, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",226566,238722,237141,243722,256571,346393,332680,282630,286371,322394,314420,310784,296274,285122,261922,280143,298131,307059,289380,298879,318415,374385,388886,398266
 "45007","Anderson, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",5057704,5082696,5245925,5469048,5546366,5593041,5645497,5669222,5368088,5653964,6001514,6176407,6164222,6120462,6316864,6663626,6731779,7033445,7275485,7145415,7506023,7639295,7845936,8125127
 "45007","Anderson, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.132,75.503,77.928,81.242,82.391,83.084,83.863,84.216,79.742,83.989,89.152,91.750,91.569,90.919,93.836,98.988,100.000,104.481,108.077,106.145,111.501,113.481,116.551,120.698
 "45007","Anderson, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3829600,3895170,4038100,4265847,4415245,4586909,4734235,4820525,4786486,5006075,5355518,5642630,5733544,5806336,6181566,6601326,6731779,7165158,7588894,7618503,8279327,9144089,9972197,10558072
 "45009","Bamberg, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",357049,355902,372161,364959,371711,372580,367071,363739,352929,366939,388636,334186,354937,378482,345662,355218,338938,337434,340202,323230,317563,347969,351109,378827
 "45009","Bamberg, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",105.344,105.005,109.802,107.677,109.669,109.926,108.300,107.317,104.128,108.261,114.663,98.598,104.720,111.667,101.984,104.803,100.000,99.556,100.373,95.366,93.694,102.665,103.591,111.769
 "45009","Bamberg, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",254844,258232,274235,275989,286670,296115,300467,302478,304518,317927,342644,301871,331182,360272,335752,349904,338938,345938,357556,350674,367300,435730,460282,510406
 "45011","Barnwell, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",565694,585083,660503,595972,611482,569281,594677,564960,525636,501270,513893,491255,489083,517902,503438,487469,467627,512027,518086,452901,426285,463088,509224,525062
 "45011","Barnwell, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",120.971,125.117,141.246,127.446,130.763,121.738,127.169,120.814,112.405,107.194,109.894,105.053,104.588,110.751,107.658,104.243,100.000,109.495,110.790,96.851,91.159,99.029,108.895,112.282
 "45011","Barnwell, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",429329,451570,511645,462834,486074,465339,495387,476232,460581,437559,454074,445374,455162,491917,491058,481788,467627,523679,542229,487536,487765,579780,667758,700844
 "45013","Beaufort, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",6010050,6084163,6471082,6829866,7176078,7459188,7681440,7496511,7153153,7010122,6895182,6943836,7231967,7447629,7502766,7727107,7752477,8172547,8541185,8671221,9010758,9561952,9686997,9962863
 "45013","Beaufort, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.524,78.480,83.471,88.099,92.565,96.217,99.084,96.698,92.269,90.424,88.942,89.569,93.286,96.068,96.779,99.673,100.000,105.419,110.174,111.851,116.231,123.341,124.954,128.512
 "45013","Beaufort, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",4134566,4314681,4702350,5113543,5570188,6007726,6389210,6353649,6177828,6096418,6085927,6253592,6635869,6989290,7229947,7590060,7752477,8367551,8966447,9343318,10068153,11323465,12118302,12872955
 "45015","Berkeley, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",3645852,3864558,4065247,4367292,4735182,5064887,5420494,5577212,5404523,5673580,5770956,6248515,6406394,6551354,6985709,7493718,7638074,8167714,8519201,8557208,8917543,9507009,10676218,11596144
 "45015","Berkeley, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",47.733,50.596,53.223,57.178,61.994,66.311,70.967,73.019,70.758,74.280,75.555,81.807,83.874,85.772,91.459,98.110,100.000,106.934,111.536,112.034,116.751,124.469,139.776,151.820
 "45015","Berkeley, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2683928,2883528,3082058,3477341,3935103,4487998,4914703,5135354,4981987,5256910,5454201,5898605,6074084,6372129,6833459,7335837,7638074,8353641,8838807,8922777,9808844,11144480,12952997,14302031
 "45017","Calhoun, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",416466,426428,449531,474681,491313,547637,539143,529552,534433,589624,557645,471310,512905,507302,551863,570842,567030,554158,630641,586932,611102,609494,608989,701884
 "45017","Calhoun, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",73.447,75.204,79.278,83.713,86.647,96.580,95.082,93.390,94.251,103.984,98.345,83.119,90.455,89.467,97.325,100.672,100.000,97.730,111.218,103.510,107.772,107.489,107.400,123.782
 "45017","Calhoun, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",279466,292188,312084,335932,354946,410255,415333,423316,452474,497581,486694,425305,470804,479753,535118,561287,567030,566969,659562,621990,696925,761999,788275,910882
 "45019","Charleston, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",17706937,18441749,19597828,20694578,22024678,22573600,23598626,23423419,22808067,23690413,24995070,26404438,26345983,27219982,28420316,29858119,30430615,31348215,32898335,31565706,33360981,35713630,37991945,39771365
 "45019","Charleston, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",58.188,60.603,64.402,68.006,72.377,74.181,77.549,76.973,74.951,77.851,82.138,86.769,86.577,89.449,93.394,98.119,100.000,103.015,108.109,103.730,109.630,117.361,124.848,130.695
 "45019","Charleston, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",12449751,13291176,14410699,15621939,17149965,18186626,19594670,19799177,19775558,20690461,22123284,23887061,24320552,25671282,27504770,29389674,30430615,32004648,34359495,33672233,36790444,41843985,46777331,50461876
 "45021","Cherokee, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1719732,1580869,1643959,1732908,1750116,1811102,1876139,1949621,1772317,1825819,1761418,1752667,1605795,1630047,1683260,1749748,1776738,1822257,1808610,1681176,1730497,1876762,1729082,1824380
 "45021","Cherokee, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",96.792,88.976,92.527,97.533,98.502,101.934,105.595,109.730,99.751,102.762,99.138,98.645,90.379,91.744,94.739,98.481,100.000,102.562,101.794,94.621,97.397,105.630,97.318,102.681
 "45021","Cherokee, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1297915,1214569,1263609,1346759,1385322,1459276,1543984,1635232,1521429,1581748,1584231,1612117,1504949,1559207,1658151,1745461,1776738,1851307,1884185,1801751,1913669,2221234,2179105,2341786
 "45023","Chester, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",970656,976848,1000657,1036818,1021862,1020418,1051718,980345,874775,881399,888623,928048,951232,956282,1023803,1029726,1046144,1106022,1182690,1132077,1137302,1209927,1275140,1382442
 "45023","Chester, SC",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",92.784,93.376,95.652,99.109,97.679,97.541,100.533,93.710,83.619,84.252,84.943,88.711,90.927,91.410,97.864,98.431,100.000,105.724,113.052,108.214,108.714,115.656,121.890,132.146
 "45023","Chester, SC",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",724284,739378,757979,808261,826149,868571,912072,860289,759878,773543,797247,845486,883214,910558,990395,1006632,1046144,1141247,1236069,1189805,1293559,1513424,1653942,1821832
 "45025","Chesterfield, SC",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1200577,1230770,1269385,1267611,1226558,1211986,1244442,1271082,1136260,1140587,1202493,1234359,1345678,1384995,1468418,1514328,1509183,1504377,1503220,1347980,1429047,1410175,1378754,1397541
