GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "47000","Tennessee",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",250311438,258542366,267589422,281564198,289064255,295668201,294819816,298526876,287308845,292686951,301508885,311754151,318347920,323879637,335461078,343544924,355417465,362363704,370197434,368057048,401673671,415451558,428276141,440200184
 "47000","Tennessee",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",70.427,72.743,75.289,79.221,81.331,83.189,82.950,83.993,80.837,82.350,84.832,87.715,89.570,91.127,94.385,96.660,100.000,101.954,104.158,103.556,113.015,116.891,120.499,123.854
 "47000","Tennessee",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",185917242,195386060,204665883,219862405,231339046,243104414,248261564,255546700,252940709,258657565,270054952,285897496,296756297,307448495,326382457,339350225,355417465,369713198,385832988,391588596,443419656,490587008,531246804,561201229
 "47001","Anderson, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",3965264,4227214,4251387,4215446,4287836,4308175,4323808,4393757,4303719,4590060,4753274,4657660,4578321,4708381,4567934,4606537,4847135,4890407,5000661,4998493,5548925,5879426,5827444,6009989
 "47001","Anderson, TN",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",81.806,87.211,87.709,86.968,88.461,88.881,89.203,90.646,88.789,94.696,98.064,96.091,94.454,97.137,94.240,95.036,100.000,100.893,103.167,103.123,114.478,121.297,120.224,123.991
 "47001","Anderson, TN",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",3080397,3329517,3375537,3395743,3534912,3619357,3694075,3788512,3884084,4086975,4262749,4279665,4282759,4473927,4485872,4589464,4847135,4968184,5207385,5322839,5995990,6950756,7385882,7857718
 "47003","Bedford, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1192733,1246053,1371535,1524563,1644409,1732444,1750935,1701907,1515819,1663329,1734095,1784233,1930647,1931881,1845982,1756970,1780045,1893423,1956082,1902124,2114595,2169364,2169382,2361433
 "47003","Bedford, TN",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",67.006,70.001,77.051,85.647,92.380,97.326,98.365,95.610,85.156,93.443,97.419,100.235,108.461,108.530,103.704,98.704,100.000,106.369,109.889,106.858,118.794,121.871,121.872,132.661
 "47003","Bedford, TN",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",937189,996779,1099504,1227411,1340400,1424177,1453673,1440198,1354308,1474113,1538277,1633402,1792149,1830221,1815141,1749737,1780045,1913480,2019835,2011104,2253877,2485196,2645492,2920940
 "47005","Benton, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",347901,347692,333175,352263,344517,342467,344844,349039,343895,342804,351744,353233,356102,356197,360588,352714,362862,360924,365835,372710,405289,408882,431331,448450
 "47005","Benton, TN",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",95.877,95.819,91.818,97.079,94.944,94.379,95.034,96.190,94.773,94.472,96.936,97.346,98.137,98.163,99.373,97.203,100.000,99.466,100.819,102.714,111.692,112.682,118.869,123.587
 "47005","Benton, TN",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",235935,241117,235437,258311,261928,269647,278779,288553,290406,292165,305627,314946,324972,333250,345890,344553,362862,371799,385243,402252,462587,505138,553730,587498
 "47007","Bledsoe, TN",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",206969,203837,193623,187426,192753,185990,197797,200240,186552,194888,208836,189335,197157,204966,211495,194257,206386,205213,200567,200747,223030,239954,255402,283940
