GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "48000","Texas",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1020517032,1042584367,1052132349,1111189147,1143413077,1225147261,1288828678,1287191538,1285560204,1323059067,1370174901,1438354410,1511806546,1559636095,1634127089,1633863306,1667313043,1746543257,1806736077,1782738226,1905512407,1975164033,2137536692,2221943292
 "48000","Texas",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",61.207,62.531,63.103,66.646,68.578,73.480,77.300,77.202,77.104,79.353,82.179,86.268,90.673,93.542,98.010,97.994,100.000,104.752,108.362,106.923,114.286,118.464,128.202,133.265
 "48000","Texas",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",780206165,796357278,840860776,921230705,1003745898,1108236508,1198565001,1253141987,1179168068,1255660779,1351776915,1429588040,1526781923,1592177622,1585985897,1582981519,1667313043,1808026912,1864872254,1810670154,2117013736,2476903158,2637237649,2769766225
 "48001","Anderson, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1632291,1658571,1634501,1611983,1622207,1758457,1865317,1864343,1797996,1851399,1872287,1886542,1871259,1849883,1788614,1819628,1854000,1921111,1990730,1967434,2071620,2106124,2175518,2150054
 "48001","Anderson, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",88.042,89.459,88.161,86.946,87.498,94.847,100.610,100.558,96.979,99.860,100.986,101.755,100.931,99.778,96.473,98.146,100.000,103.620,107.375,106.118,111.738,113.599,117.342,115.968
 "48001","Anderson, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1128092,1146048,1201873,1243744,1335488,1498106,1652158,1760121,1599311,1693564,1750341,1781215,1805162,1814272,1744331,1790151,1854000,1962740,2070808,2088239,2292727,2525915,2709645,2737991
 "48003","Andrews, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1237772,1637151,1166320,1162589,1200768,1489703,1626221,1589049,1981982,1926167,2227113,2967163,2830637,2716971,2862564,2872740,2663256,2803950,2921685,2682766,2960028,2780286,4453975,4737748
 "48003","Andrews, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",46.476,61.472,43.793,43.653,45.086,55.935,61.061,59.666,74.419,72.324,83.624,111.411,106.285,102.017,107.484,107.866,100.000,105.283,109.704,100.733,111.143,104.394,167.238,177.893
 "48003","Andrews, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1058891,1181125,1253420,1484505,2039300,2571977,2979844,3879319,2567951,3261943,4274684,4915063,5008000,4680203,2615858,2317852,2663256,3259174,2778306,1820887,3727167,5374047,5201771,5214513
 "48005","Angelina, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2731666,2743696,2800276,2914718,2921286,3059296,3185223,3313691,3297132,3367561,3456507,3585138,3486309,3463932,3375626,3158949,3152626,3297217,3316547,3248551,3241045,3368400,3513734,3586981
 "48005","Angelina, TX",6,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",86.647,87.029,88.824,92.454,92.662,97.040,101.034,105.109,104.584,106.818,109.639,113.719,110.584,109.874,107.073,100.201,100.000,104.586,105.199,103.043,102.805,106.844,111.454,113.778
 "48005","Angelina, TX",6,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2053215,2097171,2167917,2323799,2398452,2583209,2746479,2936551,2875122,2988465,3107472,3287387,3261648,3297238,3261579,3115214,3152626,3372729,3418535,3371344,3654157,4159477,4310685,4478455
 "48007","Aransas, TX",6,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",535335,548454,572452,562177,549777,631496,661339,620858,610221,591014,596371,670737,667368,710152,729308,684512,644093,645836,684004,689026,720654,763505,749414,743698
