GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "49000","Utah",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",100244341,102828054,104829230,111318873,118430200,127539423,133799806,133662879,130958640,133739071,138301056,140622492,145026883,150076296,155431501,162528245,172075043,182106012,192760581,195323175,211289469,217848812,226322094,234300566
 "49000","Utah",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",58.256,59.758,60.921,64.692,68.825,74.118,77.757,77.677,76.106,77.721,80.373,81.722,84.281,87.216,90.328,94.452,100.000,105.829,112.021,113.510,122.789,126.601,131.525,136.162
 "49000","Utah",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",73042514,76289442,79504706,86766665,95512042,106787099,115180676,116949220,113834761,118296292,125137810,129431373,135344311,142627746,149762055,159330639,172075043,186805723,201312214,206240515,233320947,261548531,283230808,299471252
 "49001","Beaver, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",279037,242458,238194,319384,353976,238663,251588,246363,303148,332625,279980,288156,375173,402486,320411,312118,387886,347795,408152,407840,475231,440888,389549,416765
 "49001","Beaver, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",71.938,62.508,61.408,82.340,91.258,61.529,64.861,63.514,78.154,85.753,72.181,74.289,96.722,103.764,82.604,80.466,100.000,89.664,105.225,105.144,122.518,113.664,100.429,107.445
 "49001","Beaver, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",192375,164498,169366,244414,259910,180277,202803,205827,252660,290519,267540,279831,371279,396870,309880,301021,387886,354858,424710,426336,576757,616757,547336,586522
 "49003","Box Elder, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1695719,1768854,1737919,1753286,1852822,2130275,2227865,2336242,2345656,2263251,2036456,1854666,2008353,2000800,2184033,2209626,2261288,2267245,2322662,2357466,2477623,2692240,2875106,2894878
 "49003","Box Elder, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",74.989,78.223,76.855,77.535,81.937,94.206,98.522,103.315,103.731,100.087,90.057,82.018,88.815,88.481,96.584,97.715,100.000,100.263,102.714,104.253,109.567,119.058,127.145,128.019
 "49003","Box Elder, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1383657,1457362,1458594,1519170,1625892,1928694,2076255,2205993,2104972,2105525,1951754,1782061,1925041,1953863,2142943,2161087,2261288,2315598,2396890,2424137,2679788,3143065,3493437,3553223
 "49005","Cache, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2908996,2949610,3123420,3285296,3290448,3407046,3634902,3827015,3957829,4288569,4442179,4317330,4397335,4556602,4733915,4906473,5322111,5812994,5910885,5964960,6368747,6574773,6898463,7165803
 "49005","Cache, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",54.659,55.422,58.688,61.729,61.826,64.017,68.298,71.908,74.366,80.580,83.466,81.121,82.624,85.616,88.948,92.190,100.000,109.223,111.063,112.079,119.666,123.537,129.619,134.642
 "49005","Cache, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2156502,2230949,2395665,2569491,2631337,2797434,3050974,3262814,3490757,3779429,3976755,3968887,4110288,4330836,4608657,4861451,5322111,5903333,6135524,6361682,7011936,7687176,8529776,9088221
 "49007","Carbon, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1112418,1107677,1090299,1072611,1128343,1208212,1243911,1301141,1246361,1188876,1210183,1068044,1070262,1132296,1078494,1034329,945663,990700,1073715,1157842,1073949,861838,1063916,918791
 "49007","Carbon, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",117.634,117.132,115.295,113.424,119.318,127.763,131.539,137.590,131.798,125.719,127.972,112.941,113.176,119.736,114.046,109.376,100.000,104.762,113.541,122.437,113.566,91.136,112.505,97.158
 "49007","Carbon, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",681170,677839,723690,766131,904628,1023218,1100987,1281385,1117997,1132652,1214640,1066279,1070696,1139764,1031667,985428,945663,1024508,1113058,1190235,1266090,1143383,1448987,1283641
 "49009","Daggett, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",54509,57188,55562,53363,58939,55307,54527,60958,63754,61898,74144,60670,56997,59201,127146,118322,155981,164115,123863,116420,93316,106948,116735,112172
 "49009","Daggett, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",34.946,36.663,35.621,34.211,37.786,35.457,34.958,39.080,40.873,39.683,47.534,38.896,36.541,37.954,81.514,75.856,100.000,105.214,79.409,74.637,59.825,68.565,74.839,71.914
 "49009","Daggett, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",37960,40619,41057,40902,47713,46756,47945,55221,57709,56692,69394,56904,55023,58725,125189,115300,155981,169563,133645,126456,107470,134793,151224,146409
 "49011","Davis, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",8651180,8939117,9306819,9606435,10007038,10559607,10883420,10782773,10454065,10910572,11313200,11543380,12455338,12673310,12693023,13200470,14039771,14830604,15464703,15758689,16826680,16767342,17368047,18149590
 "49011","Davis, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",61.619,63.670,66.289,68.423,71.276,75.212,77.518,76.802,74.460,77.712,80.580,82.219,88.715,90.267,90.408,94.022,100.000,105.633,110.149,112.243,119.850,119.427,123.706,129.273
 "49011","Davis, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",6099537,6470614,6922318,7352843,7980667,8751362,9310763,9352156,9192379,9745947,10453274,10886780,11768447,12142500,12376260,12916452,14039771,15358155,16139955,16486484,18779612,20888343,22301669,23321544
 "49013","Duchesne, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",441127,451464,448771,500553,592607,668477,795307,871484,926615,896194,948270,1088196,1144150,1230932,1130989,1008420,1040002,997960,1060725,1034597,1109556,1167257,1498152,1602306
 "49013","Duchesne, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",42.416,43.410,43.151,48.130,56.981,64.277,76.472,83.796,89.097,86.172,91.180,104.634,110.014,118.359,108.749,96.963,100.000,95.957,101.993,99.480,106.688,112.236,144.053,154.068
 "49013","Duchesne, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",372142,378818,408541,485254,633281,733610,906336,1117377,955137,1016312,1144669,1256038,1374248,1476869,1087921,937143,1040002,1054891,1073113,967295,1258078,1620082,1765328,1858136
 "49015","Emery, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",802845,785920,794016,814727,823402,823354,813988,827855,844187,840876,932425,958051,956612,900572,897835,944252,922623,859234,913320,977185,1160119,1344588,1087020,1109249
 "49015","Emery, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",87.018,85.183,86.061,88.306,89.246,89.241,88.225,89.728,91.499,91.140,101.062,103.840,103.684,97.610,97.313,102.344,100.000,93.129,98.992,105.914,125.741,145.735,117.818,120.228
 "49015","Emery, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",554965,536722,570917,613061,668471,719434,728617,765064,824126,819813,923618,927204,936363,920291,896186,912196,922623,886112,961385,1021486,1375560,1774249,1436747,1455689
 "49017","Garfield, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",156116,155589,153806,160893,172330,192615,219862,230450,217524,222821,204580,188655,196388,195952,218535,231195,240871,254253,271515,264810,301240,305411,319191,341149
 "49017","Garfield, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",64.813,64.594,63.854,66.796,71.544,79.966,91.278,95.673,90.307,92.506,84.933,78.322,81.532,81.352,90.727,95.983,100.000,105.556,112.722,109.938,125.063,126.794,132.515,141.631
 "49017","Garfield, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",122186,124205,125950,135280,149191,170372,200409,214044,199596,206536,193498,181370,193120,195299,215365,226325,240871,259366,281403,271254,328326,362728,385508,417192
 "49019","Grand, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",326758,339906,353631,376836,402666,432046,431180,463415,484147,480155,477879,462648,467318,489520,496491,517416,580017,616428,657734,614748,656931,693177,715357,704674
 "49019","Grand, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",56.336,58.603,60.969,64.970,69.423,74.489,74.339,79.897,83.471,82.783,82.391,79.765,80.570,84.398,85.599,89.207,100.000,106.278,113.399,105.988,113.261,119.510,123.334,121.492
 "49019","Grand, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",218565,232595,250276,277069,314304,351793,365815,411397,428248,434251,445117,437292,447194,475348,476949,504913,580017,633011,692497,654222,746212,858435,927900,938917
 "49021","Iron, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1068349,1150501,1174122,1215756,1318761,1467181,1418171,1362728,1348177,1324144,1389145,1274520,1295929,1370254,1386659,1466385,1582096,1754625,1901612,1946503,2091324,2242469,2388703,2421909
 "49021","Iron, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",67.527,72.720,74.213,76.845,83.355,92.737,89.639,86.134,85.215,83.696,87.804,80.559,81.912,86.610,87.647,92.686,100.000,110.905,120.196,123.033,132.187,141.740,150.983,153.082
 "49021","Iron, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",753842,827486,867374,931491,1029019,1190625,1197452,1173954,1167858,1163421,1251697,1172857,1218171,1309789,1348607,1441834,1582096,1793173,1986750,2079731,2364165,2759921,3087335,3193337
 "49023","Juab, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",213897,231934,219053,258248,293399,359876,403159,377269,386355,428200,427122,364079,398170,401894,435124,412125,405585,478706,501565,506611,625324,701826,730564,688868
 "49023","Juab, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",52.738,57.185,54.009,63.673,72.340,88.730,99.402,93.019,95.259,105.576,105.310,89.766,98.172,99.090,107.283,101.613,100.000,118.029,123.665,124.909,154.179,173.041,180.126,169.846
 "49023","Juab, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",148477,165453,158492,193554,228213,296198,345054,328908,350011,387562,393123,337893,375532,389452,425238,402982,405585,489683,523609,529036,720008,903877,953279,894939
 "49025","Kane, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",204657,210833,222432,222219,243874,289465,272438,256773,244643,252955,268117,275723,282814,291392,295590,310021,325938,349795,359676,377311,427726,424822,438231,430284
 "49025","Kane, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",62.790,64.685,68.244,68.178,74.822,88.810,83.586,78.780,75.058,77.608,82.260,84.594,86.769,89.401,90.689,95.117,100.000,107.319,110.351,115.761,131.229,130.338,134.452,132.014
 "49025","Kane, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",143299,152165,164264,168962,188849,230020,228144,219504,213673,222253,239115,251473,261496,273875,282962,301773,325938,359680,380498,403603,487126,529475,579420,586159
 "49027","Millard, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",702582,736460,685647,753554,737664,745414,786288,786949,763790,791060,875585,767345,872077,838140,878573,836753,855418,824251,856414,889908,949184,998907,1112650,1124088
 "49027","Millard, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.133,86.094,80.153,88.092,86.234,87.140,91.919,91.996,89.289,92.476,102.358,89.704,101.948,97.980,102.707,97.818,100.000,96.356,100.116,104.032,110.961,116.774,130.071,131.408
 "49027","Millard, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",517248,531274,516254,588221,591703,633534,694170,699922,721213,740069,840172,728854,852512,851341,875412,810288,855418,847501,899928,936198,1129091,1327794,1487020,1494127
 "49029","Morgan, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",163022,169101,179073,190420,203448,212486,231950,228824,217872,245565,233389,249211,245910,268571,264234,256780,279914,303073,312914,351446,392203,392330,405280,420698
 "49029","Morgan, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",58.240,60.412,63.974,68.028,72.682,75.911,82.865,81.748,77.835,87.729,83.379,89.031,87.852,95.948,94.398,91.735,100.000,108.274,111.789,125.555,140.115,140.161,144.787,150.295
 "49029","Morgan, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",106108,112436,121143,133340,147989,161789,183136,182358,178809,202208,196435,215506,217947,242195,245128,252772,279914,311352,331350,380772,447195,490647,537929,575445
 "49031","Piute, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",29514,26458,29442,31791,40493,30986,38624,31942,34301,33932,31266,23543,23215,26852,50288,69679,79559,82953,70586,65317,56154,69953,83136,101591
 "49031","Piute, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",37.097,33.256,37.007,39.959,50.897,38.948,48.547,40.149,43.114,42.650,39.299,29.592,29.179,33.750,63.208,87.581,100.000,104.266,88.721,82.099,70.581,87.926,104.496,127.692
 "49031","Piute, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",21849,19660,22903,26411,32899,25895,34272,29355,31847,32210,31057,23949,24233,28536,51139,64916,79559,80878,68938,63439,66687,100569,111298,131217
 "49033","Rich, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",75566,54758,60383,66080,74617,74774,71196,75876,70209,67927,72975,76480,109749,126075,132970,133816,131815,137593,137227,143368,150766,149823,180321,194371
 "49033","Rich, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",57.327,41.542,45.809,50.131,56.607,56.727,54.012,57.563,53.263,51.532,55.362,58.021,83.260,95.646,100.876,101.519,100.000,104.384,104.106,108.765,114.378,113.662,136.799,147.458
 "49033","Rich, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",59719,44322,50227,57706,64928,66605,66473,72425,66728,65211,72390,77529,115466,130901,131360,128504,131815,138757,141144,149249,172111,189405,232426,253359
 "49035","Salt Lake, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",53896632,55305129,55590588,59220582,62489483,67457400,70667266,70192184,67743394,68966994,72330014,74923020,76339461,78919099,81688670,85626964,90203042,95359475,101168837,101036179,109757229,112852021,116647514,119476922
 "49035","Salt Lake, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",59.750,61.312,61.628,65.653,69.276,74.784,78.342,77.816,75.101,76.458,80.186,83.060,84.631,87.491,90.561,94.927,100.000,105.716,112.157,112.010,121.678,125.109,129.317,132.453
 "49035","Salt Lake, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",38979641,40721699,41765908,45598364,49631446,55618423,59794869,59868639,57672114,59613507,63764580,67528589,69888793,73723547,78064858,83894014,90203042,98083086,106081393,107016968,120820324,135402287,146456829,153846066
 "49037","San Juan, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",394654,416349,390428,396721,420842,446461,480844,451332,514309,536454,530502,493553,497760,478804,458202,467656,466332,443331,478790,452591,487460,489355,578071,632119
 "49037","San Juan, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.630,89.282,83.723,85.073,90.245,95.739,103.112,96.784,110.288,115.037,113.761,105.837,106.739,102.675,98.257,100.284,100.000,95.068,102.672,97.053,104.531,104.937,123.961,135.551
 "49037","San Juan, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",264216,274926,289287,316948,378398,417797,472416,496741,492709,556491,582910,526323,537428,517216,436937,442145,466332,461712,497944,464309,562394,635294,737234,823049
 "49039","Sanpete, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",499947,528732,485850,485742,544866,622864,627807,697680,648538,706668,639663,631069,613261,619816,742333,779449,785789,867113,824853,855811,915914,1042847,1108324,1197301
 "49039","Sanpete, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",63.624,67.287,61.830,61.816,69.340,79.266,79.895,88.787,82.533,89.931,81.404,80.310,78.044,78.878,94.470,99.193,100.000,110.349,104.971,108.911,116.560,132.713,141.046,152.369
 "49039","Sanpete, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",378390,406477,383392,392899,451438,528839,551835,624039,585820,647569,615347,621987,623298,633520,741384,758036,785789,872874,845918,900928,1023923,1273891,1383810,1505574
 "49041","Sevier, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",674689,658871,653785,668442,700573,762062,797246,784178,815862,808836,828102,755923,852183,917106,946445,1018425,1050188,1076758,1130210,1179910,1178838,1138345,1220571,1207257
 "49041","Sevier, UT",7,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",64.245,62.738,62.254,63.650,66.709,72.564,75.915,74.670,77.687,77.018,78.853,71.980,81.146,87.328,90.122,96.976,100.000,102.530,107.620,112.352,112.250,108.394,116.224,114.956
 "49041","Sevier, UT",7,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",468397,465260,477697,515461,577071,664020,723493,748708,748060,781051,847392,774832,863487,923787,916413,965395,1050188,1114408,1167499,1201258,1381708,1584172,1698167,1656953
 "49043","Summit, UT",7,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1718795,1696470,1791832,2051350,2459000,2696913,2573137,2665976,2321640,2441832,2452066,2543009,2643321,2837634,2958558,3071755,3418250,3617976,3607861,3518557,4165378,4477204,4555281,4672480
