GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "51000","Virginia",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",386444742,390242390,404522231,421744430,442089548,451263106,457568894,462034720,460075252,475699292,479571404,483041359,488741274,488918588,498943604,505107730,515167162,527767531,541027958,535224364,565790662,579301843,599260965,613708694
 "51000","Virginia",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",75.013,75.751,78.523,81.866,85.815,87.595,88.819,89.686,89.306,92.339,93.090,93.764,94.870,94.905,96.851,98.047,100.000,102.446,105.020,103.893,109.827,112.449,116.324,119.128
 "51000","Virginia",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",285663433,294929127,311093051,331815845,357427012,376429430,391595519,402157775,409935264,425490838,433683691,445008508,456911593,465601710,485540857,499032420,515167162,537158291,561701774,566101470,616187898,665624681,722767355,761733844
 "51001","Accomack, VA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2200309,1995898,1932200,1940319,2007393,2072657,2006979,2127637,2745186,2874071,2689413,2705675,2318672,1947169,1763719,1682787,1714967,1772218,1804289,1793560,1897523,1779121,1581707,1609589
 "51001","Accomack, VA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",128.300,116.381,112.667,113.140,117.051,120.857,117.027,124.063,160.072,167.588,156.820,157.768,135.202,113.540,102.843,98.124,100.000,103.338,105.208,104.583,110.645,103.741,92.230,93.855
 "51001","Accomack, VA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1578817,1496671,1455042,1471691,1537887,1594965,1587339,1760121,2436160,2547237,2377651,2505274,2161423,1858491,1723530,1672817,1714967,1796630,1870627,1909511,2100515,2076931,1953310,2039420
 "51007","Amelia, VA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",240168,213425,231713,225193,237978,258672,256211,251276,248304,287530,272867,288187,291648,298328,309190,288835,285025,264269,276192,259232,295190,327025,289023,292432
 "51007","Amelia, VA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.262,74.879,81.296,79.008,83.494,90.754,89.891,88.160,87.117,100.879,95.734,101.110,102.324,104.668,108.478,101.337,100.000,92.718,96.901,90.951,103.567,114.736,101.403,102.599
 "51007","Amelia, VA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",165669,149623,166659,169355,186166,210527,215157,214235,211742,252223,257546,279229,294287,301840,304445,279733,285025,269416,287671,278347,343863,427276,384048,394683
 "51009","Amherst, VA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",815600,832015,848298,848826,857452,890671,894805,896802,867047,878459,852175,841449,884668,848465,860981,824201,806386,813582,795316,759430,812178,783250,804716,835793
 "51009","Amherst, VA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",101.143,103.178,105.198,105.263,106.333,110.452,110.965,111.213,107.523,108.938,105.678,104.348,109.708,105.218,106.770,102.209,100.000,100.892,98.627,94.177,100.718,97.131,99.793,103.647
 "51009","Amherst, VA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",580366,604379,623250,637702,664459,718490,740553,757304,752610,765684,752626,759985,817716,800004,834541,811496,806386,832214,833577,815675,907444,952138,1033764,1099163
 "51011","Appomattox, VA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",322010,313605,321585,315555,318958,324110,312457,304323,288800,285608,281324,286945,304706,296525,301519,295646,300302,300463,297513,293447,326332,325131,346317,358211
 "51011","Appomattox, VA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",107.229,104.430,107.087,105.079,106.212,107.928,104.048,101.339,96.170,95.107,93.680,95.552,101.466,98.742,100.405,98.450,100.000,100.054,99.071,97.717,108.668,108.268,115.323,119.284
 "51011","Appomattox, VA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",219498,219461,229456,230869,242439,255891,255677,253877,248003,247170,247459,258093,279925,278549,290152,289602,300302,307549,313034,319581,373584,399072,447992,475560
 "51013","Arlington, VA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",24550027,24649730,25192521,27518363,28122680,27878126,28309301,28473062,29718976,31972405,32704138,31433131,30557245,30689850,31870414,32541434,33997126,35530163,36825830,36785680,39028124,38535970,40795731,41376780
 "51013","Arlington, VA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",72.212,72.505,74.102,80.943,82.721,82.001,83.270,83.751,87.416,94.044,96.197,92.458,89.882,90.272,93.744,95.718,100.000,104.509,108.320,108.202,114.798,113.351,119.998,121.707
 "51013","Arlington, VA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",18140010,18754696,19645201,21946325,23019221,23556890,24581885,25067235,26464926,28733968,29729413,29021501,28586907,29245785,31045776,32227754,33997126,36068981,37999286,38157412,40998407,42331762,46907846,49077789
 "51017","Bath, VA",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",208601,218856,226491,229111,232629,220085,236261,241238,233600,249647,249477,223620,226341,223607,224185,227781,223251,208439,222135,198547,215428,232037,244870,257786
 "51017","Bath, VA",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",93.438,98.031,101.451,102.625,104.201,98.582,105.827,108.057,104.636,111.823,111.747,100.165,101.384,100.159,100.418,102.029,100.000,93.365,99.500,88.934,96.496,103.935,109.684,115.469
 "51017","Bath, VA",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",146634,156043,164419,170384,180569,177405,197378,205694,202109,214906,217574,199531,206327,209459,215370,223500,223251,214066,233636,206190,236768,276584,302924,327016
