GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "53000","Washington",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",317860579,321977108,327645232,335449261,358396321,372145035,394221923,401093171,390813969,403471316,411575705,426447018,439472182,456186522,476715369,495724874,527169356,561785734,588794408,587167777,626122169,643017568,670977817,702232288
 "53000","Washington",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",60.296,61.077,62.152,63.632,67.985,70.593,74.781,76.084,74.134,76.535,78.073,80.894,83.365,86.535,90.429,94.035,100.000,106.566,111.690,111.381,118.771,121.976,127.279,133.208
 "53000","Washington",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",237978177,245629810,254720198,267423939,293401990,314190840,341712300,352460709,349945415,363544220,377518830,398358522,416924127,439851230,467590624,489790215,527169356,570337763,608643403,617739088,683366962,741002837,801455495,856013561
 "53001","Adams, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",472367,596204,588139,572382,654521,692185,840620,836159,807454,816440,792535,806139,820730,779313,892547,807855,728684,829427,886408,904059,854276,1074347,887006,1097173
 "53001","Adams, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",64.825,81.819,80.713,78.550,89.822,94.991,115.361,114.749,110.810,112.043,108.763,110.629,112.632,106.948,122.487,110.865,100.000,113.825,121.645,124.067,117.235,147.437,121.727,150.569
 "53001","Adams, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",337904,427464,440919,457642,506216,536623,733703,746968,667822,714017,775432,814029,867954,817720,898908,786915,728684,835164,907549,939603,997109,1422384,1168566,1442850
 "53003","Asotin, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",481091,498568,507997,514581,550084,574429,568665,560905,559246,607675,603364,587943,606858,586843,608193,611390,618134,638182,653524,655699,686825,718550,725854,753733
 "53003","Asotin, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",77.830,80.657,82.182,83.247,88.991,92.929,91.997,90.742,90.473,98.308,97.610,95.116,98.176,94.938,98.392,98.909,100.000,103.243,105.725,106.077,111.113,116.245,117.427,121.937
 "53003","Asotin, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",334502,354394,371083,390216,426636,459038,469874,471000,482446,527264,532987,531681,561667,555479,588717,600669,618134,652348,684823,709481,785746,881479,927453,984824
 "53005","Benton, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",7524235,8135068,8121176,8377306,8693950,8855225,8998388,9321907,9786914,11054283,10762351,10151455,9971611,10084926,10634165,11172712,11194529,11510455,11923121,11529796,12222613,12153292,12544715,13124028
 "53005","Benton, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",67.214,72.670,72.546,74.834,77.662,79.103,80.382,83.272,87.426,98.747,96.139,90.682,89.076,90.088,94.994,99.805,100.000,102.822,106.508,102.995,109.184,108.565,112.061,117.236
 "53005","Benton, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",5362299,5908692,6060396,6457902,6780826,7080778,7560952,7985058,8535842,9755948,9725822,9355096,9398794,9680832,10333650,10938677,11194529,11750408,12434311,12314934,13673711,14441686,15753981,16919154
 "53007","Chelan, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",3064712,3262919,3264598,3285198,3155902,3433248,3471767,3484293,3518224,3568248,3835737,3941049,3887753,3991863,4171403,4286759,4462566,4554522,4643765,4557406,4844104,5121948,5633507,5563975
 "53007","Chelan, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",68.676,73.118,73.155,73.617,70.719,76.934,77.798,78.078,78.839,79.960,85.954,88.314,87.119,89.452,93.475,96.060,100.000,102.061,104.060,102.125,108.550,114.776,126.239,124.681
 "53007","Chelan, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2171478,2347712,2409285,2519739,2491153,2824859,2942847,2999099,3081396,3167422,3473499,3615536,3637759,3832454,4058687,4195287,4462566,4662412,4866780,4862605,5455064,6182721,7079832,7131873
 "53009","Clallam, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2032015,2066869,2129176,2193428,2312780,2355256,2380552,2444616,2389004,2467326,2580108,2570498,2505054,2429964,2378284,2402584,2449235,2515426,2561804,2510570,2688636,2777591,2806288,2940757
 "53009","Clallam, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",82.965,84.388,86.932,89.556,94.429,96.163,97.196,99.811,97.541,100.739,105.343,104.951,102.279,99.213,97.103,98.095,100.000,102.702,104.596,102.504,109.774,113.406,114.578,120.068
 "53009","Clallam, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1390701,1452667,1529863,1629115,1772742,1868086,1945533,2034372,2031409,2119237,2238601,2282921,2284329,2274799,2288835,2358279,2449235,2580589,2694231,2732920,3055267,3345493,3548006,3824896
 "53011","Clark, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",12039863,12053335,12663231,13440195,14651439,15163066,15786342,16211714,15196486,15509568,15623332,16075143,16506794,17207705,18292992,19090880,20074346,21401484,22181796,22188295,24519578,24917642,25235910,26085187
 "53011","Clark, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",59.976,60.043,63.082,66.952,72.986,75.535,78.639,80.758,75.701,77.261,77.827,80.078,82.228,85.720,91.126,95.101,100.000,106.611,110.498,110.531,122.144,124.127,125.712,129.943
 "53011","Clark, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",8885415,9071994,9657383,10492219,11783044,12582677,13408030,13942619,13355117,13672602,13963354,14669896,15341923,16301193,17739393,18796117,20074346,21854885,23209375,23758821,27212880,29444711,31385230,33424754
 "53013","Columbia, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",241745,219831,225810,217890,162678,245220,236353,285464,323197,317340,372533,328322,285670,298328,340398,337506,351595,339240,347073,332593,349016,353033,369531,376028
 "53013","Columbia, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",68.757,62.524,64.224,61.972,46.269,69.745,67.223,81.191,91.923,90.257,105.955,93.381,81.250,84.850,96.815,95.993,100.000,96.486,98.714,94.595,99.266,100.409,105.101,106.949
 "53013","Columbia, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",172906,155385,167563,169785,129312,204324,206984,252060,278955,280622,346874,305770,275316,296958,336935,327665,351595,346977,361817,347628,417177,480482,495641,498101
 "53015","Cowlitz, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",3618523,3507652,3618911,3694871,3881922,4008968,4270406,4170896,4102787,4416656,4308343,4418910,4521111,4533021,4646965,4730351,4700051,4907501,5182692,5257272,5412950,5531954,5460553,5530726
 "53015","Cowlitz, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",76.989,74.630,76.997,78.613,82.593,85.296,90.859,88.742,87.292,93.970,91.666,94.018,96.193,96.446,98.871,100.645,100.000,104.414,110.269,111.856,115.168,117.700,116.181,117.674
 "53015","Cowlitz, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",2549378,2514857,2624073,2749521,2981831,3202863,3500281,3499073,3543899,3858877,3817041,3990074,4181145,4294495,4495780,4637985,4700051,5026393,5423911,5607083,6107655,6768764,6987707,7230651
 "53017","Douglas, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1140833,1380002,1359492,1341614,1199671,1385947,1378509,1310582,1359289,1539286,1827970,1826557,1698645,1650703,1805700,1861825,1891431,1881727,1864813,1877003,1919714,1957729,1997327,2190136
 "53017","Douglas, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",60.316,72.961,71.876,70.931,63.427,73.275,72.882,69.290,71.866,81.382,96.645,96.570,89.807,87.273,95.467,98.435,100.000,99.487,98.593,99.237,101.495,103.505,105.599,115.793
 "53017","Douglas, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",813495,984068,1008477,1032048,947920,1151592,1170008,1117427,1226154,1381279,1679192,1680227,1605400,1619382,1783038,1815854,1891431,1923387,1950436,1990180,2233453,2488756,2590971,2849723
 "53019","Ferry, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",157149,159582,155087,162898,180998,172595,177608,179016,186184,187425,183989,188593,188599,189432,185037,182098,177135,167798,172138,191639,185977,192620,199105,210990
 "53019","Ferry, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",88.717,90.090,87.553,91.963,102.181,97.437,100.267,101.062,105.108,105.809,103.869,106.468,106.472,106.942,104.461,102.802,100.000,94.729,97.179,108.188,104.991,108.742,112.403,119.113
 "53019","Ferry, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",99244,103900,103872,114454,134522,135133,145040,150707,159936,163661,163925,171196,175311,180151,178022,177603,177135,172929,180701,208519,219444,242763,257112,278576
 "53021","Franklin, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1990371,2054949,2151610,2131774,2442678,2645917,2627336,2568635,2672701,2736175,2832537,2906348,3069792,3236885,3396712,3530604,3493691,3711236,3884307,3942440,4145933,4301139,4153007,4359524
 "53021","Franklin, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",56.970,58.819,61.586,61.018,69.917,75.734,75.202,73.522,76.501,78.318,81.076,83.188,87.867,92.649,97.224,101.057,100.000,106.227,111.181,112.845,118.669,123.112,118.872,124.783
 "53021","Franklin, WA",8,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1395287,1451696,1575216,1643845,1873819,2065857,2221890,2223558,2301252,2417310,2626748,2772143,3017490,3209875,3352025,3460209,3493691,3762722,4032629,4186203,4725481,5357816,5395648,5777365
 "53023","Garfield, WA",8,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",84744,87588,81126,83755,102676,105702,83353,103915,110995,111768,115055,137610,134330,122073,136435,131962,133517,151822,160597,172100,163871,194989,160780,165041
 "53023","Garfield, WA",8,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",63.471,65.601,60.761,62.730,76.901,79.167,62.429,77.829,83.132,83.711,86.173,103.065,100.609,91.429,102.186,98.836,100.000,113.710,120.282,128.898,122.734,146.041,120.420,123.611
