GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "55000","Wisconsin",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",252941835,257966938,265745807,275412405,282065657,287146577,289855233,286204709,277279381,287652877,293663960,299007637,301550506,309425837,315687778,319272276,321886779,328832367,333256767,324014383,334848617,341875214,347108222,354382123
 "55000","Wisconsin",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",78.581,80.142,82.559,85.562,87.629,89.207,90.049,88.915,86.142,89.365,91.232,92.892,93.682,96.129,98.074,99.188,100.000,102.158,103.532,100.661,104.027,106.210,107.836,110.095
 "55000","Wisconsin",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",188662822,195541523,203814049,216370356,226937468,237571894,245837695,246493009,246323775,256159466,265443985,276253420,283791383,296169922,308304500,315419992,321886779,335144306,346906632,344691015,368997300,403570255,431913950,453298646
 "55001","Adams, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",506199,587318,576008,546198,592580,625837,564635,554575,636077,618754,548781,583723,560045,530145,532111,557057,529158,534329,570578,587931,577910,564996,562761,575023
 "55001","Adams, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",95.661,110.991,108.854,103.220,111.985,118.270,106.704,104.803,120.205,116.932,103.708,110.312,105.837,100.186,100.558,105.272,100.000,100.977,107.828,111.107,109.213,106.773,106.350,108.667
 "55001","Adams, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",348080,408179,414507,410662,449728,487746,466614,467887,540751,532988,483406,524292,516544,498771,512996,544179,529158,548516,600480,624786,648336,688239,723869,760907
 "55003","Ashland, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",661875,656204,679930,710604,727582,737672,746496,759886,740827,732063,748000,759110,751099,738997,722759,733735,741338,720001,735002,693022,686528,694129,694839,707159
 "55003","Ashland, WI",3,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",89.281,88.516,91.717,95.854,98.144,99.506,100.696,102.502,99.931,98.749,100.899,102.397,101.317,99.684,97.494,98.974,100.000,97.122,99.145,93.483,92.607,93.632,93.728,95.390
 "55003","Ashland, WI",3,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",467767,474787,503451,543351,570924,595345,617664,636486,639936,634811,654866,680117,692381,699489,699949,721677,741338,736619,771058,750126,784958,849513,889460,929137
 "55005","Barron, WI",3,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1726247,1707914,1768253,1816134,1818682,1839163,1867345,1786284,1856798,1875003,1931556,1921558,1985420,2083934,2175994,2042395,2062501,2226047,2083487,2065055,2113452,2237961,2249935,2308208
