GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "54000","West Virginia",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",63599758,64465686,65106806,66077577,67888756,68900010,69374083,70966758,70886497,71823772,73175181,73124528,73948954,74111275,74261375,73513255,75172448,77406536,77162193,74729629,76230843,77549096,80364938,82716452
 "54000","West Virginia",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",84.605,85.757,86.610,87.901,90.311,91.656,92.287,94.405,94.299,95.545,97.343,97.276,98.372,98.588,98.788,97.793,100.000,102.972,102.647,99.411,101.408,103.162,106.907,110.036
 "54000","West Virginia",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",44105104,45627397,47230368,49865922,53814314,57204066,59480421,62978689,64040060,66160407,69367625,70303129,71758650,73042633,71713424,71248854,75172448,79794328,80242383,77536546,87178834,98824056,101479918,106475146
 "54001","Barbour, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",243996,251754,268531,258818,260068,280545,300800,323398,332237,339057,325189,338804,339408,368907,376958,362154,386989,371656,398836,386271,390213,500304,541953,567910
 "54001","Barbour, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",63.050,65.055,69.390,66.880,67.203,72.494,77.728,83.568,85.852,87.614,84.031,87.549,87.705,95.328,97.408,93.583,100.000,96.038,103.061,99.815,100.833,129.281,140.044,146.751
 "54001","Barbour, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",171200,180975,200439,202268,215802,244365,273270,315093,316744,337855,337022,353456,356029,390322,358782,342386,386989,384955,415691,399797,451440,658353,718001,781125
 "54003","Berkeley, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",2396335,2485072,2638192,2783812,2908198,2986397,3129374,3175565,3146088,3075006,3107614,3281847,3292449,3256706,3359252,3558384,3797899,4054309,4059265,4008518,4169653,4252134,4442794,4687464
 "54003","Berkeley, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",63.096,65.433,69.465,73.299,76.574,78.633,82.398,83.614,82.838,80.966,81.825,86.412,86.691,85.750,88.450,93.693,100.000,106.751,106.882,105.546,109.788,111.960,116.980,123.423
 "54003","Berkeley, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",1724881,1831112,1981720,2143510,2314433,2466583,2654920,2742437,2784049,2733332,2801966,3012631,3069338,3092610,3261177,3504798,3797899,4143011,4250468,4290018,4656106,5088717,5599184,6086768
 "54005","Boone, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1767322,1704370,1755984,1693106,1764311,1692944,1847775,1753230,1698462,1581993,1605630,1277034,1133032,1018077,831989,692498,669733,669872,642207,580349,608731,630573,607767,804174
 "54005","Boone, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",263.885,254.485,262.192,252.803,263.435,252.779,275.897,261.781,253.603,236.213,239.742,190.678,169.177,152.012,124.227,103.399,100.000,100.021,95.890,86.654,90.892,94.153,90.748,120.074
 "54005","Boone, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",804783,810628,866941,942923,1160671,1257068,1469365,1554664,1573635,1571052,1707267,1348430,1142644,1013950,795210,658838,669733,689598,671303,615190,700856,805151,799554,1087509
 "54007","Braxton, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",296021,306221,308787,315353,326058,329926,325950,326671,317118,345205,331254,329599,325550,318551,344416,323224,324102,316367,325392,319690,291877,293484,308277,321673
 "54007","Braxton, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",91.336,94.483,95.275,97.301,100.604,101.797,100.570,100.793,97.845,106.511,102.207,101.696,100.447,98.287,106.268,99.729,100.000,97.613,100.398,98.639,90.057,90.553,95.117,99.251
 "54007","Braxton, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",209671,220608,229582,246972,265557,276353,278356,286437,277269,306139,296768,301956,307335,308288,334104,316717,324102,324745,339567,345169,344527,374326,396875,417247
 "54009","Brooke, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",1001001,1048707,1053271,1030208,989598,876133,869306,1132308,1077731,997438,881192,809905,874085,983674,854560,811558,863993,902094,950564,989540,995673,879919,959807,985840
 "54009","Brooke, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",115.857,121.379,121.907,119.238,114.538,101.405,100.615,131.055,124.738,115.445,101.991,93.740,101.168,113.852,98.908,93.931,100.000,104.410,110.020,114.531,115.241,101.843,111.090,114.103
 "54009","Brooke, WV",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars) ","Thousands of dollars",623434,650762,683576,712073,759120,717029,738851,962096,852571,862696,892225,858199,901899,1007263,845179,776341,863993,968608,980969,917499,1214047,1417989,1321693,1316858
 "54011","Cabell, WV",5,CAGDP1,1,"...","Real GDP (thousands of chained 2017 dollars) ","Thousands of chained 2017 dollars",4036719,4088305,4111353,4236407,4373665,4502861,4511809,4544623,4492356,4435957,4581552,4778000,4824363,4779522,4817128,4794206,4807467,4953451,5006808,4799612,4869822,4933223,5129736,5313364
 "54011","Cabell, WV",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP ","Quantity index",83.968,85.041,85.520,88.121,90.977,93.664,93.850,94.533,93.445,92.272,95.301,99.387,100.351,99.419,100.201,99.724,100.000,103.037,104.146,99.837,101.297,102.616,106.704,110.523
