GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "00000","United States", ,PARPP,1,"...","RPPs: All items ","Index",100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
 "01998","Alabama (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",90.962,89.906,91.699,92.204,92.518,92.143,91.826,91.390,92.439,91.923,88.605,89.531,89.158,89.262,89.522,90.650,90.180
 "01999","Alabama (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",81.181,79.987,82.724,82.102,83.555,83.587,84.100,83.504,83.661,83.067,82.537,83.507,81.257,83.261,81.809,82.616,83.231
 "02998","Alaska (Metropolitan Portion)",8,PARPP,1,"...","RPPs: All items ","Index",106.119,109.940,105.447,105.960,105.411,104.803,104.134,104.687,106.703,106.989,106.082,104.495,102.506,106.400,102.422,105.787,105.024
 "02999","Alaska (Nonmetropolitan Portion)",8,PARPP,1,"...","RPPs: All items ","Index",99.078,98.238,98.350,97.895,96.237,96.022,98.525,100.081,97.930,99.962,101.093,99.638,98.792,101.572,101.299,97.564,96.217
 "04998","Arizona (Metropolitan Portion)",6,PARPP,1,"...","RPPs: All items ","Index",103.148,103.601,101.166,99.647,98.620,98.963,98.474,98.288,99.188,98.415,98.005,98.471,99.993,97.238,100.776,101.553,101.392
 "04999","Arizona (Nonmetropolitan Portion)",6,PARPP,1,"...","RPPs: All items ","Index",89.965,89.038,89.460,88.121,84.927,86.411,85.109,87.041,84.848,85.348,81.518,80.430,80.271,80.185,79.870,80.499,81.659
 "05998","Arkansas (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",91.452,89.796,91.595,92.309,92.376,92.393,92.064,91.993,92.641,91.749,89.241,89.935,90.425,90.951,88.928,89.092,89.041
 "05999","Arkansas (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",83.375,81.583,84.194,85.115,84.918,85.036,85.303,84.312,83.912,83.395,83.430,84.098,83.958,85.077,82.998,82.259,82.953
 "06998","California (Metropolitan Portion)",8,PARPP,1,"...","RPPs: All items ","Index",111.415,110.918,109.916,109.701,109.930,109.908,110.213,110.891,110.208,111.204,112.096,111.308,112.193,112.136,112.774,112.382,110.927
 "06999","California (Nonmetropolitan Portion)",8,PARPP,1,"...","RPPs: All items ","Index",102.065,100.725,100.041,100.694,97.631,98.475,96.847,100.598,97.728,101.066,101.314,102.148,99.576,100.799,103.309,102.770,100.037
 "08998","Colorado (Metropolitan Portion)",7,PARPP,1,"...","RPPs: All items ","Index",103.579,102.728,101.210,103.988,104.220,103.642,103.673,103.513,103.400,103.516,100.950,103.181,105.005,103.974,103.168,102.559,103.803
 "08999","Colorado (Nonmetropolitan Portion)",7,PARPP,1,"...","RPPs: All items ","Index",101.524,100.036,96.396,99.399,95.547,99.096,98.609,99.468,97.400,98.471,94.960,97.408,94.844,93.881,95.729,96.868,97.505
 "09998","Connecticut (Metropolitan Portion)",1,PARPP,1,"...","RPPs: All items ","Index",110.860,111.088,107.450,108.160,108.033,108.111,107.440,107.891,107.821,107.512,104.217,104.079,105.383,103.118,106.539,104.448,103.953
 "09999","Connecticut (Nonmetropolitan Portion)",1,PARPP,1,"...","RPPs: All items ","Index",103.141,104.343,99.665,102.622,100.038,101.352,99.578,101.658,101.889,102.327,100.445,101.148,100.436,98.820,103.267,100.211,97.941
 "10998","Delaware (Metropolitan Portion)",2,PARPP,1,"...","RPPs: All items ","Index",102.857,105.493,103.854,103.299,102.195,99.794,101.214,99.314,101.785,101.710,100.460,101.195,99.320,98.585,98.912,99.416,101.105
 "10999","Delaware (Nonmetropolitan Portion)",2,PARPP,1,"...","RPPs: All items ","Index",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 "11998","District of Columbia (Metropolitan Portion)",2,PARPP,1,"...","RPPs: All items ","Index",112.368,113.017,114.226,114.058,111.644,113.521,114.242,113.321,112.415,110.146,111.317,109.228,110.881,111.572,112.594,110.713,109.901
 "11999","District of Columbia (Nonmetropolitan Portion)",2,PARPP,1,"...","RPPs: All items ","Index",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
 "12998","Florida (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",102.027,100.882,100.702,101.155,101.375,100.982,101.140,101.584,101.347,101.176,100.537,99.855,100.898,101.606,102.523,103.890,103.648
 "12999","Florida (Nonmetropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",90.416,88.380,91.043,91.138,90.829,92.010,91.890,90.905,91.243,89.953,92.214,91.890,89.645,92.921,92.827,93.689,93.951
 "13998","Georgia (Metropolitan Portion)",5,PARPP,1,"...","RPPs: All items ","Index",96.116,93.543,96.335,95.300,97.135,96.542,96.622,96.299,96.641,97.173,96.271,95.892,96.105,97.025,96.969,98.073,97.839
