Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,64,64,35.8,10.8,22.8,.476,4.0,10.8,.366,6.9,11.9,.575,.563,7.9,10.1,.780,0.6,7.1,7.7,8.3,1.6,0.5,4.0,2.4,33.5,AS,doncilu01
2,Shai Gilgeous-Alexander,27,OKC,PG,65,65,33.5,10.8,19.7,.551,1.7,4.4,.380,9.2,15.3,.601,.594,8.2,9.3,.881,0.6,3.8,4.4,6.5,1.4,0.8,2.2,2.1,31.6,AS,gilgesh01
3,Anthony Edwards,24,MIN,SG,60,59,35.2,9.9,20.3,.489,3.4,8.5,.398,6.6,11.8,.554,.572,5.7,7.2,.796,0.6,4.4,5.0,3.7,1.4,0.8,2.8,1.9,28.9,AS,edwaran01
4,Jaylen Brown,29,BOS,SF,68,68,34.4,10.4,21.8,.475,2.0,5.7,.345,8.4,16.1,.522,.521,6.1,7.6,.797,1.1,5.8,7.0,5.3,1.0,0.4,3.6,2.7,28.7,AS,brownja02
5,Tyrese Maxey,25,PHI,PG,65,65,38.3,10.0,21.6,.463,3.2,8.7,.370,6.8,13.0,.526,.538,5.4,6.1,.893,0.3,3.9,4.2,6.8,1.9,0.8,2.4,2.2,28.7,AS,maxeyty01
6,Kawhi Leonard,34,LAC,SF,61,61,32.1,9.8,19.4,.505,2.6,6.8,.385,7.2,12.6,.570,.572,5.8,6.5,.899,1.1,5.3,6.3,3.6,2.0,0.4,2.0,1.2,28.0,AS,leonaka01
7,Nikola Jokić,30,DEN,C,61,61,34.9,9.9,17.3,.572,1.8,4.6,.387,8.1,12.7,.640,.624,6.1,7.3,.826,2.9,10.1,13.0,10.8,1.4,0.8,3.9,2.7,27.7,AS,jokicni01
8,Donovan Mitchell,29,CLE,SG,68,68,33.5,9.6,20.0,.479,3.3,8.9,.365,6.3,11.1,.570,.560,5.3,6.2,.864,0.7,3.8,4.5,5.7,1.5,0.3,2.8,2.3,27.7,AS,mitchdo01
9,Giannis Antetokounmpo,31,MIL,PF,36,36,28.9,10.4,16.6,.624,0.4,1.3,.333,9.9,15.4,.647,.636,6.4,9.9,.650,2.7,7.1,9.8,5.4,0.9,0.7,3.2,2.4,27.6,AS,antetgi01
10,Stephen Curry,37,GSW,PG,39,39,31.3,8.9,19.1,.468,4.5,11.5,.391,4.4,7.6,.584,.585,4.9,5.2,.931,0.4,3.1,3.5,4.8,1.1,0.4,2.8,1.9,27.2,AS,curryst01
11,Joel Embiid,31,PHI,C,37,37,31.4,9.0,18.3,.491,1.4,4.1,.333,7.6,14.2,.537,.529,7.3,8.5,.854,1.9,5.7,7.6,4.0,0.6,1.1,2.8,2.1,26.7,,embiijo01
